Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-06,22.293199,[27  5] ; [ 9 25],[17.45454545 14.54545455] ; [18.54545455 15.45454545],1
s2,1,0.000256,13.368665,[26  6] ; [13 22],[18.62686567 13.37313433] ; [20.37313433 14.62686567],1
s5,1,0.00042,12.439284,[17 13] ; [ 5 29],[10.3125 19.6875] ; [11.6875 22.3125],1
s3,1,0.000585,11.822708,[26  6] ; [14 21],[19.10447761 12.89552239] ; [20.89552239 14.10447761],1
p10,1,0.001644,9.910127,[28  3] ; [20 16],[22.20895522  8.79104478] ; [25.79104478 10.20895522],0
p9,1,0.006965,7.281975,[29  2] ; [24 12],[24.52238806  6.47761194] ; [28.47761194  7.52238806],0
a5,1,0.010606,6.530159,[24  8] ; [16 20],[18.82352941 13.17647059] ; [21.17647059 14.82352941],0
n1,1,0.017762,5.619444,[5 1] ; [ 4 11],[2.57142857 3.42857143] ; [6.42857143 8.57142857],0
s6,1,0.018846,5.515727,[23  8] ; [16 19],[18.31818182 12.68181818] ; [20.68181818 14.31818182],0
d2,1,0.032987,4.546472,[17 15] ; [10 26],[12.70588235 19.29411765] ; [14.29411765 21.70588235],0
d5,1,0.033609,4.514474,[26  6] ; [20 15],[21.97014925 10.02985075] ; [24.02985075 10.97014925],0
v2,1,0.03726,4.33849,[21  9] ; [16 20],[16.81818182 13.18181818] ; [20.18181818 15.81818182],0
v3,1,0.046514,3.962889,[15 16] ; [ 9 27],[11.10447761 19.89552239] ; [12.89552239 23.10447761],0
d1,1,0.055062,3.680218,[19 13] ; [13 23],[15.05882353 16.94117647] ; [16.94117647 19.05882353],0
v1,1,0.067441,3.344243,[19 12] ; [14 22],[15.26865672 15.73134328] ; [17.73134328 18.26865672],0
n5,1,0.068881,3.309491,[26  6] ; [22 14],[22.58823529  9.41176471] ; [25.41176471 10.58823529],0
p1,1,0.115543,2.476724,[ 7 25] ; [ 3 33],[ 4.70588235 27.29411765] ; [ 5.29411765 30.70588235],0
u1,1,0.115543,2.476724,[ 7 25] ; [ 3 33],[ 4.70588235 27.29411765] ; [ 5.29411765 30.70588235],0
a7,1,0.12178,2.394281,[17 15] ; [25 10],[20.05970149 11.94029851] ; [21.94029851 13.05970149],0
d4,1,0.147406,2.098892,[27  5] ; [25 11],[24.47058824  7.52941176] ; [27.52941176  8.47058824],0
p3,1,0.169222,1.889822,[13 19] ; [ 9 27],[10.35294118 21.64705882] ; [11.64705882 24.35294118],0
