Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,54.746302,[94  9] ; [ 7 21],[79.41221374 23.58778626] ; [21.58778626  6.41221374],1
s7,1,1e-06,24.092543,[85 15] ; [10 16],[75.3968254 24.6031746] ; [19.6031746  6.3968254],1
p2,1,6e-06,20.347568,[86 16] ; [12 16],[76.89230769 25.10769231] ; [21.10769231  6.89230769],1
n6,1,3.7e-05,16.995198,[90 12] ; [15 13],[82.38461538 19.61538462] ; [22.61538462  5.38461538],1
v3,1,0.000287,13.155493,[55 47] ; [ 4 23],[46.65116279 55.34883721] ; [12.34883721 14.65116279],1
s8,1,0.002542,9.110278,[79 25] ; [13 15],[72.48484848 31.51515152] ; [19.51515152  8.48484848],0
r1,1,0.003546,8.502943,[81 23] ; [14 14],[74.84848485 29.15151515] ; [20.15151515  7.84848485],0
a3,1,0.004189,8.199871,[86 18] ; [16 12],[80.36363636 23.63636364] ; [21.63636364  6.36363636],0
b3,1,0.011976,6.314433,[37 41] ; [ 3 16],[32.16494845 45.83505155] ; [ 7.83505155 11.16494845],0
b2,1,0.011976,6.314433,[37 41] ; [ 3 16],[32.16494845 45.83505155] ; [ 7.83505155 11.16494845],0
s3,1,0.016052,5.797131,[93 11] ; [20  8],[89.03030303 14.96969697] ; [23.96969697  4.03030303],0
p11,1,0.018498,5.548352,[85 19] ; [17 11],[80.36363636 23.63636364] ; [21.63636364  6.36363636],0
d1,1,0.020845,5.339735,[59 45] ; [ 9 19],[53.57575758 50.42424242] ; [14.42424242 13.57575758],0
d5,1,0.036843,4.357649,[85 18] ; [18 10],[80.98473282 22.01526718] ; [22.01526718  5.98473282],0
p9,1,0.05167,3.786408,[86 17] ; [18  9],[82.4 20.6] ; [21.6  5.4],0
d4,1,0.065821,3.384281,[86 17] ; [19  9],[82.55725191 20.44274809] ; [22.44274809  5.55725191],0
p10,1,0.093951,2.805336,[84 19] ; [18  9],[80.81538462 22.18461538] ; [21.18461538  5.81538462],0
p3,1,0.174338,1.845241,[59 44] ; [12 16],[55.82442748 47.17557252] ; [15.17557252 12.82442748],0
u2,1,0.175823,1.832579,[12  6] ; [5 7],[10.2  7.8] ; [6.8 5.2],0
s6,1,0.176572,1.826245,[88 12] ; [21  6],[85.82677165 14.17322835] ; [23.17322835  3.82677165],0
p7,1,0.200292,1.640247,[70 30] ; [16 12],[67.1875 32.8125] ; [18.8125  9.1875],0
a5,1,0.203131,1.61972,[76 28] ; [17 11],[73.27272727 30.72727273] ; [19.72727273  8.27272727],0
p8,1,0.216777,1.525579,[53 48] ; [11 17],[50.10852713 50.89147287] ; [13.89147287 14.10852713],0
v2,1,0.245154,1.35071,[57 43] ; [12 15],[54.33070866 45.66929134] ; [14.66929134 12.33070866],0
v1,1,0.254033,1.300986,[66 35] ; [15 13],[63.41860465 37.58139535] ; [17.58139535 10.41860465],0
p6,1,0.260213,1.267626,[44 56] ; [ 9 19],[41.40625 58.59375] ; [11.59375 16.40625],0
n2,1,0.269818,1.21767,[17  8] ; [11  2],[18.42105263  6.57894737] ; [9.57894737 3.42105263],0
d2,1,0.27251,1.204069,[53 51] ; [11 17],[50.42424242 53.57575758] ; [13.57575758 14.42424242],0
r4,1,0.291957,1.110577,[87 17] ; [21  7],[85.09090909 18.90909091] ; [22.90909091  5.09090909],0
s4,1,0.339239,0.913306,[24 79] ; [ 9 19],[25.94656489 77.05343511] ; [ 7.05343511 20.94656489],0
b4,1,0.34616,0.887483,[49 55] ; [16 12],[51.21212121 52.78787879] ; [13.78787879 14.21212121],0
p1,1,0.364463,0.822455,[ 6 97] ; [ 3 25],[ 7.07633588 95.92366412] ; [ 1.92366412 26.07633588],0
a1,1,0.374676,0.788097,[ 9 95] ; [ 4 24],[10.24242424 93.75757576] ; [ 2.75757576 25.24242424],0
p12,1,0.37636,0.782559,[ 9 93] ; [ 1 26],[ 7.90697674 94.09302326] ; [ 2.09302326 24.90697674],0
p4,1,0.411456,0.674589,[64 39] ; [15 13],[62.11450382 40.88549618] ; [16.88549618 11.11450382],0
r2,1,0.486985,0.483181,[93 10] ; [24  4],[91.99236641 11.00763359] ; [25.00763359  2.99236641],0
d3,1,0.502036,0.45063,[52 52] ; [12 16],[50.42424242 53.57575758] ; [13.57575758 14.42424242],0
