Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000738,11.390425,[56 14] ; [15 17],[48.7254902 21.2745098] ; [22.2745098  9.7254902],1
r3,1,0.002083,9.475161,[68  2] ; [26  7],[63.88349515  6.11650485] ; [30.11650485  2.88349515],0
r2,1,0.00211,9.451442,[66  4] ; [24  9],[61.16504854  8.83495146] ; [28.83495146  4.16504854],0
d3,1,0.002482,9.153826,[53 17] ; [15 18],[46.21359223 23.78640777] ; [21.78640777 11.21359223],0
b5,1,0.003066,8.767757,[49 21] ; [13 20],[42.13592233 27.86407767] ; [19.86407767 13.13592233],0
a6,1,0.006833,7.316224,[51 19] ; [15 18],[44.85436893 25.14563107] ; [21.14563107 11.85436893],0
a3,1,0.017472,5.648335,[45 25] ; [13 20],[39.41747573 30.58252427] ; [18.58252427 14.41747573],0
d1,1,0.0228,5.183712,[38 32] ; [10 23],[32.62135922 37.37864078] ; [15.37864078 17.62135922],0
d5,1,0.023208,5.152895,[57 13] ; [20 13],[52.33009709 17.66990291] ; [24.66990291  8.33009709],0
p4,1,0.025003,5.023665,[42 28] ; [12 21],[36.69902913 33.30097087] ; [17.30097087 15.69902913],0
r4,1,0.025158,5.012997,[60 10] ; [22 11],[55.72815534 14.27184466] ; [26.27184466  6.72815534],0
a2,1,0.036208,4.387299,[16 54] ; [ 2 31],[12.23300971 57.76699029] ; [ 5.76699029 27.23300971],0
n6,1,0.065166,3.400776,[51 19] ; [18 15],[46.89320388 23.10679612] ; [22.10679612 10.89320388],0
p7,1,0.065623,3.389237,[37 32] ; [24  9],[41.26470588 27.73529412] ; [19.73529412 13.26470588],0
b2,1,0.066313,3.372004,[13 30] ; [ 2 19],[10.078125 32.921875] ; [ 4.921875 16.078125],0
b3,1,0.066313,3.372004,[13 30] ; [ 2 19],[10.078125 32.921875] ; [ 4.921875 16.078125],0
u2,1,0.06928,3.3,[ 9 15] ; [13  7],[12. 12.] ; [10. 10.],0
n1,1,0.070156,3.279366,[10 12] ; [ 2 11],[ 7.54285714 14.45714286] ; [4.45714286 8.54285714],0
p8,1,0.080303,3.05876,[34 36] ; [10 23],[29.90291262 40.09708738] ; [14.09708738 18.90291262],0
u1,1,0.093022,2.821285,[13 57] ; [ 2 31],[10.19417476 59.80582524] ; [ 4.80582524 28.19417476],0
a5,1,0.095705,2.775701,[44 26] ; [15 18],[40.09708738 29.90291262] ; [18.90291262 14.09708738],0
s5,1,0.138885,2.190271,[10 57] ; [ 9 24],[12.73 54.27] ; [ 6.27 26.73],0
s4,1,0.163491,1.941636,[11 57] ; [ 9 23],[13.6 54.4] ; [ 6.4 25.6],0
n3,1,0.17288,1.857794,[18  5] ; [8 6],[16.16216216  6.83783784] ; [9.83783784 4.16216216],0
s1,1,0.186105,1.748182,[ 1 68] ; [ 2 30],[ 2.04950495 66.95049505] ; [ 0.95049505 31.04950495],0
v2,1,0.232044,1.428289,[32 36] ; [11 21],[29.24 38.76] ; [13.76 18.24],0
r1,1,0.24843,1.332112,[56 14] ; [23 10],[53.68932039 16.31067961] ; [25.31067961  7.68932039],0
s6,1,0.283469,1.150381,[35 34] ; [13 20],[32.47058824 36.52941176] ; [15.52941176 17.47058824],0
n4,1,0.425214,0.635861,[50 20] ; [21 12],[48.25242718 21.74757282] ; [22.74757282 10.25242718],0
u3,1,0.463245,0.538043,[14 11] ; [ 9 11],[12.77777778 12.22222222] ; [10.22222222  9.77777778],0
v4,1,0.469498,0.523158,[66  4] ; [28  3],[65.14851485  4.85148515] ; [28.85148515  2.14851485],0
v1,1,0.531466,0.391587,[30 40] ; [12 21],[28.54368932 41.45631068] ; [13.45631068 19.54368932],0
v3,1,0.574344,0.315467,[21 48] ; [ 8 24],[19.81188119 49.18811881] ; [ 9.18811881 22.81188119],0
n5,1,0.591895,0.287395,[40 30] ; [17 16],[38.73786408 31.26213592] ; [18.26213592 14.73786408],0
n2,1,0.598901,0.276657,[17  5] ; [9 4],[16.34285714  5.65714286] ; [9.65714286 3.34285714],0
s3,1,0.618416,0.2481,[34 35] ; [18 15],[35.17647059 33.82352941] ; [16.82352941 16.17647059],0
p6,1,0.61951,0.246557,[18 50] ; [10 22],[19.04 48.96] ; [ 8.96 23.04],0
p3,1,0.669187,0.182554,[26 43] ; [11 22],[25.02941176 43.97058824] ; [11.97058824 21.02941176],0
b4,1,0.71799,0.130427,[45 25] ; [20 13],[44.17475728 25.82524272] ; [20.82524272 12.17475728],0
