Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,25.087208,[51 16] ; [14 34],[37.86956522 29.13043478] ; [27.13043478 20.86956522],1
r3,1,0.012076,6.299628,[26 38] ; [31 17],[32.57142857 31.42857143] ; [24.42857143 23.57142857],0
d4,1,0.013296,6.129279,[36 30] ; [37 11],[42.26315789 23.73684211] ; [30.73684211 17.26315789],0
a1,1,0.026233,4.940569,[12 55] ; [ 2 46],[ 8.15652174 58.84347826] ; [ 5.84347826 42.15652174],0
a7,1,0.057832,3.598485,[28 38] ; [29 19],[33. 33.] ; [24. 24.],0
s3,1,0.077019,3.126717,[16 50] ; [18 27],[20.21621622 45.78378378] ; [13.78378378 31.21621622],0
p5,1,0.079696,3.071081,[ 7 58] ; [ 1 46],[ 4.64285714 60.35714286] ; [ 3.35714286 43.64285714],0
n2,1,0.113589,2.50357,[20 13] ; [ 9 14],[17.08928571 15.91071429] ; [11.91071429 11.08928571],0
n6,1,0.135295,2.230669,[39 26] ; [22 26],[35.08849558 29.91150442] ; [25.91150442 22.08849558],0
r1,1,0.208917,1.578914,[15 51] ; [16 32],[17.94736842 48.05263158] ; [13.05263158 34.94736842],0
p1,1,0.227303,1.457662,[ 9 58] ; [ 3 44],[ 7.05263158 59.94736842] ; [ 4.94736842 42.05263158],0
n1,1,0.241618,1.37113,[12 21] ; [ 5 18],[10.01785714 22.98214286] ; [ 6.98214286 16.01785714],0
b5,1,0.263049,1.252638,[32 35] ; [28 20],[34.95652174 32.04347826] ; [25.04347826 22.95652174],0
p10,1,0.278715,1.173347,[33 32] ; [19 28],[30.17857143 34.82142857] ; [21.82142857 25.17857143],0
d3,1,0.298442,1.081145,[32 34] ; [28 20],[34.73684211 31.26315789] ; [25.26315789 22.73684211],0
v1,1,0.300753,1.070853,[18 47] ; [17 29],[20.4954955 44.5045045] ; [14.5045045 31.4954955],0
v2,1,0.301148,1.069104,[19 45] ; [18 28],[21.52727273 42.47272727] ; [15.47272727 30.52727273],0
s5,1,0.303035,1.06079,[ 8 58] ; [ 9 38],[ 9.92920354 56.07079646] ; [ 7.07079646 39.92920354],0
u1,1,0.319567,0.990717,[ 6 61] ; [ 2 46],[ 4.66086957 62.33913043] ; [ 3.33913043 44.66086957],0
n3,1,0.32167,0.982143,[15 18] ; [13  9],[16.8 16.2] ; [11.2 10.8],0
d2,1,0.325191,0.967955,[29 36] ; [17 31],[26.46017699 38.53982301] ; [19.53982301 28.46017699],0
p6,1,0.331718,0.94218,[11 53] ; [ 5 42],[ 9.22522523 54.77477477] ; [ 6.77477477 40.22522523],0
p2,1,0.347759,0.881617,[31 33] ; [27 20],[33.44144144 30.55855856] ; [24.55855856 22.44144144],0
s2,1,0.353408,0.861183,[13 53] ; [13 35],[15.05263158 50.94736842] ; [10.94736842 37.05263158],0
a6,1,0.403516,0.697825,[36 31] ; [22 26],[33.79130435 33.20869565] ; [24.20869565 23.79130435],0
p3,1,0.454822,0.558608,[14 51] ; [13 34],[15.66964286 49.33035714] ; [11.33035714 35.66964286],0
s4,1,0.478477,0.502333,[13 53] ; [ 7 41],[11.57894737 54.42105263] ; [ 8.42105263 39.57894737],0
a5,1,0.498091,0.459001,[35 32] ; [22 26],[33.20869565 33.79130435] ; [23.79130435 24.20869565],0
p9,1,0.510757,0.432515,[34 30] ; [22 25],[32.28828829 31.71171171] ; [23.71171171 23.28828829],0
p7,1,0.51138,0.431242,[21 44] ; [18 29],[22.63392857 42.36607143] ; [16.36607143 30.63392857],0
p11,1,0.517274,0.419324,[32 35] ; [20 28],[30.29565217 36.70434783] ; [21.70434783 26.29565217],0
s6,1,0.519343,0.415197,[17 49] ; [15 33],[18.52631579 47.47368421] ; [13.47368421 34.52631579],0
d1,1,0.524742,0.404563,[24 43] ; [20 28],[25.63478261 41.36521739] ; [18.36521739 29.63478261],0
