Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,27.802905,[ 8 57] ; [18  9],[18.36956522 46.63043478] ; [ 7.63043478 19.36956522],1
s4,1,1.9e-05,18.276944,[ 7 58] ; [14 13],[14.83695652 50.16304348] ; [ 6.16304348 20.83695652],1
s3,1,0.000377,12.644704,[15 48] ; [17 10],[22.4 40.6] ; [ 9.6 17.4],1
p2,1,0.001486,10.096133,[26 37] ; [21  6],[32.9 30.1] ; [14.1 12.9],0
r3,1,0.001794,9.748831,[26 38] ; [20  6],[32.71111111 31.28888889] ; [13.28888889 12.71111111],0
s7,1,0.00226,9.325673,[11 50] ; [13 13],[16.82758621 44.17241379] ; [ 7.17241379 18.82758621],0
p7,1,0.002489,9.148627,[15 47] ; [15 11],[21.13636364 40.86363636] ; [ 8.86363636 17.13636364],0
s5,1,0.003687,8.432086,[ 5 59] ; [ 8 17],[ 9.34831461 54.65168539] ; [ 3.65168539 21.34831461],0
p11,1,0.005272,7.783821,[25 40] ; [19  8],[31.08695652 33.91304348] ; [12.91304348 14.08695652],0
u3,1,0.008591,6.905868,[ 5 27] ; [7 6],[ 8.53333333 23.46666667] ; [3.46666667 9.53333333],0
v2,1,0.008784,6.866216,[12 51] ; [12 14],[16.98876404 46.01123596] ; [ 7.01123596 18.98876404],0
p10,1,0.01643,5.75628,[26 37] ; [18  8],[31.14606742 31.85393258] ; [12.85393258 13.14606742],0
p4,1,0.020057,5.406891,[17 47] ; [14 13],[21.8021978 42.1978022] ; [ 9.1978022 17.8021978],0
p3,1,0.03634,4.381093,[11 54] ; [10 17],[14.83695652 50.16304348] ; [ 6.16304348 20.83695652],0
s8,1,0.065329,3.396654,[ 7 58] ; [ 7 20],[ 9.89130435 55.10869565] ; [ 4.10869565 22.89130435],0
p9,1,0.068011,3.330378,[26 36] ; [17 10],[29.95505618 32.04494382] ; [13.04494382 13.95505618],0
b5,1,0.141924,2.156971,[30 35] ; [17 10],[33.20652174 31.79347826] ; [13.79347826 13.20652174],0
a5,1,0.157097,2.001951,[28 37] ; [16 11],[31.08695652 33.91304348] ; [12.91304348 14.08695652],0
b4,1,0.185422,1.753622,[41 24] ; [13 14],[38.15217391 26.84782609] ; [15.84782609 11.15217391],0
p6,1,0.185634,1.751931,[ 9 54] ; [ 7 20],[11.2 51.8] ; [ 4.8 22.2],0
v4,1,0.203754,1.61526,[35 29] ; [18  8],[37.68888889 26.31111111] ; [15.31111111 10.68888889],0
n1,1,0.262193,1.257143,[12 21] ; [2 9],[10.5 22.5] ; [3.5 7.5],0
a1,1,0.27343,1.199457,[ 7 58] ; [ 1 26],[ 5.65217391 59.34782609] ; [ 2.34782609 24.65217391],0
a2,1,0.27343,1.199457,[ 7 58] ; [ 1 26],[ 5.65217391 59.34782609] ; [ 2.34782609 24.65217391],0
b3,1,0.27785,1.177578,[15 24] ; [ 4 13],[13.23214286 25.76785714] ; [ 5.76785714 11.23214286],0
b2,1,0.27785,1.177578,[15 24] ; [ 4 13],[13.23214286 25.76785714] ; [ 5.76785714 11.23214286],0
b1,1,0.284979,1.143191,[32 33] ; [10 17],[29.67391304 35.32608696] ; [12.32608696 14.67391304],0
n2,1,0.29627,1.090909,[15 18] ; [7 4],[16.5 16.5] ; [5.5 5.5],0
d3,1,0.302802,1.061814,[28 36] ; [15 12],[30.24175824 33.75824176] ; [12.75824176 14.24175824],0
n4,1,0.316941,1.001529,[36 29] ; [18  9],[38.15217391 26.84782609] ; [15.84782609 11.15217391],0
n6,1,0.351719,0.867246,[35 29] ; [17  9],[36.97777778 27.02222222] ; [15.02222222 10.97777778],0
n5,1,0.353068,0.862401,[40 25] ; [18  7],[41.88888889 23.11111111] ; [16.11111111  8.88888889],0
a6,1,0.411387,0.674789,[30 35] ; [15 12],[31.79347826 33.20652174] ; [13.20652174 13.79347826],0
n3,1,0.422551,0.64321,[13 19] ; [6 5],[14.13953488 17.86046512] ; [4.86046512 6.13953488],0
p8,1,0.444889,0.583641,[17 47] ; [ 9 17],[18.48888889 45.51111111] ; [ 7.51111111 18.48888889],0
d5,1,0.462767,0.539194,[38 27] ; [18  9],[39.56521739 25.43478261] ; [16.43478261 10.56521739],0
a7,1,0.534997,0.384891,[31 33] ; [15 12],[32.35164835 31.64835165] ; [13.64835165 13.35164835],0
u2,1,0.591208,0.288462,[12 20] ; [6 7],[12.8 19.2] ; [5.2 7.8],0
p1,1,0.606351,0.265522,[ 7 57] ; [ 2 25],[ 6.32967033 57.67032967] ; [ 2.67032967 24.32967033],0
s1,1,0.636898,0.222822,[ 4 61] ; [ 1 26],[ 3.5326087 61.4673913] ; [ 1.4673913 25.5326087],0
v3,1,0.733982,0.115487,[10 54] ; [ 5 22],[10.54945055 53.45054945] ; [ 4.45054945 22.54945055],0
d1,1,0.743745,0.106863,[24 41] ; [ 9 18],[23.31521739 41.68478261] ; [ 9.68478261 17.31521739],0
r1,1,0.748535,0.102766,[19 46] ; [ 7 20],[18.36956522 46.63043478] ; [ 7.63043478 19.36956522],0
a3,1,0.766018,0.088559,[33 31] ; [13 14],[32.35164835 31.64835165] ; [13.64835165 13.35164835],0
p5,1,0.823353,0.049834,[ 3 60] ; [ 1 26],[ 2.8 60.2] ; [ 1.2 25.8],0
d4,1,0.856037,0.032914,[39 25] ; [17 10],[39.38461538 24.61538462] ; [16.61538462 10.38461538],0
a4,1,0.878408,0.023405,[20 44] ; [ 8 19],[19.69230769 44.30769231] ; [ 8.30769231 18.69230769],0
a8,1,0.879685,0.022912,[ 4 55] ; [ 2 24],[ 4.16470588 54.83529412] ; [ 1.83529412 24.16470588],0
d2,1,0.925184,0.008818,[25 38] ; [11 16],[25.2 37.8] ; [10.8 16.2],0
r2,1,0.969343,0.001477,[35 27] ; [14 11],[34.91954023 27.08045977] ; [14.08045977 10.91954023],0
