Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,42.0,[15 65] ; [27  5],[30. 50.] ; [12. 20.],1
s6,1,3e-06,21.703174,[33 50] ; [31  5],[44.63865546 38.36134454] ; [19.36134454 16.63865546],1
n6,1,0.000252,13.397456,[51 32] ; [34  2],[59.28571429 23.71428571] ; [25.71428571 10.28571429],1
s2,1,0.000337,12.851937,[24 59] ; [23 13],[32.78151261 50.21848739] ; [14.21848739 21.78151261],1
s3,1,0.000386,12.598298,[28 54] ; [25 11],[36.83050847 45.16949153] ; [16.16949153 19.83050847],1
p9,1,0.000627,11.693668,[43 38] ; [31  5],[51.23076923 29.76923077] ; [22.76923077 13.23076923],1
s5,1,0.000717,11.445494,[12 69] ; [15 19],[19.0173913 61.9826087] ; [ 7.9826087 26.0173913],1
n5,1,0.000723,11.428571,[48 36] ; [32  4],[56. 28.] ; [24. 12.],1
p10,1,0.001466,10.120919,[43 39] ; [30  6],[50.72881356 31.27118644] ; [22.27118644 13.72881356],0
d1,1,0.004678,8.0,[42 42] ; [28  8],[49. 35.] ; [21. 15.],0
d5,1,0.005233,7.797075,[56 27] ; [33  3],[62.07563025 20.92436975] ; [26.92436975  9.07563025],0
r4,1,0.007993,7.035132,[58 26] ; [33  3],[63.7 20.3] ; [27.3  8.7],0
u1,1,0.016827,5.714286,[12 72] ; [12 24],[16.8 67.2] ; [ 7.2 28.8],0
n4,1,0.020752,5.347515,[52 32] ; [30  6],[57.4 26.6] ; [24.6 11.4],0
r3,1,0.032509,4.571429,[66 18] ; [34  2],[70. 14.] ; [30.  6.],0
d4,1,0.034093,4.490011,[62 21] ; [33  3],[66.2605042 16.7394958] ; [28.7394958  7.2605042],0
p4,1,0.037292,4.337048,[19 64] ; [15 21],[23.71428571 59.28571429] ; [10.28571429 25.71428571],0
p11,1,0.041908,4.138919,[39 45] ; [24 12],[44.1 39.9] ; [18.9 17.1],0
r2,1,0.043124,4.090523,[69 13] ; [35  1],[72.27118644  9.72881356] ; [31.72881356  4.27118644],0
v4,1,0.043483,4.076528,[67 17] ; [34  2],[70.7 13.3] ; [30.3  5.7],0
u4,1,0.045767,3.990148,[ 1 83] ; [ 3 33],[ 2.8 81.2] ; [ 1.2 34.8],0
d2,1,0.052949,3.745543,[37 46] ; [23 13],[41.8487395 41.1512605] ; [18.1512605 17.8487395],0
