Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000897,11.029307,[ 2 12] ; [21 10],[7.15555556 6.84444444] ; [15.84444444 15.15555556],1
d3,1,0.006058,7.532964,[ 4 10] ; [23  9],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
s5,1,0.021985,5.246956,[ 1 12] ; [13 17],[4.23255814 8.76744186] ; [ 9.76744186 20.23255814],0
d2,1,0.022387,5.21542,[ 2 12] ; [16 16],[5.47826087 8.52173913] ; [12.52173913 19.47826087],0
r3,1,0.025251,5.006583,[8 6] ; [27  4],[10.88888889  3.11111111] ; [24.11111111  6.88888889],0
p11,1,0.035194,4.435714,[6 8] ; [24  8],[9.13043478 4.86956522] ; [20.86956522 11.13043478],0
s1,1,0.042641,4.109588,[ 3 11] ; [ 1 31],[ 1.2173913 12.7826087] ; [ 2.7826087 29.2173913],0
d4,1,0.046331,3.969527,[8 6] ; [27  5],[10.65217391  3.34782609] ; [24.34782609  7.65217391],0
p9,1,0.056452,3.638672,[7 7] ; [25  7],[9.73913043 4.26086957] ; [22.26086957  9.73913043],0
a5,1,0.059705,3.54557,[5 9] ; [21 11],[7.91304348 6.08695652] ; [18.08695652 13.91304348],0
a7,1,0.083774,2.990124,[ 4 10] ; [18 14],[6.69565217 7.30434783] ; [15.30434783 16.69565217],0
r2,1,0.100599,2.696021,[6 7] ; [21  8],[8.35714286 4.64285714] ; [18.64285714 10.35714286],0
b5,1,0.103704,2.64764,[11  3] ; [17 15],[8.52173913 5.47826087] ; [19.47826087 12.52173913],0
p8,1,0.114682,2.488479,[8 6] ; [10 21],[5.6 8.4] ; [12.4 18.6],0
a4,1,0.115379,2.478954,[ 2 12] ; [12 20],[4.26086957 9.73913043] ; [ 9.73913043 22.26086957],0
b4,1,0.123965,2.366497,[ 4 10] ; [17 15],[6.39130435 7.60869565] ; [14.60869565 17.39130435],0
a6,1,0.149006,2.082393,[6 8] ; [21 11],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
v3,1,0.206898,1.593004,[ 2 12] ; [10 21],[ 3.73333333 10.26666667] ; [ 8.26666667 22.73333333],0
u3,1,0.231605,1.430976,[2 4] ; [7 4],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
v4,1,0.237971,1.392573,[7 6] ; [21  8],[8.66666667 4.33333333] ; [19.33333333  9.66666667],0
s6,1,0.252709,1.308267,[8 6] ; [23  8],[9.64444444 4.35555556] ; [21.35555556  9.64444444],0
b2,1,0.271455,1.20938,[1 8] ; [ 6 14],[2.17241379 6.82758621] ; [ 4.82758621 15.17241379],0
b3,1,0.271455,1.20938,[1 8] ; [ 6 14],[2.17241379 6.82758621] ; [ 4.82758621 15.17241379],0
n4,1,0.317731,0.998264,[7 7] ; [21 11],[8.52173913 5.47826087] ; [19.47826087 12.52173913],0
p10,1,0.362419,0.829493,[8 6] ; [22  9],[9.33333333 4.66666667] ; [20.66666667 10.33333333],0
a1,1,0.373468,0.792092,[ 2 12] ; [ 2 30],[ 1.2173913 12.7826087] ; [ 2.7826087 29.2173913],0
p7,1,0.375678,0.784798,[9 4] ; [17 14],[7.68181818 5.31818182] ; [18.31818182 12.68181818],0
s7,1,0.402114,0.701994,[7 7] ; [19 11],[8.27272727 5.72727273] ; [17.72727273 12.27272727],0
n3,1,0.405187,0.692877,[2 4] ; [7 6],[2.84210526 3.15789474] ; [6.15789474 6.84210526],0
n6,1,0.424415,0.638058,[7 6] ; [20 10],[8.1627907 4.8372093] ; [18.8372093 11.1627907],0
p3,1,0.482305,0.493647,[5 9] ; [15 17],[6.08695652 7.91304348] ; [13.91304348 18.08695652],0
p1,1,0.555,0.348435,[ 1 13] ; [ 1 30],[ 0.62222222 13.37777778] ; [ 1.37777778 29.62222222],0
p6,1,0.558527,0.342262,[ 4 10] ; [12 20],[4.86956522 9.13043478] ; [11.13043478 20.86956522],0
a3,1,0.583415,0.300746,[8 6] ; [21 11],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
s4,1,0.606741,0.264947,[5 9] ; [ 9 23],[4.26086957 9.73913043] ; [ 9.73913043 22.26086957],0
s8,1,0.610534,0.259398,[5 9] ; [14 18],[5.7826087 8.2173913] ; [13.2173913 18.7826087],0
v1,1,0.632101,0.229223,[5 9] ; [13 17],[5.72727273 8.27272727] ; [12.27272727 17.72727273],0
n2,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
p2,1,0.665079,0.187412,[10  4] ; [24  7],[10.57777778  3.42222222] ; [23.42222222  7.57777778],0
b1,1,0.69537,0.153333,[7 7] ; [14 18],[6.39130435 7.60869565] ; [14.60869565 17.39130435],0
u2,1,0.69627,0.152381,[3 3] ; [4 6],[2.625 3.375] ; [4.375 5.625],0
r1,1,0.751731,0.100083,[ 3 11] ; [ 8 23],[ 3.42222222 10.57777778] ; [ 7.57777778 23.42222222],0
p4,1,0.845211,0.038116,[7 7] ; [17 15],[7.30434783 6.69565217] ; [16.69565217 15.30434783],0
s3,1,0.931419,0.007406,[11  3] ; [24  7],[10.88888889  3.11111111] ; [24.11111111  6.88888889],0
a8,1,0.931419,0.007406,[ 1 13] ; [ 2 29],[ 0.93333333 13.06666667] ; [ 2.06666667 28.93333333],0
n5,1,0.951226,0.003741,[9 5] ; [19 11],[8.90909091 5.09090909] ; [19.09090909 10.90909091],0
