Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.001138,10.588617,[ 4 23] ; [15 11],[ 9.67924528 17.32075472] ; [ 9.32075472 16.67924528],0
b2,1,0.001138,10.588617,[ 4 23] ; [15 11],[ 9.67924528 17.32075472] ; [ 9.32075472 16.67924528],0
p7,1,0.007491,7.151225,[31 10] ; [16 19],[25.35526316 15.64473684] ; [21.64473684 13.35526316],0
v3,1,0.030918,4.657518,[10 31] ; [16 17],[14.40540541 26.59459459] ; [11.59459459 21.40540541],0
n1,1,0.035391,4.42619,[ 2 10] ; [6 4],[4.36363636 7.63636364] ; [3.63636364 6.36363636],0
p1,1,0.038235,4.294553,[ 2 40] ; [ 7 28],[ 4.90909091 37.09090909] ; [ 4.09090909 30.90909091],0
b5,1,0.039338,4.246205,[22 20] ; [27  9],[26.38461538 15.61538462] ; [22.61538462 13.38461538],0
v2,1,0.050795,3.815017,[18 22] ; [23 11],[22.16216216 17.83783784] ; [18.83783784 15.16216216],0
n3,1,0.077598,3.11451,[11  1] ; [6 4],[9.27272727 2.72727273] ; [7.72727273 2.27272727],0
p8,1,0.090796,2.860199,[22 20] ; [12 24],[18.30769231 23.69230769] ; [15.69230769 20.30769231],0
a8,1,0.102239,2.67026,[ 4 36] ; [ 8 25],[ 6.57534247 33.42465753] ; [ 5.42465753 27.57534247],0
p10,1,0.107775,2.586555,[36  6] ; [24 10],[33.15789474  8.84210526] ; [26.84210526  7.15789474],0
s5,1,0.141645,2.16,[12 28] ; [15 17],[15. 25.] ; [12. 20.],0
n2,1,0.145251,2.121429,[6 6] ; [8 2],[7.63636364 4.36363636] ; [6.36363636 3.63636364],0
p4,1,0.183658,1.767775,[25 17] ; [16 20],[22.07692308 19.92307692] ; [18.92307692 17.07692308],0
p9,1,0.190841,1.711111,[34  8] ; [32  3],[36.  6.] ; [30.  5.],0
p2,1,0.231332,1.432653,[36  6] ; [27  9],[33.92307692  8.07692308] ; [29.07692308  6.92307692],0
s1,1,0.234778,1.41168,[ 1 41] ; [ 3 33],[ 2.15384615 39.84615385] ; [ 1.84615385 34.15384615],0
u2,1,0.236724,1.4,[8 4] ; [8 1],[9.14285714 2.85714286] ; [6.85714286 2.14285714],0
a7,1,0.237336,1.396348,[33  9] ; [24 12],[30.69230769 11.30769231] ; [26.30769231  9.69230769],0
n6,1,0.279562,1.169218,[29 13] ; [20 15],[26.72727273 15.27272727] ; [22.27272727 12.72727273],0
r2,1,0.330133,0.948376,[36  5] ; [33  2],[37.22368421  3.77631579] ; [31.77631579  3.22368421],0
s6,1,0.331544,0.942857,[36  6] ; [27  8],[34.36363636  7.63636364] ; [28.63636364  6.36363636],0
s7,1,0.440401,0.595238,[24 16] ; [24 11],[25.6 14.4] ; [22.4 12.6],0
p6,1,0.451499,0.566886,[13 28] ; [14 21],[14.56578947 26.43421053] ; [12.43421053 22.56578947],0
a1,1,0.520889,0.412133,[ 2 40] ; [ 3 33],[ 2.69230769 39.30769231] ; [ 2.30769231 33.69230769],0
s4,1,0.522045,0.409852,[12 30] ; [ 8 28],[10.76923077 31.23076923] ; [ 9.23076923 26.76923077],0
p5,1,0.53462,0.385603,[ 4 38] ; [ 2 33],[ 3.27272727 38.72727273] ; [ 2.72727273 32.27272727],0
d4,1,0.542227,0.371429,[34  8] ; [31  5],[35.  7.] ; [30.  6.],0
a4,1,0.549192,0.358766,[17 25] ; [17 19],[18.30769231 23.69230769] ; [15.69230769 20.30769231],0
d5,1,0.594746,0.282993,[33  9] ; [30  6],[33.92307692  8.07692308] ; [29.07692308  6.92307692],0
s3,1,0.61012,0.26,[28 14] ; [22 14],[26.92307692 15.07692308] ; [23.07692308 12.92307692],0
a2,1,0.641569,0.216697,[10 32] ; [ 7 29],[ 9.15384615 32.84615385] ; [ 7.84615385 28.15384615],0
r1,1,0.68399,0.165668,[31 11] ; [28  8],[31.76923077 10.23076923] ; [27.23076923  8.76923077],0
d3,1,0.722963,0.125671,[30 12] ; [27  9],[30.69230769 11.30769231] ; [26.30769231  9.69230769],0
p11,1,0.722963,0.125671,[30 12] ; [27  9],[30.69230769 11.30769231] ; [26.30769231  9.69230769],0
d1,1,0.72361,0.12506,[25 17] ; [20 16],[24.23076923 17.76923077] ; [20.76923077 15.23076923],0
u1,1,0.729234,0.119816,[ 8 34] ; [ 8 28],[ 8.61538462 33.38461538] ; [ 7.38461538 28.61538462],0
a5,1,0.759204,0.093958,[29 13] ; [26 10],[29.61538462 12.38461538] ; [25.38461538 10.61538462],0
b1,1,0.77242,0.083643,[15 27] ; [14 22],[15.61538462 26.38461538] ; [13.38461538 22.61538462],0
b4,1,0.797124,0.066086,[28 14] ; [23 13],[27.46153846 14.53846154] ; [23.53846154 12.46153846],0
d2,1,0.806704,0.059868,[21 21] ; [19 17],[21.53846154 20.46153846] ; [18.46153846 17.53846154],0
p3,1,0.806704,0.059868,[21 21] ; [17 19],[20.46153846 21.53846154] ; [17.53846154 18.46153846],0
r4,1,0.844063,0.03869,[39  3] ; [33  3],[38.76923077  3.23076923] ; [33.23076923  2.76923077],0
p12,1,0.851261,0.03516,[ 2 40] ; [ 2 33],[ 2.18181818 39.81818182] ; [ 1.81818182 33.18181818],0
s2,1,0.856558,0.032673,[26 16] ; [23 13],[26.38461538 15.61538462] ; [22.61538462 13.38461538],0
r3,1,0.911985,0.012218,[41  1] ; [35  1],[40.92307692  1.07692308] ; [35.07692308  0.92307692],0
a3,1,0.938106,0.00603,[30 12] ; [26 10],[30.15384615 11.84615385] ; [25.84615385 10.15384615],0
a6,1,0.970946,0.001327,[27 15] ; [23 13],[26.92307692 15.07692308] ; [23.07692308 12.92307692],0
n4,1,0.972089,0.001224,[20 22] ; [17 19],[19.92307692 22.07692308] ; [17.07692308 18.92307692],0
