Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,35.014468,[17 38] ; [104  32],[34.84293194 20.15706806] ; [86.15706806 49.84293194],1
d3,1,5.2e-05,16.372498,[27 28] ; [107  29],[38.58638743 16.41361257] ; [95.41361257 40.58638743],1
u1,1,0.001186,10.512544,[ 3 52] ; [ 36 101],[11.171875 43.828125] ; [ 27.828125 109.171875],0
a2,1,0.003256,8.658002,[ 6 49] ; [43 94],[14.03645833 40.96354167] ; [ 34.96354167 102.03645833],0
v2,1,0.004728,7.980486,[21 32] ; [83 50],[29.6344086 23.3655914] ; [74.3655914 58.6344086],0
b5,1,0.012831,6.192317,[25 30] ; [89 48],[32.65625 22.34375] ; [81.34375 55.65625],0
s6,1,0.014248,6.007145,[38 15] ; [118  18],[43.74603175  9.25396825] ; [112.25396825  23.74603175],0
n5,1,0.014333,5.996678,[48  7] ; [95 40],[41.39473684 13.60526316] ; [101.60526316  33.39473684],0
r1,1,0.021438,5.290835,[40 15] ; [117  18],[45.44736842  9.55263158] ; [111.55263158  23.44736842],0
d4,1,0.030666,4.671548,[39 16] ; [115  21],[44.34554974 10.65445026] ; [109.65445026  26.34554974],0
d1,1,0.035645,4.413991,[25 30] ; [85 52],[31.51041667 23.48958333] ; [78.48958333 58.51041667],0
r4,1,0.036447,4.376047,[42 13] ; [121  16],[46.69270833  8.30729167] ; [116.30729167  20.69270833],0
v4,1,0.045273,4.008439,[47  6] ; [130   5],[49.89893617  3.10106383] ; [127.10106383   7.89893617],0
b1,1,0.0612,3.504559,[26 29] ; [45 92],[20.33854167 34.66145833] ; [50.66145833 86.33854167],0
n4,1,0.061406,3.498984,[48  7] ; [102  34],[43.19371728 11.80628272] ; [106.80628272  29.19371728],0
a5,1,0.066735,3.361544,[35 20] ; [105  32],[40.10416667 14.89583333] ; [99.89583333 37.10416667],0
b2,1,0.06795,3.331853,[19 19] ; [31 63],[14.39393939 23.60606061] ; [35.60606061 58.39393939],0
b3,1,0.06795,3.331853,[19 19] ; [31 63],[14.39393939 23.60606061] ; [35.60606061 58.39393939],0
d5,1,0.135091,2.232999,[40 15] ; [112  24],[43.76963351 11.23036649] ; [108.23036649  27.76963351],0
b4,1,0.173494,1.852487,[27 28] ; [82 55],[31.22395833 23.77604167] ; [77.77604167 59.22395833],0
p2,1,0.197144,1.663408,[39 16] ; [109  28],[42.39583333 12.60416667] ; [105.60416667  31.39583333],0
n1,1,0.24388,1.358025,[13 11] ; [14 22],[10.8 13.2] ; [16.2 19.8],0
a8,1,0.281822,1.158281,[ 8 45] ; [26 91],[10.6 42.4] ; [23.4 93.6],0
