Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,5.2e-05,16.362152,[78 13] ; [6 9],[72.11320755 18.88679245] ; [11.88679245  3.11320755],1
r4,1,0.000416,12.460864,[83  9] ; [9 7],[78.37037037 13.62962963] ; [13.62962963  2.37037037],1
r3,1,0.004128,8.226417,[86  4] ; [12  4],[83.20754717  6.79245283] ; [14.79245283  1.20754717],0
v4,1,0.008964,6.83004,[87  5] ; [12  4],[84.33333333  7.66666667] ; [14.66666667  1.33333333],0
r2,1,0.008977,6.827411,[89  3] ; [12  3],[86.8411215  5.1588785] ; [14.1588785  0.8411215],0
d1,1,0.0099,6.652851,[55 37] ; [ 4 12],[50.25925926 41.74074074] ; [8.74074074 7.25925926],0
n6,1,0.011648,6.363636,[70 20] ; [7 8],[66. 24.] ; [11.  4.],0
s8,1,0.012602,6.224168,[54 38] ; [ 4 12],[49.40740741 42.59259259] ; [8.59259259 7.40740741],0
r1,1,0.012819,6.193866,[76 15] ; [9 7],[72.28971963 18.71028037] ; [12.71028037  3.28971963],0
v2,1,0.021849,5.257766,[51 36] ; [ 4 11],[46.91176471 40.08823529] ; [8.08823529 6.91176471],0
s5,1,0.050911,3.811205,[43 44] ; [ 3 11],[39.62376238 47.37623762] ; [6.37623762 7.62376238],0
p4,1,0.055632,3.663037,[55 37] ; [ 5 10],[51.58878505 40.41121495] ; [8.41121495 6.58878505],0
s7,1,0.108308,2.578743,[58 23] ; [7 7],[55.42105263 25.57894737] ; [9.57894737 4.42105263],0
s3,1,0.111242,2.536491,[74 18] ; [10  6],[71.55555556 20.44444444] ; [12.44444444  3.55555556],0
d2,1,0.145853,2.115098,[52 39] ; [ 6 10],[49.3271028 41.6728972] ; [8.6728972 7.3271028],0
n5,1,0.165566,1.922639,[56 34] ; [7 9],[53.49056604 36.50943396] ; [9.50943396 6.49056604],0
n2,1,0.190614,1.712869,[27  7] ; [2 2],[25.94736842  8.05263158] ; [3.05263158 0.94736842],0
a2,1,0.210903,1.565217,[25 67] ; [ 2 14],[23. 69.] ; [ 4. 12.],0
s1,1,0.240475,1.377807,[ 8 81] ; [ 3 13],[ 9.32380952 79.67619048] ; [ 1.67619048 14.32380952],0
a3,1,0.252282,1.310621,[65 27] ; [9 7],[63.03703704 28.96296296] ; [10.96296296  5.03703704],0
n3,1,0.255445,1.293277,[26  8] ; [2 2],[25.05263158  8.94736842] ; [2.94736842 1.05263158],0
p8,1,0.279524,1.169403,[31 60] ; [ 3 12],[29.18867925 61.81132075] ; [ 4.81132075 10.18867925],0
a1,1,0.289394,1.12244,[ 5 87] ; [ 2 14],[ 5.96296296 86.03703704] ; [ 1.03703704 14.96296296],0
a5,1,0.293574,1.103157,[64 28] ; [9 7],[62.18518519 29.81481481] ; [10.81481481  5.18518519],0
d3,1,0.323025,0.976658,[66 25] ; [9 6],[64.38679245 26.61320755] ; [10.61320755  4.38679245],0
d4,1,0.411031,0.675818,[76 15] ; [12  4],[74.8411215 16.1588785] ; [13.1588785  2.8411215],0
p3,1,0.415198,0.663866,[41 51] ; [ 5 10],[39.55140187 52.44859813] ; [6.44859813 8.55140187],0
p6,1,0.441213,0.593125,[33 58] ; [7 8],[34.33962264 56.66037736] ; [5.66037736 9.33962264],0
a4,1,0.493262,0.469403,[43 49] ; [ 6 10],[41.74074074 50.25925926] ; [7.25925926 8.74074074],0
a6,1,0.528322,0.397617,[55 36] ; [11  5],[56.13084112 34.86915888] ; [9.86915888 6.13084112],0
n4,1,0.531117,0.392255,[58 32] ; [9 7],[56.88679245 33.11320755] ; [10.11320755  5.88679245],0
p2,1,0.557787,0.34355,[67 25] ; [12  3],[67.92523364 24.07476636] ; [11.07476636  3.92523364],0
a7,1,0.55823,0.342777,[68 24] ; [10  5],[67.06542056 24.93457944] ; [10.93457944  4.06542056],0
b4,1,0.570999,0.321014,[53 39] ; [8 8],[51.96296296 40.03703704] ; [9.03703704 6.96296296],0
n1,1,0.603713,0.269433,[13 21] ; [1 3],[12.52631579 21.47368421] ; [1.47368421 2.52631579],0
v3,1,0.610739,0.2591,[33 54] ; [ 5 11],[32.09708738 54.90291262] ; [ 5.90291262 10.09708738],0
v1,1,0.615905,0.251665,[46 45] ; [7 9],[45.07476636 45.92523364] ; [7.92523364 8.07476636],0
b5,1,0.660943,0.19238,[58 34] ; [11  5],[58.77777778 33.22222222] ; [10.22222222  5.77777778],0
b1,1,0.686935,0.162423,[51 41] ; [8 8],[50.25925926 41.74074074] ; [8.74074074 7.25925926],0
p9,1,0.692349,0.156555,[67 22] ; [12  3],[67.60576923 21.39423077] ; [11.39423077  3.60576923],0
p10,1,0.698904,0.149615,[58 31] ; [9 6],[57.33653846 31.66346154] ; [9.66346154 5.33653846],0
b2,1,0.714062,0.134254,[15 32] ; [2 3],[15.36538462 31.63461538] ; [1.63461538 3.36538462],0
b3,1,0.714062,0.134254,[15 32] ; [2 3],[15.36538462 31.63461538] ; [1.63461538 3.36538462],0
s4,1,0.736893,0.112876,[25 67] ; [ 5 11],[25.55555556 66.44444444] ; [ 4.44444444 11.55555556],0
u3,1,0.74047,0.109714,[16  9] ; [4 3],[15.625  9.375] ; [4.375 2.625],0
p7,1,0.811062,0.057148,[45 45] ; [7 8],[44.57142857 45.42857143] ; [7.42857143 7.57142857],0
u1,1,0.849088,0.036207,[21 71] ; [ 4 12],[21.2962963 70.7037037] ; [ 3.7037037 12.2962963],0
u2,1,0.957035,0.002902,[14 11] ; [4 3],[14.0625 10.9375] ; [3.9375 3.0625],0
