Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001542,10.027795,[ 5 29] ; [12 10],[10.32142857 23.67857143] ; [ 6.67857143 15.32142857],0
s6,1,0.003021,8.794933,[ 4 30] ; [10 11],[ 8.65454545 25.34545455] ; [ 5.34545455 15.65454545],0
p2,1,0.004225,8.184524,[ 7 26] ; [13  9],[12. 21.] ; [ 8. 14.],0
s5,1,0.011419,6.398953,[ 2 31] ; [ 7 15],[ 5.4 27.6] ; [ 3.6 18.4],0
r3,1,0.02703,4.888889,[14 19] ; [16  6],[18. 15.] ; [12. 10.],0
v2,1,0.056658,3.632611,[ 7 26] ; [10 12],[10.2 22.8] ; [ 6.8 15.2],0
n5,1,0.059995,3.537533,[24 10] ; [10 12],[20.64285714 13.35714286] ; [13.35714286  8.64285714],0
d5,1,0.066234,3.373975,[18 16] ; [17  5],[21.25 12.75] ; [13.75  8.25],0
d4,1,0.071945,3.238077,[20 14] ; [18  4],[23.07142857 10.92857143] ; [14.92857143  7.07142857],0
v3,1,0.085882,2.949911,[ 7 26] ; [ 1 21],[ 4.8 28.2] ; [ 3.2 18.8],0
p1,1,0.093825,2.807487,[ 7 27] ; [ 1 21],[ 4.85714286 29.14285714] ; [ 3.14285714 18.85714286],0
a4,1,0.140754,2.169701,[10 23] ; [11 11],[12.6 20.4] ; [ 8.4 13.6],0
s8,1,0.14646,2.108734,[ 3 31] ; [ 5 17],[ 4.85714286 29.14285714] ; [ 3.14285714 18.85714286],0
s4,1,0.14766,2.096257,[ 6 28] ; [ 1 21],[ 4.25 29.75] ; [ 2.75 19.25],0
r2,1,0.151944,2.052627,[15 16] ; [15  7],[17.54716981 13.45283019] ; [12.45283019  9.54716981],0
a3,1,0.17393,1.848739,[18 16] ; [15  6],[20.4 13.6] ; [12.6  8.4],0
p7,1,0.25852,1.276668,[ 9 25] ; [ 9 13],[10.92857143 23.07142857] ; [ 7.07142857 14.92857143],0
p8,1,0.270912,1.212121,[ 5 28] ; [ 6 16],[ 6.6 26.4] ; [ 4.4 17.6],0
p4,1,0.299129,1.078075,[ 8 26] ; [ 8 14],[ 9.71428571 24.28571429] ; [ 6.28571429 15.71428571],0
a5,1,0.316093,1.005044,[17 17] ; [14  8],[18.82142857 15.17857143] ; [12.17857143  9.82142857],0
p11,1,0.327231,0.959824,[14 20] ; [12 10],[15.78571429 18.21428571] ; [10.21428571 11.78571429],0
p5,1,0.338352,0.916667,[ 2 31] ; [ 3 19],[ 3. 30.] ; [ 2. 20.],0
p6,1,0.343801,0.896208,[ 3 29] ; [ 4 18],[ 4.14814815 27.85185185] ; [ 2.85185185 19.14814815],0
u2,1,0.349445,0.87547,[ 2 14] ; [2 5],[ 2.7826087 13.2173913] ; [1.2173913 5.7826087],0
u3,1,0.349445,0.87547,[ 2 14] ; [2 5],[ 2.7826087 13.2173913] ; [1.2173913 5.7826087],0
v1,1,0.376371,0.78252,[ 7 26] ; [ 7 15],[ 8.4 24.6] ; [ 5.6 16.4],0
s3,1,0.376371,0.78252,[ 7 26] ; [ 7 15],[ 8.4 24.6] ; [ 5.6 16.4],0
p10,1,0.500184,0.454545,[12 21] ; [10 12],[13.2 19.8] ; [ 8.8 13.2],0
a6,1,0.505283,0.443823,[17 17] ; [ 9 13],[15.78571429 18.21428571] ; [10.21428571 11.78571429],0
d3,1,0.51654,0.420797,[14 20] ; [11 11],[15.17857143 18.82142857] ; [ 9.82142857 12.17857143],0
n2,1,0.570632,0.321626,[7 9] ; [5 4],[7.68 8.32] ; [4.32 4.68],0
n6,1,0.58042,0.305556,[14 19] ; [11 11],[15. 18.] ; [10. 12.],0
a7,1,0.584218,0.299465,[16 18] ; [12 10],[17. 17.] ; [11. 11.],0
b5,1,0.584218,0.299465,[18 16] ; [10 12],[17. 17.] ; [11. 11.],0
b2,1,0.601456,0.272805,[10 13] ; [ 6 11],[ 9.2 13.8] ; [ 6.8 10.2],0
b3,1,0.601456,0.272805,[10 13] ; [ 6 11],[ 9.2 13.8] ; [ 6.8 10.2],0
a8,1,0.614191,0.254118,[ 5 29] ; [ 4 16],[ 5.66666667 28.33333333] ; [ 3.33333333 16.66666667],0
