Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00442,8.102808,[18 71] ; [11 11],[23.25225225 65.74774775] ; [ 5.74774775 16.25225225],0
p7,1,0.026567,4.918745,[29 58] ; [13  9],[33.52293578 53.47706422] ; [ 8.47706422 13.52293578],0
n5,1,0.028642,4.78901,[59 30] ; [ 9 13],[54.52252252 34.47747748] ; [13.47747748  8.52252252],0
b1,1,0.0325,4.571928,[35 56] ; [14  8],[39.46017699 51.53982301] ; [ 9.53982301 12.46017699],0
r2,1,0.056883,3.626004,[70 20] ; [21  1],[73.125 16.875] ; [17.875  4.125],0
s5,1,0.101074,2.688509,[13 76] ; [ 6 14],[15.51376147 73.48623853] ; [ 3.48623853 16.51376147],0
a7,1,0.128338,2.312498,[41 49] ; [14  8],[44.19642857 45.80357143] ; [10.80357143 11.19642857],0
r4,1,0.148192,2.090769,[60 31] ; [18  4],[62.81415929 28.18584071] ; [15.18584071  6.81415929],0
a6,1,0.167811,1.902388,[43 48] ; [14  8],[45.90265487 45.09734513] ; [11.09734513 10.90265487],0
v2,1,0.168181,1.89908,[23 61] ; [ 9 12],[25.6 58.4] ; [ 6.4 14.6],0
p10,1,0.214477,1.540948,[49 39] ; [ 9 13],[46.4 41.6] ; [11.6 10.4],0
v4,1,0.223726,1.480307,[71 18] ; [20  2],[72.96396396 16.03603604] ; [18.03603604  3.96396396],0
p6,1,0.230004,1.440837,[12 78] ; [ 5 16],[13.78378378 76.21621622] ; [ 3.21621622 17.78378378],0
d2,1,0.244463,1.35467,[23 68] ; [ 3 19],[20.9380531 70.0619469] ; [ 5.0619469 16.9380531],0
u3,1,0.277295,1.180301,[20 25] ; [8 5],[21.72413793 23.27586207] ; [6.27586207 6.72413793],0
s7,1,0.294976,1.096772,[19 66] ; [ 7 14],[20.8490566 64.1509434] ; [ 5.1509434 15.8490566],0
b4,1,0.311347,1.024952,[47 44] ; [14  8],[49.12389381 41.87610619] ; [11.87610619 10.12389381],0
u2,1,0.319436,0.991253,[19 26] ; [7 5],[20.52631579 24.47368421] ; [5.47368421 6.52631579],0
p11,1,0.370129,0.803232,[59 32] ; [12 10],[57.17699115 33.82300885] ; [13.82300885  8.17699115],0
d1,1,0.378107,0.776846,[ 4 87] ; [ 2 20],[ 4.83185841 86.16814159] ; [ 1.16814159 20.83185841],0
p5,1,0.385596,0.752786,[ 4 86] ; [ 2 20],[ 4.82142857 85.17857143] ; [ 1.17857143 20.82142857],0
a3,1,0.417299,0.657908,[45 44] ; [ 9 13],[43.2972973 45.7027027] ; [10.7027027 11.2972973],0
v3,1,0.419918,0.650544,[18 70] ; [ 6 15],[19.37614679 68.62385321] ; [ 4.62385321 16.37614679],0
a5,1,0.425575,0.634868,[33 58] ; [10 12],[34.62831858 56.37168142] ; [ 8.37168142 13.62831858],0
d3,1,0.426396,0.63262,[37 54] ; [11 11],[38.65486726 52.34513274] ; [ 9.34513274 12.65486726],0
a4,1,0.428913,0.625765,[19 71] ; [ 3 19],[17.67857143 72.32142857] ; [ 4.32142857 17.67857143],0
n1,1,0.434618,0.61045,[14 23] ; [1 4],[13.21428571 23.78571429] ; [1.78571429 3.21428571],0
r3,1,0.479875,0.499146,[71 18] ; [19  3],[72.16216216 16.83783784] ; [17.83783784  4.16216216],0
d4,1,0.501583,0.451585,[46 44] ; [13  9],[47.41071429 42.58928571] ; [11.58928571 10.41071429],0
s4,1,0.506161,0.441995,[18 73] ; [ 3 19],[16.91150442 74.08849558] ; [ 4.08849558 17.91150442],0
s3,1,0.507353,0.439522,[42 48] ; [12 10],[43.39285714 46.60714286] ; [10.60714286 11.39285714],0
a8,1,0.521755,0.410422,[12 72] ; [ 2 20],[11.09433962 72.90566038] ; [ 2.90566038 19.09433962],0
s8,1,0.577715,0.309943,[16 75] ; [ 5 17],[16.91150442 74.08849558] ; [ 4.08849558 17.91150442],0
p9,1,0.66639,0.185854,[57 32] ; [13  9],[56.12612613 32.87387387] ; [13.87387387  8.12612613],0
a1,1,0.681907,0.167987,[ 6 85] ; [ 2 20],[ 6.44247788 84.55752212] ; [ 1.55752212 20.44247788],0
p1,1,0.681907,0.167987,[ 6 85] ; [ 2 20],[ 6.44247788 84.55752212] ; [ 1.55752212 20.44247788],0
s6,1,0.68217,0.167693,[37 54] ; [10 12],[37.84955752 53.15044248] ; [ 9.15044248 12.84955752],0
a2,1,0.720648,0.127873,[ 6 85] ; [ 1 21],[ 5.63716814 85.36283186] ; [ 1.36283186 20.63716814],0
n2,1,0.760918,0.092584,[28 10] ; [4 1],[28.27906977  9.72093023] ; [3.72093023 1.27906977],0
b5,1,0.807134,0.059597,[47 44] ; [12 10],[47.51327434 43.48672566] ; [11.48672566 10.51327434],0
n6,1,0.814151,0.05526,[59 30] ; [14  8],[58.53153153 30.46846847] ; [14.46846847  7.53153153],0
s1,1,0.825257,0.048747,[ 5 82] ; [ 1 21],[ 4.78899083 82.21100917] ; [ 1.21100917 20.78899083],0
r1,1,0.827182,0.047662,[55 35] ; [14  8],[55.44642857 34.55357143] ; [13.55357143  8.44642857],0
v1,1,0.84508,0.038181,[34 54] ; [ 9 13],[34.4 53.6] ; [ 8.6 13.4],0
n4,1,0.861926,0.030249,[55 35] ; [13  9],[54.64285714 35.35714286] ; [13.35714286  8.64285714],0
p2,1,0.942191,0.005259,[53 38] ; [13  9],[53.15044248 37.84955752] ; [12.84955752  9.15044248],0
s2,1,0.945202,0.004724,[29 60] ; [ 7 15],[28.86486486 60.13513514] ; [ 7.13513514 14.86486486],0
b3,1,0.953542,0.003394,[22 37] ; [4 7],[21.91428571 37.08571429] ; [4.08571429 6.91428571],0
b2,1,0.953542,0.003394,[22 37] ; [4 7],[21.91428571 37.08571429] ; [4.08571429 6.91428571],0
