Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.5e-05,16.659788,[58  2] ; [5 4],[54.7826087  5.2173913] ; [8.2173913 0.7826087],1
p2,1,4.5e-05,16.659788,[58  2] ; [5 4],[54.7826087  5.2173913] ; [8.2173913 0.7826087],1
p3,1,8.3e-05,15.482349,[53  7] ; [3 6],[48.69565217 11.30434783] ; [7.30434783 1.69565217],1
r3,1,0.001207,10.479375,[58  2] ; [6 3],[55.65217391  4.34782609] ; [8.34782609 0.65217391],0
p7,1,0.002372,9.236804,[52  7] ; [3 4],[49.16666667  9.83333333] ; [5.83333333 1.16666667],0
v2,1,0.004231,8.18172,[36 22] ; [1 8],[32.02985075 25.97014925] ; [4.97014925 4.02985075],0
n5,1,0.004908,7.913095,[57  3] ; [6 3],[54.7826087  5.2173913] ; [8.2173913 0.7826087],0
s2,1,0.011301,6.417411,[45 15] ; [3 6],[41.73913043 18.26086957] ; [6.26086957 2.73913043],0
s1,1,0.028926,4.772029,[ 5 55] ; [3 6],[ 6.95652174 53.04347826] ; [1.04347826 7.95652174],0
s8,1,0.053323,3.733766,[50 10] ; [5 4],[47.82608696 12.17391304] ; [7.17391304 1.82608696],0
p6,1,0.056922,3.624865,[42 17] ; [3 5],[39.62686567 19.37313433] ; [5.37313433 2.62686567],0
v3,1,0.103901,2.644625,[36 22] ; [3 6],[33.76119403 24.23880597] ; [5.23880597 3.76119403],0
v4,1,0.115286,2.480224,[59  1] ; [8 1],[58.26086957  1.73913043] ; [8.73913043 0.26086957],0
p8,1,0.12641,2.33605,[52  8] ; [6 3],[50.43478261  9.56521739] ; [7.56521739 1.43478261],0
b4,1,0.141968,2.156494,[31 29] ; [7 2],[33.04347826 26.95652174] ; [4.95652174 4.04347826],0
d1,1,0.160571,1.968843,[41 19] ; [4 5],[39.13043478 20.86956522] ; [5.86956522 3.13043478],0
p1,1,0.176672,1.825397,[20 40] ; [1 8],[18.26086957 41.73913043] ; [2.73913043 6.26086957],0
d3,1,0.178636,1.808932,[46 14] ; [5 4],[44.34782609 15.65217391] ; [6.65217391 2.34782609],0
s6,1,0.206158,1.598204,[54  5] ; [7 2],[52.92647059  6.07352941] ; [8.07352941 0.92647059],0
v1,1,0.225432,1.469453,[42 17] ; [4 4],[40.50746269 18.49253731] ; [5.49253731 2.50746269],0
a6,1,0.229088,1.446516,[34 26] ; [7 2],[35.65217391 24.34782609] ; [5.34782609 3.65217391],0
b5,1,0.235358,1.408184,[21 39] ; [5 4],[22.60869565 37.39130435] ; [3.39130435 5.60869565],0
r2,1,0.235639,1.406496,[58  2] ; [7 1],[57.35294118  2.64705882] ; [7.64705882 0.35294118],0
s3,1,0.262152,1.257358,[48 12] ; [5 3],[46.76470588 13.23529412] ; [6.23529412 1.76470588],0
b3,1,0.266512,1.23461,[24 23] ; [2 5],[22.62962963 24.37037037] ; [3.37037037 3.62962963],0
b2,1,0.266512,1.23461,[24 23] ; [2 5],[22.62962963 24.37037037] ; [3.37037037 3.62962963],0
a5,1,0.357237,0.847583,[45 15] ; [8 1],[46.08695652 13.91304348] ; [6.91304348 2.08695652],0
n3,1,0.374857,0.7875,[7 7] ; [3 1],[7.77777778 6.22222222] ; [2.22222222 1.77777778],0
r1,1,0.38059,0.768796,[53  7] ; [7 2],[52.17391304  7.82608696] ; [7.82608696 1.17391304],0
s5,1,0.413107,0.66984,[37 20] ; [4 4],[35.95384615 21.04615385] ; [5.04615385 2.95384615],0
n6,1,0.464432,0.535192,[57  3] ; [8 1],[56.52173913  3.47826087] ; [8.47826087 0.52173913],0
p9,1,0.464432,0.535192,[57  3] ; [8 1],[56.52173913  3.47826087] ; [8.47826087 0.52173913],0
d4,1,0.479947,0.498983,[52  8] ; [7 2],[51.30434783  8.69565217] ; [7.69565217 1.30434783],0
a3,1,0.580998,0.304624,[51  9] ; [7 2],[50.43478261  9.56521739] ; [7.56521739 1.43478261],0
a7,1,0.631524,0.23,[42 18] ; [7 2],[42.60869565 17.39130435] ; [6.39130435 2.60869565],0
u3,1,0.657619,0.196429,[6 3] ; [1 1],[5.72727273 3.27272727] ; [1.27272727 0.72727273],0
a2,1,0.68178,0.168129,[10 50] ; [2 7],[10.43478261 49.56521739] ; [1.56521739 7.43478261],0
p11,1,0.757288,0.095508,[51  9] ; [8 1],[51.30434783  8.69565217] ; [7.69565217 1.30434783],0
b1,1,0.77285,0.083318,[23 37] ; [3 6],[22.60869565 37.39130435] ; [3.39130435 5.60869565],0
d5,1,0.780847,0.077404,[49 11] ; [7 2],[48.69565217 11.30434783] ; [7.30434783 1.69565217],0
n1,1,0.799846,0.064286,[8 6] ; [2 2],[7.77777778 6.22222222] ; [2.22222222 1.77777778],0
p10,1,0.826981,0.047775,[54  6] ; [7 1],[53.82352941  6.17647059] ; [7.17647059 0.82352941],0
d2,1,0.827592,0.047433,[31 29] ; [5 4],[31.30434783 28.69565217] ; [4.69565217 4.30434783],0
n2,1,0.879563,0.022959,[11  3] ; [3 1],[10.88888889  3.11111111] ; [3.11111111 0.88888889],0
a8,1,0.917638,0.010693,[ 9 48] ; [1 6],[ 8.90625 48.09375] ; [1.09375 5.90625],0
a4,1,0.975074,0.000976,[27 33] ; [4 5],[26.95652174 33.04347826] ; [4.04347826 4.95652174],0
