Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,5.4e-05,16.294125,[278  41] ; [15 11],[270.91884058  48.08115942] ; [22.08115942  3.91884058],1
p11,1,0.000359,12.732533,[281  41] ; [16 10],[274.81034483  47.18965517] ; [22.18965517  3.81034483],1
r3,1,0.000456,12.287005,[304  17] ; [20  6],[299.72334294  21.27665706] ; [24.27665706  1.72334294],1
r4,1,0.000457,12.281645,[287  35] ; [17  9],[281.28735632  40.71264368] ; [22.71264368  3.28735632],1
v1,1,0.002575,9.086599,[169 145] ; [ 6 20],[161.61764706 152.38235294] ; [13.38235294 12.61764706],0
b1,1,0.010729,6.50963,[106 216] ; [15 11],[111.95977011 210.04022989] ; [ 9.04022989 16.95977011],0
b5,1,0.017079,5.688197,[189 133] ; [ 9 17],[183.20689655 138.79310345] ; [14.79310345 11.20689655],0
v4,1,0.040252,4.207222,[303  18] ; [21  4],[300.58959538  20.41040462] ; [23.41040462  1.58959538],0
p3,1,0.042994,4.095642,[165 156] ; [ 8 18],[160.03746398 160.96253602] ; [12.96253602 13.03746398],0
n1,1,0.045235,4.009875,[18 46] ; [6 4],[20.75675676 43.24324324] ; [3.24324324 6.75675676],0
s3,1,0.045552,3.998077,[ 68 250] ; [10 16],[ 72.10465116 245.89534884] ; [ 5.89534884 20.10465116],0
s6,1,0.059302,3.556797,[158 158] ; [ 8 18],[153.38011696 162.61988304] ; [12.61988304 13.38011696],0
d3,1,0.062572,3.467876,[218 103] ; [13 13],[213.69164265 107.30835735] ; [17.30835735  8.69164265],0
p6,1,0.091867,2.841356,[ 99 219] ; [ 4 22],[ 95.21511628 222.78488372] ; [ 7.78488372 18.21511628],0
n5,1,0.095067,2.786402,[244  76] ; [16 10],[240.46242775  79.53757225] ; [19.53757225  6.46242775],0
n4,1,0.099364,2.715719,[245  77] ; [16 10],[241.5  80.5] ; [19.5  6.5],0
v2,1,0.143372,2.141393,[176 132] ; [11 15],[172.44311377 135.55688623] ; [14.55688623 11.44311377],0
a6,1,0.161078,1.96408,[228  94] ; [15 11],[224.84482759  97.15517241] ; [18.15517241  7.84482759],0
p4,1,0.17504,1.839241,[186 135] ; [11 14],[182.76589595 138.23410405] ; [14.23410405 10.76589595],0
p7,1,0.196933,1.664975,[205 111] ; [13 12],[202.01759531 113.98240469] ; [15.98240469  9.01759531],0
d2,1,0.2062,1.597906,[132 189] ; [14 12],[135.06051873 185.93948127] ; [10.93948127 15.06051873],0
a5,1,0.210661,1.566879,[235  87] ; [16 10],[232.24712644  89.75287356] ; [18.75287356  7.24712644],0
p8,1,0.2655,1.239851,[182 135] ; [12 14],[179.29446064 137.70553936] ; [14.70553936 11.29446064],0
n6,1,0.26839,1.224958,[274  48] ; [20  6],[272.03448276  49.96551724] ; [21.96551724  4.03448276],0
b4,1,0.27908,1.171564,[188 134] ; [18  8],[190.6091954 131.3908046] ; [15.3908046 10.6091954],0
a4,1,0.286962,1.133822,[133 188] ; [ 8 18],[130.4351585 190.5648415] ; [10.5648415 15.4351585],0
v3,1,0.287441,1.131569,[117 196] ; [ 7 19],[114.48967552 198.51032448] ; [ 9.51032448 16.48967552],0
s7,1,0.302894,1.061409,[ 88 217] ; [10 16],[ 90.3021148 214.6978852] ; [ 7.6978852 18.3021148],0
a2,1,0.34845,0.879094,[ 61 261] ; [ 3 23],[ 59.2183908 262.7816092] ; [ 4.7816092 21.2183908],0
u1,1,0.407891,0.684938,[ 43 279] ; [ 2 24],[ 41.63793103 280.36206897] ; [ 3.36206897 22.63793103],0
s5,1,0.425277,0.635686,[ 64 251] ; [ 7 19],[ 65.58651026 249.41348974] ; [ 5.41348974 20.58651026],0
u2,1,0.427248,0.630294,[61 44] ; [4 5],[59.86842105 45.13157895] ; [5.13157895 3.86842105],0
b3,1,0.451621,0.56658,[ 70 111] ; [ 5 12],[ 68.56060606 112.43939394] ; [ 6.43939394 10.56060606],0
b2,1,0.451621,0.56658,[ 70 111] ; [ 5 12],[ 68.56060606 112.43939394] ; [ 6.43939394 10.56060606],0
s4,1,0.455392,0.557197,[ 34 286] ; [ 4 22],[ 35.14450867 284.85549133] ; [ 2.85549133 23.14450867],0
s8,1,0.564526,0.331929,[ 91 230] ; [ 6 20],[ 89.73198847 231.26801153] ; [ 7.26801153 18.73198847],0
n3,1,0.69078,0.158242,[45 18] ; [7 2],[45.5 17.5] ; [6.5 2.5],0
a1,1,0.757624,0.095235,[  9 313] ; [ 1 25],[  9.25287356 312.74712644] ; [ 0.74712644 25.25287356],0
r1,1,0.758891,0.09421,[251  70] ; [21  5],[251.61959654  69.38040346] ; [20.38040346  5.61959654],0
u3,1,0.812044,0.056544,[54 51] ; [5 4],[54.34210526 50.65789474] ; [4.65789474 4.34210526],0
d4,1,0.814352,0.055139,[254  68] ; [20  6],[253.52873563  68.47126437] ; [20.47126437  5.52873563],0
a3,1,0.816554,0.053815,[217 104] ; [17  9],[216.46685879 104.53314121] ; [17.53314121  8.46685879],0
a8,1,0.81712,0.053477,[ 32 260] ; [ 3 21],[ 32.34177215 259.65822785] ; [ 2.65822785 21.34177215],0
