Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,42.531103,[ 8 29] ; [46  5],[22.70454545 14.29545455] ; [31.29545455 19.70454545],1
s6,1,5.8e-05,16.170967,[21 13] ; [48  2],[27.92857143  6.07142857] ; [41.07142857  8.92857143],1
p6,1,0.00137,10.245708,[13 22] ; [36 14],[20.17647059 14.82352941] ; [28.82352941 21.17647059],0
p4,1,0.003573,8.489111,[27  9] ; [49  2],[31.44827586  4.55172414] ; [44.55172414  6.44827586],0
s7,1,0.004247,8.175084,[18 16] ; [41  9],[23.88095238 10.11904762] ; [35.11904762 14.88095238],0
s5,1,0.00621,7.488432,[16 18] ; [36 11],[21.82716049 12.17283951] ; [30.17283951 16.82716049],0
s8,1,0.006292,7.464688,[17 20] ; [38 13],[23.125 13.875] ; [31.875 19.125],0
p12,1,0.006461,7.41688,[ 4 32] ; [19 32],[ 9.51724138 26.48275862] ; [13.48275862 37.51724138],0
r4,1,0.009806,6.669743,[29  8] ; [49  2],[32.79545455  4.20454545] ; [45.20454545  5.79545455],0
n6,1,0.013004,6.168592,[30  6] ; [50  1],[33.10344828  2.89655172] ; [46.89655172  4.10344828],0
p8,1,0.017661,5.629495,[25 12] ; [45  6],[29.43181818  7.56818182] ; [40.56818182 10.43181818],0
s4,1,0.022316,5.220939,[ 1 34] ; [10 41],[ 4.47674419 30.52325581] ; [ 6.52325581 44.47674419],0
v4,1,0.033803,4.504625,[32  5] ; [50  1],[34.47727273  2.52272727] ; [47.52272727  3.47727273],0
r3,1,0.033803,4.504625,[32  5] ; [50  1],[34.47727273  2.52272727] ; [47.52272727  3.47727273],0
p2,1,0.042745,4.105454,[30  6] ; [49  2],[32.68965517  3.31034483] ; [46.31034483  4.68965517],0
v1,1,0.073055,3.213,[21 14] ; [39 11],[24.70588235 10.29411765] ; [35.29411765 14.70588235],0
d1,1,0.094815,2.79066,[23 14] ; [40 11],[26.48863636 10.51136364] ; [36.51136364 14.48863636],0
n1,1,0.109984,2.554444,[3 7] ; [6 3],[4.73684211 5.26315789] ; [4.26315789 4.73684211],0
n5,1,0.120946,2.405027,[30  7] ; [47  4],[32.375  4.625] ; [44.625  6.375],0
p1,1,0.151706,2.055017,[ 6 31] ; [15 36],[ 8.82954545 28.17045455] ; [12.17045455 38.82954545],0
p3,1,0.181837,1.782549,[26 11] ; [42  9],[28.59090909  8.40909091] ; [39.40909091 11.59090909],0
a1,1,0.198041,1.656765,[ 3 34] ; [ 9 42],[ 5.04545455 31.95454545] ; [ 6.95454545 44.04545455],0
r2,1,0.203066,1.620183,[31  5] ; [48  3],[32.68965517  3.31034483] ; [46.31034483  4.68965517],0
a6,1,0.270507,1.214172,[26 11] ; [30 21],[23.54545455 13.45454545] ; [32.45454545 18.54545455],0
a5,1,0.296606,1.089392,[31  6] ; [38 13],[29.01136364  7.98863636] ; [39.98863636 11.01136364],0
p7,1,0.323247,0.975765,[27  9] ; [41  8],[28.8  7.2] ; [39.2  9.8],0
a3,1,0.330863,0.945517,[29  8] ; [44  7],[30.69318182  6.30681818] ; [42.30681818  8.69318182],0
b4,1,0.34807,0.880482,[24 13] ; [28 23],[21.86363636 15.13636364] ; [30.13636364 20.86363636],0
