Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,31.528246,[14 18] ; [96 11],[25.32374101  6.67625899] ; [84.67625899 22.32374101],1
n4,1,7.4e-05,15.712248,[17 15] ; [92 15],[25.09352518  6.90647482] ; [83.90647482 23.09352518],1
v3,1,0.001089,10.669368,[ 7 23] ; [60 45],[14.88888889 15.11111111] ; [52.11111111 52.88888889],0
p9,1,0.001545,10.024468,[20 11] ; [94 12],[25.79562044  5.20437956] ; [88.20437956 17.79562044],0
d5,1,0.002685,9.010071,[18 14] ; [87 19],[24.34782609  7.65217391] ; [80.65217391 25.34782609],0
r4,1,0.003516,8.518071,[21 11] ; [94 13],[26.47482014  5.52517986] ; [88.52517986 18.47482014],0
p10,1,0.003713,8.419091,[19 11] ; [91 14],[24.44444444  5.55555556] ; [85.55555556 19.44444444],0
p7,1,0.010048,6.626296,[15 16] ; [76 28],[20.8962963 10.1037037] ; [70.1037037 33.8962963],0
p2,1,0.010941,6.474929,[19 12] ; [87 18],[24.16176471  6.83823529] ; [81.83823529 23.16176471],0
a5,1,0.010991,6.466735,[16 16] ; [79 28],[21.8705036 10.1294964] ; [73.1294964 33.8705036],0
a4,1,0.014136,6.021089,[ 9 23] ; [56 50],[15.07246377 16.92753623] ; [49.92753623 56.07246377],0
d4,1,0.01597,5.8062,[21 11] ; [90 16],[25.73913043  6.26086957] ; [85.26086957 20.73913043],0
p8,1,0.027524,4.857623,[10 21] ; [57 47],[15.38518519 15.61481481] ; [51.61481481 52.38518519],0
s8,1,0.036904,4.354833,[12 20] ; [62 44],[17.15942029 14.84057971] ; [56.84057971 49.15942029],0
b1,1,0.039277,4.248867,[21 11] ; [48 59],[15.88489209 16.11510791] ; [53.11510791 53.88489209],0
a6,1,0.047481,3.928249,[ 7 25] ; [44 63],[11.74100719 20.25899281] ; [39.25899281 67.74100719],0
u3,1,0.052821,3.749565,[8 2] ; [10 13],[5.45454545 4.54545455] ; [12.54545455 10.45454545],0
d3,1,0.055674,3.661774,[10 22] ; [54 53],[14.73381295 17.26618705] ; [49.26618705 57.73381295],0
r2,1,0.061663,3.492083,[26  5] ; [99  6],[28.49264706  2.50735294] ; [96.50735294  8.49264706],0
u2,1,0.06187,3.486522,[7 3] ; [ 8 15],[4.54545455 5.45454545] ; [10.45454545 12.54545455],0
r3,1,0.06551,3.392084,[27  5] ; [101   6],[29.4676259  2.5323741] ; [98.5323741  8.4676259],0
r1,1,0.082059,3.02364,[21 11] ; [86 21],[24.63309353  7.36690647] ; [82.36690647 24.63309353],0
s6,1,0.08894,2.893451,[17 14] ; [74 30],[20.8962963 10.1037037] ; [70.1037037 33.8962963],0
a8,1,0.094299,2.799407,[ 1 31] ; [14 87],[ 3.60902256 28.39097744] ; [11.39097744 89.60902256],0
p4,1,0.094932,2.788695,[13 18] ; [63 44],[17.07246377 13.92753623] ; [58.92753623 48.07246377],0
v2,1,0.102917,2.659753,[15 15] ; [69 35],[18.80597015 11.19402985] ; [65.19402985 38.80597015],0
p1,1,0.118103,2.442299,[ 4 28] ; [  5 101],[ 2.08695652 29.91304348] ; [ 6.91304348 99.08695652],0
d1,1,0.140735,2.169907,[12 20] ; [56 51],[15.65467626 16.34532374] ; [52.34532374 54.65467626],0
p11,1,0.156206,2.010579,[23  9] ; [89 18],[25.78417266  6.21582734] ; [86.21582734 20.78417266],0
p5,1,0.169347,1.888717,[ 2 29] ; [17 88],[ 4.33088235 26.66911765] ; [14.66911765 90.33088235],0
p3,1,0.196702,1.666694,[12 19] ; [55 51],[15.16058394 15.83941606] ; [51.83941606 54.16058394],0
p6,1,0.197747,1.658935,[ 7 21] ; [40 65],[ 9.89473684 18.10526316] ; [37.10526316 67.89473684],0
a2,1,0.206056,1.598926,[ 1 31] ; [11 96],[ 2.76258993 29.23741007] ; [ 9.23741007 97.76258993],0
a3,1,0.255192,1.294655,[22 10] ; [84 23],[24.4028777  7.5971223] ; [81.5971223 25.4028777],0
d2,1,0.28462,1.144897,[13 19] ; [55 52],[15.65467626 16.34532374] ; [52.34532374 54.65467626],0
s1,1,0.344248,0.894547,[ 2 29] ; [  3 103],[ 1.13138686 29.86861314] ; [  3.86861314 102.13138686],0
s7,1,0.378367,0.776002,[14 16] ; [58 46],[16.11940299 13.88059701] ; [55.88059701 48.11940299],0
n2,1,0.45794,0.550926,[14  2] ; [14  4],[13.17647059  2.82352941] ; [14.82352941  3.17647059],0
