Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,234.907091,[286  88] ; [ 37 220],[191.44532488 182.55467512] ; [131.55467512 125.44532488],1
d4,1,0.0,177.042667,[368   7] ; [144 114],[303.31753555  71.68246445] ; [208.68246445  49.31753555],1
d3,1,0.0,173.410563,[330  47] ; [ 97 161],[253.51023622 123.48976378] ; [173.48976378  84.51023622],1
d5,1,0.0,172.393922,[370   6] ; [148 110],[307.20504732  68.79495268] ; [210.79495268  47.20504732],1
a2,1,0.0,84.634425,[148 230] ; [ 17 241],[ 98.06603774 279.93396226] ; [ 66.93396226 191.06603774],1
a4,1,0.0,77.090403,[235 141] ; [ 69 187],[180.86075949 195.13924051] ; [123.13924051 132.86075949],1
u1,1,0.0,66.54279,[113 265] ; [ 10 248],[ 73.10377358 304.89622642] ; [ 49.89622642 208.10377358],1
a5,1,0.0,62.770137,[329  49] ; [154 104],[287.06603774  90.93396226] ; [195.93396226  62.06603774],1
a3,1,0.0,41.667544,[307  69] ; [149 107],[271.29113924 104.70886076] ; [184.70886076  71.29113924],1
r2,1,2e-06,22.904156,[361   8] ; [226  29],[347.12019231  21.87980769] ; [239.87980769  15.12019231],1
s8,1,2e-06,22.24097,[190 185] ; [ 82 176],[161.13744076 213.86255924] ; [110.86255924 147.13744076],1
p4,1,3e-06,21.523349,[242 132] ; [119 139],[213.62974684 160.37025316] ; [147.37025316 110.62974684],1
r1,1,9e-06,19.709732,[322  54] ; [183  74],[299.96840442  76.03159558] ; [205.03159558  51.96840442],1
a7,1,5.4e-05,16.295128,[288  89] ; [158  99],[265.20820189 111.79179811] ; [180.79179811  76.20820189],1
v2,1,6.7e-05,15.88335,[234 135] ; [115 129],[210.08319739 158.91680261] ; [138.91680261 105.08319739],1
a6,1,7.6e-05,15.646698,[279  97] ; [153 105],[256.20189274 119.79810726] ; [175.79810726  82.20189274],1
r4,1,0.000156,14.296447,[347  31] ; [211  47],[331.64150943  46.35849057] ; [226.35849057  31.64150943],1
p6,1,0.000654,11.616134,[151 220] ; [ 70 185],[130.97603834 240.02396166] ; [ 90.02396166 164.97603834],1
p9,1,0.000981,10.863476,[320  52] ; [193  62],[304.36363636  67.63636364] ; [208.63636364  46.36363636],1
