Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.6e-05,17.063797,[73  4] ; [4 4],[69.75294118  7.24705882] ; [7.24705882 0.75294118],1
r2,1,0.000505,12.096981,[72  3] ; [5 3],[69.57831325  5.42168675] ; [7.42168675 0.57831325],1
n6,1,0.005053,7.860485,[73  2] ; [6 2],[71.38554217  3.61445783] ; [7.61445783 0.38554217],0
s8,1,0.012417,6.250264,[52 23] ; [2 6],[48.79518072 26.20481928] ; [5.20481928 2.79518072],0
s7,1,0.014037,6.03354,[56 16] ; [3 5],[53.1 18.9] ; [5.9 2.1],0
d5,1,0.019084,5.493808,[64 12] ; [4 4],[61.52380952 14.47619048] ; [6.47619048 1.52380952],0
r3,1,0.041166,4.169163,[71  4] ; [6 2],[69.57831325  5.42168675] ; [7.42168675 0.57831325],0
s6,1,0.044737,4.028513,[62  8] ; [5 3],[60.12820513  9.87179487] ; [6.87179487 1.12820513],0
a4,1,0.0465,3.963396,[38 39] ; [1 7],[35.32941176 41.67058824] ; [3.67058824 4.32941176],0
d4,1,0.048533,3.891447,[67  9] ; [5 3],[65.14285714 10.85714286] ; [6.85714286 1.14285714],0
a3,1,0.048599,3.889165,[62 15] ; [4 4],[59.78823529 17.21176471] ; [6.21176471 1.78823529],0
p12,1,0.053254,3.735919,[22 54] ; [5 3],[24.42857143 51.57142857] ; [2.57142857 5.42857143],0
s3,1,0.091071,2.855343,[50 24] ; [3 5],[47.82926829 26.17073171] ; [5.17073171 2.82926829],0
d3,1,0.096458,2.763158,[51 25] ; [3 5],[48.85714286 27.14285714] ; [5.14285714 2.85714286],0
d1,1,0.108055,2.582434,[51 26] ; [3 5],[48.91764706 28.08235294] ; [5.08235294 2.91764706],0
d2,1,0.137072,2.210526,[40 36] ; [2 6],[38. 38.] ; [4. 4.],0
s2,1,0.143231,2.142895,[48 27] ; [3 5],[46.08433735 28.91566265] ; [4.91566265 3.08433735],0
p3,1,0.162318,1.952496,[63 13] ; [5 3],[61.52380952 14.47619048] ; [6.47619048 1.52380952],0
r1,1,0.162318,1.952496,[63 13] ; [5 3],[61.52380952 14.47619048] ; [6.47619048 1.52380952],0
p2,1,0.163944,1.937467,[70  7] ; [6 2],[68.84705882  8.15294118] ; [7.15294118 0.84705882],0
r4,1,0.163944,1.937467,[70  7] ; [6 2],[68.84705882  8.15294118] ; [7.15294118 0.84705882],0
v1,1,0.21712,1.523307,[52 21] ; [4 4],[50.4691358 22.5308642] ; [5.5308642 2.4691358],0
p1,1,0.218814,1.51213,[26 51] ; [1 7],[24.45882353 52.54117647] ; [2.54117647 5.45882353],0
s5,1,0.2482,1.333406,[47 20] ; [4 4],[45.56 21.44] ; [5.44 2.56],0
n1,1,0.263552,1.25,[9 7] ; [1 3],[8. 8.] ; [2. 2.],0
p7,1,0.302611,1.062652,[66  9] ; [6 2],[65.06024096  9.93975904] ; [6.93975904 1.06024096],0
v2,1,0.319751,0.989964,[42 32] ; [6 2],[43.31707317 30.68292683] ; [4.68292683 3.31707317],0
n3,1,0.368688,0.808081,[8 8] ; [3 1],[8.8 7.2] ; [2.2 1.8],0
b4,1,0.399271,0.710521,[46 31] ; [6 2],[47.10588235 29.89411765] ; [4.89411765 3.10588235],0
v3,1,0.453973,0.560713,[47 27] ; [4 4],[46.02439024 27.97560976] ; [4.97560976 3.02439024],0
a6,1,0.466029,0.531377,[48 28] ; [4 4],[47.04761905 28.95238095] ; [4.95238095 3.04761905],0
a2,1,0.482167,0.493958,[18 59] ; [1 7],[17.21176471 59.78823529] ; [1.78823529 6.21176471],0
p6,1,0.515186,0.423521,[55 20] ; [5 3],[54.21686747 20.78313253] ; [5.78313253 2.21686747],0
u1,1,0.527976,0.398286,[17 60] ; [1 7],[16.30588235 60.69411765] ; [1.69411765 6.30588235],0
u3,1,0.580543,0.305357,[9 6] ; [3 1],[9.47368421 5.52631579] ; [2.52631579 1.47368421],0
b5,1,0.751674,0.100129,[34 43] ; [4 4],[34.42352941 42.57647059] ; [3.57647059 4.42352941],0
a5,1,0.780927,0.077346,[61 16] ; [6 2],[60.69411765 16.30588235] ; [6.30588235 1.69411765],0
a1,1,0.817553,0.053219,[12 65] ; [1 7],[11.77647059 65.22352941] ; [1.22352941 6.77647059],0
b1,1,0.824319,0.049281,[32 45] ; [3 5],[31.70588235 45.29411765] ; [3.29411765 4.70588235],0
p4,1,0.86369,0.029474,[68  8] ; [7 1],[67.85714286  8.14285714] ; [7.14285714 0.85714286],0
b3,1,0.931376,0.007416,[28 26] ; [3 3],[27.9 26.1] ; [3.1 2.9],0
b2,1,0.931376,0.007416,[28 26] ; [3 3],[27.9 26.1] ; [3.1 2.9],0
s4,1,0.947314,0.004367,[10 65] ; [1 7],[ 9.93975904 65.06024096] ; [1.06024096 6.93975904],0
a7,1,0.952261,0.003584,[57 20] ; [6 2],[57.07058824 19.92941176] ; [5.92941176 2.07058824],0
