Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.388772,[2 6] ; [76 11],[6.56842105 1.43157895] ; [71.43157895 15.56842105],1
n6,1,6.8e-05,15.860416,[3 5] ; [78  9],[6.82105263 1.17894737] ; [74.17894737 12.82105263],1
s1,1,0.000167,14.168935,[3 5] ; [ 3 83],[0.5106383 7.4893617] ; [ 5.4893617 80.5106383],1
r2,1,0.000885,11.053294,[4 4] ; [79  8],[6.98947368 1.01052632] ; [76.01052632 10.98947368],1
p2,1,0.001688,9.86171,[3 5] ; [73 14],[6.4 1.6] ; [69.6 17.4],0
n4,1,0.006273,7.470131,[2 6] ; [62 24],[5.44680851 2.55319149] ; [58.55319149 27.44680851],0
p10,1,0.009463,6.733304,[4 4] ; [74 12],[6.63829787 1.36170213] ; [71.36170213 14.63829787],0
p9,1,0.009463,6.733304,[4 4] ; [74 12],[6.63829787 1.36170213] ; [71.36170213 14.63829787],0
n5,1,0.012175,6.285209,[3 5] ; [67 19],[5.95744681 2.04255319] ; [64.04255319 21.95744681],0
s7,1,0.020583,5.361746,[1 7] ; [47 38],[4.12903226 3.87096774] ; [43.87096774 41.12903226],0
p11,1,0.026643,4.913793,[4 4] ; [72 15],[6.4 1.6] ; [69.6 17.4],0
r1,1,0.040163,4.210997,[3 5] ; [63 24],[5.55789474 2.44210526] ; [60.44210526 26.55789474],0
b4,1,0.197537,1.660493,[3 5] ; [53 34],[4.71578947 3.28421053] ; [51.28421053 35.71578947],0
r3,1,0.215081,1.53689,[6 2] ; [78  9],[7.07368421 0.92631579] ; [76.92631579 10.07368421],0
s5,1,0.225549,1.46871,[1 7] ; [28 56],[2.52173913 5.47826087] ; [26.47826087 57.52173913],0
u3,1,0.280591,1.164224,[1 4] ; [19 23],[2.12765957 2.87234043] ; [17.87234043 24.12765957],0
s8,1,0.305847,1.048524,[2 6] ; [38 49],[3.36842105 4.63157895] ; [36.63157895 50.36842105],0
d2,1,0.314958,1.009769,[3 5] ; [19 68],[1.85263158 6.14736842] ; [20.14736842 66.85263158],0
a7,1,0.380951,0.767632,[4 4] ; [57 30],[5.13684211 2.86315789] ; [55.86315789 31.13684211],0
s6,1,0.383161,0.760535,[4 4] ; [55 29],[5.13043478 2.86956522] ; [53.86956522 30.13043478],0
s2,1,0.422344,0.643785,[5 3] ; [41 45],[3.91489362 4.08510638] ; [42.08510638 43.91489362],0
a3,1,0.422344,0.643785,[3 5] ; [45 41],[4.08510638 3.91489362] ; [43.91489362 42.08510638],0
d1,1,0.452398,0.564636,[1 7] ; [ 5 82],[0.50526316 7.49473684] ; [ 5.49473684 81.50526316],0
v2,1,0.459292,0.547619,[3 5] ; [43 41],[4. 4.] ; [42. 42.],0
a6,1,0.460812,0.543921,[4 4] ; [55 32],[4.96842105 3.03157895] ; [54.03157895 32.96842105],0
s4,1,0.465291,0.533137,[2 6] ; [13 73],[1.27659574 6.72340426] ; [13.72340426 72.27659574],0
b5,1,0.50291,0.44879,[4 4] ; [54 33],[4.88421053 3.11578947] ; [53.11578947 33.88421053],0
b2,1,0.534039,0.3867,[1 3] ; [20 29],[1.58490566 2.41509434] ; [19.41509434 29.58490566],0
b3,1,0.534039,0.3867,[1 3] ; [20 29],[1.58490566 2.41509434] ; [19.41509434 29.58490566],0
a5,1,0.546302,0.363985,[4 4] ; [53 34],[4.8 3.2] ; [52.2 34.8],0
p1,1,0.579458,0.307112,[1 7] ; [18 69],[1.6 6.4] ; [17.4 69.6],0
a4,1,0.667857,0.184119,[1 7] ; [16 70],[1.44680851 6.55319149] ; [15.55319149 70.44680851],0
b1,1,0.683059,0.166703,[4 4] ; [37 50],[3.45263158 4.54736842] ; [37.54736842 49.45263158],0
p3,1,0.689628,0.159489,[5 3] ; [48 39],[4.46315789 3.53684211] ; [48.53684211 38.46315789],0
n2,1,0.711531,0.136752,[2 1] ; [10  3],[2.25 0.75] ; [9.75 3.25],0
s3,1,0.718368,0.130061,[4 4] ; [47 36],[4.48351648 3.51648352] ; [46.51648352 36.48351648],0
u2,1,0.746878,0.104173,[3 2] ; [22 20],[2.65957447 2.34042553] ; [22.34042553 19.65957447],0
d4,1,0.778503,0.079113,[4 4] ; [39 48],[3.62105263 4.37894737] ; [39.37894737 47.62105263],0
v1,1,0.800592,0.063797,[4 4] ; [39 47],[3.65957447 4.34042553] ; [39.34042553 46.65957447],0
p6,1,0.800592,0.063797,[4 4] ; [39 47],[3.65957447 4.34042553] ; [39.34042553 46.65957447],0
v3,1,0.810773,0.057326,[3 5] ; [36 50],[3.31914894 4.68085106] ; [35.68085106 50.31914894],0
a8,1,0.823922,0.049508,[1 7] ; [ 8 72],[0.81818182 7.18181818] ; [ 8.18181818 71.81818182],0
p7,1,0.845445,0.037999,[6 2] ; [61 24],[5.76344086 2.23655914] ; [61.23655914 23.76344086],0
n1,1,0.868645,0.02735,[1 2] ; [5 8],[1.125 1.875] ; [4.875 8.125],0
n3,1,0.868645,0.02735,[2 1] ; [8 5],[1.875 1.125] ; [8.125 4.875],0
d3,1,0.930093,0.007696,[3 5] ; [34 53],[3.11578947 4.88421053] ; [33.88421053 53.11578947],0
p4,1,0.96129,0.002356,[5 3] ; [53 33],[4.93617021 3.06382979] ; [53.06382979 32.93617021],0
