Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,104.871765,[226  47] ; [153 207],[163.4549763 109.5450237] ; [215.5450237 144.4549763],1
v1,1,0.0,35.449558,[194  80] ; [172 192],[157.18495298 116.81504702] ; [208.81504702 155.18495298],1
p12,1,9.3e-05,15.278191,[ 42 235] ; [ 22 350],[ 27.31587057 249.68412943] ; [ 36.68412943 335.31587057],1
p3,1,9.6e-05,15.205829,[175 101] ; [179 194],[150.54545455 125.45454545] ; [203.45454545 169.54545455],1
p5,1,0.000215,13.698024,[ 51 226] ; [ 32 340],[ 35.42526965 241.57473035] ; [ 47.57473035 324.42526965],1
s7,1,0.000239,13.49944,[160 101] ; [167 193],[137.43478261 123.56521739] ; [189.56521739 170.43478261],1
n5,1,0.000535,11.988796,[237  40] ; [276  95],[219.29166667  57.70833333] ; [293.70833333  77.29166667],1
s8,1,0.000932,10.957379,[154 120] ; [161 213],[133.19444444 140.80555556] ; [181.80555556 192.19444444],1
a1,1,0.003649,8.450596,[ 21 256] ; [ 10 364],[ 13.19047619 263.80952381] ; [ 17.80952381 356.19047619],0
u4,1,0.004635,8.016628,[  8 269] ; [  1 373],[  3.82949309 273.17050691] ; [  5.17050691 368.82949309],0
n4,1,0.006307,7.46042,[237  40] ; [288  86],[223.38709677  53.61290323] ; [301.61290323  72.38709677],0
d1,1,0.00677,7.333049,[186  91] ; [212 162],[169.34869432 107.65130568] ; [228.65130568 145.34869432],0
p7,1,0.014645,5.958627,[201  70] ; [237 127],[186.92598425  84.07401575] ; [251.07401575 112.92598425],0
s4,1,0.025805,4.969016,[ 38 237] ; [ 76 293],[ 48.68012422 226.31987578] ; [ 65.31987578 303.68012422],0
p1,1,0.028933,4.771614,[ 33 243] ; [ 26 347],[ 25.09090909 250.90909091] ; [ 33.90909091 339.09090909],0
p8,1,0.044214,4.048388,[172 102] ; [203 167],[159.54968944 114.45031056] ; [215.45031056 154.54968944],0
p4,1,0.057218,3.616238,[187  89] ; [225 147],[175.48148148 100.51851852] ; [236.51851852 135.48148148],0
u1,1,0.08272,3.010635,[ 60 217] ; [ 61 313],[ 51.48540707 225.51459293] ; [ 69.51459293 304.48540707],0
d2,1,0.087509,2.919614,[144 131] ; [170 203],[133.25617284 141.74382716] ; [180.74382716 192.25617284],0
a3,1,0.088113,2.908507,[212  63] ; [266 108],[202.54237288  72.45762712] ; [275.45762712  98.54237288],0
a5,1,0.096659,2.75982,[222  55] ; [279  95],[213.17511521  63.82488479] ; [287.82488479  86.17511521],0
r1,1,0.0995,2.713541,[243  34] ; [309  63],[235.59938367  41.40061633] ; [316.40061633  55.59938367],0
n6,1,0.121499,2.397886,[251  24] ; [327  47],[244.91525424  30.08474576] ; [333.08474576  40.91525424],0
s2,1,0.123767,2.368995,[160 116] ; [193 179],[150.35185185 125.64814815] ; [202.64814815 169.35185185],0
b3,1,0.162547,1.950365,[ 75 101] ; [ 76 137],[ 68.31876607 107.68123393] ; [ 82.68123393 130.31876607],0
b2,1,0.162547,1.950365,[ 75 101] ; [ 76 137],[ 68.31876607 107.68123393] ; [ 82.68123393 130.31876607],0
v4,1,0.212943,1.551302,[274   3] ; [364   9],[271.88615385   5.11384615] ; [366.11384615   6.88615385],0
p6,1,0.224605,1.474707,[117 156] ; [141 229],[109.53965785 163.46034215] ; [148.46034215 221.53965785],0
