Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.012046,6.304094,[32 25] ; [1 8],[28.5 28.5] ; [4.5 4.5],0
s8,1,0.020932,5.33241,[36 21] ; [2 7],[32.81818182 24.18181818] ; [5.18181818 3.81818182],0
u1,1,0.028776,4.780985,[ 2 55] ; [2 7],[ 3.45454545 53.54545455] ; [0.54545455 8.45454545],0
p6,1,0.031112,4.646799,[17 40] ; [6 3],[19.86363636 37.13636364] ; [3.13636364 5.86363636],0
d5,1,0.062174,3.478428,[30 27] ; [7 1],[32.44615385 24.55384615] ; [4.55384615 3.44615385],0
a2,1,0.073965,3.192752,[ 3 54] ; [2 7],[ 4.31818182 52.68181818] ; [0.68181818 8.31818182],0
s5,1,0.083862,2.98842,[23 33] ; [1 8],[20.67692308 35.32307692] ; [3.32307692 5.67692308],0
p7,1,0.112944,2.512537,[34 21] ; [8 1],[36.09375 18.90625] ; [5.90625 3.09375],0
v3,1,0.142931,2.146121,[20 36] ; [1 8],[18.09230769 37.90769231] ; [2.90769231 6.09230769],0
a6,1,0.186987,1.741195,[31 26] ; [7 2],[32.81818182 24.18181818] ; [5.18181818 3.81818182],0
p4,1,0.240228,1.379257,[31 26] ; [3 6],[29.36363636 27.63636364] ; [4.63636364 4.36363636],0
s6,1,0.294938,1.096942,[45 10] ; [6 3],[43.828125 11.171875] ; [7.171875 1.828125],0
b2,1,0.300466,1.072125,[ 6 32] ; [2 4],[ 6.90909091 31.09090909] ; [1.09090909 4.90909091],0
b3,1,0.300466,1.072125,[ 6 32] ; [2 4],[ 6.90909091 31.09090909] ; [1.09090909 4.90909091],0
p8,1,0.336224,0.924776,[22 35] ; [5 4],[23.31818182 33.68181818] ; [3.68181818 5.31818182],0
n5,1,0.366302,0.816173,[44 13] ; [5 3],[42.96923077 14.03076923] ; [6.03076923 1.96923077],0
s7,1,0.376715,0.781395,[38 16] ; [5 4],[36.85714286 17.14285714] ; [6.14285714 2.85714286],0
b5,1,0.37776,0.777977,[29 28] ; [6 3],[30.22727273 26.77272727] ; [4.77272727 4.22727273],0
n4,1,0.401576,0.703603,[39 17] ; [5 4],[37.90769231 18.09230769] ; [6.09230769 2.90769231],0
v2,1,0.47688,0.50599,[24 32] ; [5 4],[24.98461538 31.01538462] ; [4.01538462 4.98461538],0
v1,1,0.490289,0.475891,[26 31] ; [3 6],[25.04545455 31.95454545] ; [3.95454545 5.04545455],0
a4,1,0.493472,0.468947,[13 44] ; [3 6],[13.81818182 43.18181818] ; [2.18181818 6.81818182],0
a3,1,0.512554,0.42885,[32 25] ; [4 5],[31.09090909 25.90909091] ; [4.90909091 4.09090909],0
u3,1,0.512691,0.428571,[11 14] ; [3 2],[11.66666667 13.33333333] ; [2.33333333 2.66666667],0
n6,1,0.524384,0.405263,[49  8] ; [7 2],[48.36363636  8.63636364] ; [7.63636364 1.36363636],0
a7,1,0.537541,0.380117,[35 22] ; [4 4],[34.2 22.8] ; [4.8 3.2],0
a5,1,0.55265,0.352592,[32 25] ; [6 3],[32.81818182 24.18181818] ; [5.18181818 3.81818182],0
u2,1,0.59298,0.285714,[ 7 18] ; [2 3],[ 7.5 17.5] ; [1.5 3.5],0
b1,1,0.618902,0.247413,[24 33] ; [3 6],[23.31818182 33.68181818] ; [3.68181818 5.31818182],0
r4,1,0.630356,0.231579,[47 10] ; [8 1],[47.5  9.5] ; [7.5 1.5],0
s4,1,0.659593,0.194018,[17 40] ; [3 5],[17.53846154 39.46153846] ; [2.46153846 5.53846154],0
d1,1,0.666248,0.186022,[ 4 53] ; [1 8],[ 4.31818182 52.68181818] ; [0.68181818 8.31818182],0
d3,1,0.705765,0.142544,[18 39] ; [2 6],[17.53846154 39.46153846] ; [2.46153846 5.53846154],0
a8,1,0.707272,0.141017,[ 8 42] ; [1 8],[ 7.62711864 42.37288136] ; [1.37288136 7.62711864],0
p10,1,0.773432,0.08288,[45 10] ; [7 2],[44.6875 10.3125] ; [7.3125 1.6875],0
d2,1,0.794107,0.068111,[15 42] ; [2 7],[14.68181818 42.31818182] ; [2.31818182 6.68181818],0
p3,1,0.810008,0.0578,[21 35] ; [3 6],[20.67692308 35.32307692] ; [3.32307692 5.67692308],0
r1,1,0.857497,0.032242,[39 17] ; [6 3],[38.76923077 17.23076923] ; [6.23076923 2.76923077],0
p2,1,0.857497,0.032242,[42 14] ; [7 2],[42.21538462 13.78461538] ; [6.78461538 2.21538462],0
p11,1,0.916366,0.011028,[39 18] ; [6 3],[38.86363636 18.13636364] ; [6.13636364 2.86363636],0
p9,1,0.936426,0.006362,[45 12] ; [7 2],[44.90909091 12.09090909] ; [7.09090909 1.90909091],0
