Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000107,15.000639,[86 10] ; [21 14],[78.41221374 17.58778626] ; [28.58778626  6.41221374],1
v3,1,0.000233,13.545615,[54 42] ; [ 7 28],[44.70229008 51.29770992] ; [16.29770992 18.70229008],1
s2,1,0.000265,13.301059,[78 19] ; [18 19],[69.49253731 27.50746269] ; [26.50746269 10.49253731],1
v4,1,0.001601,9.958607,[93  3] ; [29  7],[88.72727273  7.27272727] ; [33.27272727  2.72727273],0
p10,1,0.004156,8.214303,[85 11] ; [25 12],[79.39849624 16.60150376] ; [30.60150376  6.39849624],0
n6,1,0.007307,7.195855,[87  9] ; [26 10],[82.18181818 13.81818182] ; [30.81818182  5.18181818],0
p7,1,0.009573,6.712749,[71 24] ; [19 18],[64.77272727 30.22727273] ; [25.22727273 11.77272727],0
r4,1,0.017197,5.676186,[85 12] ; [26 11],[80.35074627 16.64925373] ; [30.64925373  6.35074627],0
p9,1,0.023921,5.100319,[87  9] ; [28  9],[83.0075188 12.9924812] ; [31.9924812  5.0075188],0
n5,1,0.027352,4.86846,[85 11] ; [27 10],[80.84210526 15.15789474] ; [31.15789474  5.84210526],0
s3,1,0.028362,4.805943,[78 19] ; [23 14],[73.1119403 23.8880597] ; [27.8880597  9.1119403],0
r3,1,0.028572,4.793243,[95  2] ; [33  4],[92.65671642  4.34328358] ; [35.34328358  1.65671642],0
p8,1,0.032889,4.551544,[55 39] ; [14 23],[49.51145038 44.48854962] ; [19.48854962 17.51145038],0
p11,1,0.042139,4.129615,[83 14] ; [26 11],[78.90298507 18.09701493] ; [30.09701493  6.90298507],0
v2,1,0.042594,4.111442,[51 42] ; [13 24],[45.78461538 47.21538462] ; [18.21538462 18.78461538],0
v1,1,0.046949,3.947214,[58 35] ; [16 21],[52.93846154 40.06153846] ; [21.06153846 15.93846154],0
p6,1,0.06077,3.516245,[48 47] ; [12 25],[43.18181818 51.81818182] ; [16.81818182 20.18181818],0
r2,1,0.107627,2.588718,[90  5] ; [32  5],[87.8030303  7.1969697] ; [34.1969697  2.8030303],0
s4,1,0.116202,2.46778,[21 75] ; [13 24],[24.54135338 71.45864662] ; [ 9.45864662 27.54135338],0
n4,1,0.129487,2.298647,[87  9] ; [30  7],[84.45112782 11.54887218] ; [32.54887218  4.45112782],0
p12,1,0.144091,2.133713,[10 85] ; [ 1 36],[ 7.91666667 87.08333333] ; [ 3.08333333 33.91666667],0
a5,1,0.151565,2.056425,[77 20] ; [25 12],[73.8358209 23.1641791] ; [28.1641791  8.8358209],0
r1,1,0.151565,2.056425,[77 20] ; [25 12],[73.8358209 23.1641791] ; [28.1641791  8.8358209],0
b5,1,0.182228,1.779361,[40 57] ; [20 17],[43.43283582 53.56716418] ; [16.56716418 20.43283582],0
b3,1,0.21199,1.557782,[40 33] ; [11 16],[37.23 35.77] ; [13.77 13.23],0
b2,1,0.21199,1.557782,[40 33] ; [11 16],[37.23 35.77] ; [13.77 13.23],0
a3,1,0.241944,1.369234,[84 13] ; [29  8],[81.79850746 15.20149254] ; [31.20149254  5.79850746],0
p3,1,0.269105,1.221305,[60 37] ; [19 18],[57.18656716 39.81343284] ; [21.81343284 15.18656716],0
p1,1,0.292189,1.109509,[11 85] ; [ 2 35],[ 9.38345865 86.61654135] ; [ 3.61654135 33.38345865],0
n3,1,0.34509,0.891429,[18  7] ; [8 6],[16.66666667  8.33333333] ; [9.33333333 4.66666667],0
p4,1,0.380718,0.768381,[63 34] ; [21 16],[60.80597015 36.19402985] ; [23.19402985 13.80597015],0
p5,1,0.385376,0.753481,[16 79] ; [ 4 33],[14.39393939 80.60606061] ; [ 5.60606061 31.39393939],0
n1,1,0.405033,0.693333,[16  8] ; [8 7],[14.76923077  9.23076923] ; [9.23076923 5.76923077],0
b1,1,0.427518,0.629556,[52 45] ; [17 20],[49.94776119 47.05223881] ; [19.05223881 17.94776119],0
d4,1,0.473883,0.512908,[78 18] ; [28  9],[76.5112782 19.4887218] ; [29.4887218  7.5112782],0
a8,1,0.576329,0.312207,[14 80] ; [ 4 32],[13.01538462 80.98461538] ; [ 4.98461538 31.01538462],0
u3,1,0.603848,0.269231,[8 5] ; [4 4],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
d3,1,0.607348,0.264054,[45 52] ; [19 18],[46.32835821 50.67164179] ; [17.67164179 19.32835821],0
b4,1,0.607348,0.264054,[45 52] ; [19 18],[46.32835821 50.67164179] ; [17.67164179 19.32835821],0
p2,1,0.636252,0.223678,[77 19] ; [31  6],[77.95488722 18.04511278] ; [30.04511278  6.95488722],0
u1,1,0.642215,0.215857,[ 8 89] ; [ 4 33],[ 8.68656716 88.31343284] ; [ 3.31343284 33.68656716],0
a1,1,0.708064,0.140219,[ 7 90] ; [ 2 35],[ 6.51492537 90.48507463] ; [ 2.48507463 34.51492537],0
d2,1,0.714046,0.134269,[49 48] ; [20 17],[49.94776119 47.05223881] ; [19.05223881 17.94776119],0
s5,1,0.748074,0.103156,[41 52] ; [17 19],[41.81395349 51.18604651] ; [16.18604651 19.81395349],0
s1,1,0.748413,0.102869,[ 4 93] ; [ 2 35],[ 4.34328358 92.65671642] ; [ 1.65671642 35.34328358],0
u2,1,0.750679,0.100962,[9 4] ; [5 3],[8.66666667 4.33333333] ; [5.33333333 2.66666667],0
a4,1,0.764203,0.08998,[47 50] ; [19 18],[47.7761194 49.2238806] ; [18.2238806 18.7761194],0
