Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.535128,[57 81] ; [ 29 142],[38.40776699 99.59223301] ; [ 47.59223301 123.40776699],1
s5,1,8e-06,19.975561,[47 89] ; [ 22 147],[ 30.76721311 105.23278689] ; [ 38.23278689 130.76721311],1
p4,1,6.7e-05,15.896342,[95 43] ; [78 91],[77.76547231 60.23452769] ; [95.23452769 73.76547231],1
p10,1,7.4e-05,15.714249,[118  17] ; [115  54],[103.47039474  31.52960526] ; [129.52960526  39.47039474],1
s2,1,0.000358,12.740465,[ 30 108] ; [ 13 158],[ 19.2038835 118.7961165] ; [ 23.7961165 147.2038835],1
r4,1,0.000392,12.572277,[128  11] ; [132  39],[116.58064516  22.41935484] ; [143.41935484  27.58064516],1
p9,1,0.000425,12.41853,[121  16] ; [120  47],[108.60855263  28.39144737] ; [132.39144737  34.60855263],1
s7,1,0.000449,12.317011,[52 78] ; [ 34 127],[38.41924399 91.58075601] ; [ 47.58075601 113.41924399],1
p6,1,0.001267,10.389644,[60 78] ; [ 43 123],[46.75657895 91.24342105] ; [ 56.24342105 109.75657895],0
v1,1,0.005987,7.554272,[85 53] ; [77 91],[73.05882353 64.94117647] ; [88.94117647 79.05882353],0
r1,1,0.006827,7.318039,[115  24] ; [118  52],[104.81229773  34.18770227] ; [128.18770227  41.81229773],0
p12,1,0.012496,6.239066,[ 12 125] ; [  4 165],[  7.16339869 129.83660131] ; [  8.83660131 160.16339869],0
v4,1,0.012699,6.21057,[132   7] ; [148  23],[125.5483871  13.4516129] ; [154.4516129  16.5483871],0
s4,1,0.013462,6.107301,[ 18 117] ; [  9 162],[ 11.91176471 123.08823529] ; [ 15.08823529 155.91176471],0
u2,1,0.01397,6.041958,[28 16] ; [20 32],[22. 22.] ; [26. 26.],0
d3,1,0.01994,5.41718,[99 40] ; [100  71],[89.22903226 49.77096774] ; [109.77096774  61.22903226],0
p1,1,0.025814,4.968444,[  7 132] ; [ 21 149],[ 12.59546926 126.40453074] ; [ 15.40453074 154.59546926],0
p5,1,0.02873,4.783704,[ 19 118] ; [ 11 160],[ 13.34415584 123.65584416] ; [ 16.65584416 154.34415584],0
p7,1,0.030096,4.703781,[87 48] ; [88 81],[77.71381579 57.28618421] ; [97.28618421 71.71381579],0
b1,1,0.030845,4.661591,[42 97] ; [72 99],[51.11612903 87.88387097] ; [ 62.88387097 108.11612903],0
n6,1,0.035442,4.423737,[124  15] ; [136  33],[117.33766234  21.66233766] ; [142.66233766  26.33766234],0
p2,1,0.036559,4.370833,[115  23] ; [124  45],[107.43322476  30.56677524] ; [131.56677524  37.43322476],0
n5,1,0.040551,4.194669,[121  17] ; [134  36],[114.25324675  23.74675325] ; [140.74675325  29.25324675],0
u1,1,0.041022,4.175108,[ 29 110] ; [ 21 150],[ 22.41935484 116.58064516] ; [ 27.58064516 143.41935484],0
d5,1,0.053191,3.737921,[120  19] ; [133  38],[113.44193548  25.55806452] ; [139.55806452  31.44193548],0
b5,1,0.060969,3.510833,[91 48] ; [94 77],[82.9516129 56.0483871] ; [102.0483871  68.9516129],0
r3,1,0.064792,3.410276,[131   8] ; [149  20],[126.36363636  12.63636364] ; [153.63636364  15.36363636],0
a5,1,0.077101,3.124966,[112  27] ; [123  48],[105.37096774  33.62903226] ; [129.62903226  41.37096774],0
d4,1,0.102312,2.669128,[116  23] ; [129  41],[110.21035599  28.78964401] ; [134.78964401  35.21035599],0
u3,1,0.142318,2.152711,[24 20] ; [21 32],[20.41237113 23.58762887] ; [24.58762887 28.41237113],0
p3,1,0.200031,1.642146,[71 67] ; [75 95],[65.41558442 72.58441558] ; [80.58441558 89.41558442],0
a8,1,0.214072,1.543671,[ 21 101] ; [ 18 133],[ 17.42857143 104.57142857] ; [ 21.57142857 129.42857143],0
a6,1,0.235216,1.409036,[93 46] ; [125  46],[97.7483871 41.2516129] ; [120.2516129  50.7483871],0
p8,1,0.315625,1.006992,[70 64] ; [78 90],[65.66887417 68.33112583] ; [82.33112583 85.66887417],0
a4,1,0.32275,0.977771,[62 76] ; [86 84],[66.31168831 71.68831169] ; [81.68831169 88.31168831],0
v2,1,0.327754,0.957753,[81 55] ; [89 76],[76.81063123 59.18936877] ; [93.18936877 71.81063123],0
a7,1,0.339028,0.914102,[101  38] ; [115  55],[97.16504854 41.83495146] ; [118.83495146  51.16504854],0
u4,1,0.444921,0.583557,[  2 137] ; [  1 170],[  1.34516129 137.65483871] ; [  1.65483871 169.34516129],0
b4,1,0.47713,0.505416,[82 57] ; [94 77],[78.91612903 60.08387097] ; [97.08387097 73.91612903],0
a1,1,0.480835,0.496969,[ 10 129] ; [  9 162],[  8.51935484 130.48064516] ; [ 10.48064516 160.51935484],0
n2,1,0.491283,0.473716,[22 10] ; [25 16],[20.60273973 11.39726027] ; [26.39726027 14.60273973],0
r2,1,0.51884,0.416198,[126  11] ; [150  17],[124.38157895  12.61842105] ; [151.61842105  15.38157895],0
d2,1,0.6021,0.27184,[67 72] ; [86 82],[69.27361564 69.72638436] ; [83.72638436 84.27361564],0
a3,1,0.678755,0.171531,[94 45] ; [118  51],[95.67532468 43.32467532] ; [116.32467532  52.67532468],0
v3,1,0.696627,0.152004,[54 80] ; [ 64 104],[52.35761589 81.64238411] ; [ 65.64238411 102.35761589],0
b3,1,0.697203,0.151398,[36 55] ; [44 60],[37.33333333 53.66666667] ; [42.66666667 61.33333333],0
b2,1,0.697203,0.151398,[36 55] ; [44 60],[37.33333333 53.66666667] ; [42.66666667 61.33333333],0
p11,1,0.751783,0.100039,[107  32] ; [129  42],[105.81935484  33.18064516] ; [130.18064516  40.81935484],0
d1,1,0.821446,0.050934,[79 60] ; [95 76],[78.01935484 60.98064516] ; [95.98064516 75.01935484],0
n1,1,0.861166,0.030587,[11 20] ; [15 25],[11.35211268 19.64788732] ; [14.64788732 25.35211268],0
a2,1,0.86705,0.028025,[ 32 107] ; [ 38 133],[ 31.38709677 107.61290323] ; [ 38.61290323 132.38709677],0
n3,1,0.874832,0.024814,[22  9] ; [27 12],[21.7  9.3] ; [27.3 11.7],0
s1,1,0.924152,0.009064,[  3 134] ; [  4 166],[  3.1237785 133.8762215] ; [  3.8762215 166.1237785],0
