Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.3e-05,19.070226,[ 2 14] ; [41 15],[9.55555556 6.44444444] ; [33.44444444 22.55555556],1
a5,1,0.000121,14.777275,[ 1 15] ; [34 22],[7.77777778 8.22222222] ; [27.22222222 28.77777778],1
r3,1,0.00088,11.063625,[ 6 10] ; [45 11],[11.33333333  4.66666667] ; [39.66666667 16.33333333],1
v4,1,0.002874,8.885783,[7 9] ; [44 10],[11.65714286  4.34285714] ; [39.34285714 14.65714286],0
r1,1,0.005466,7.71846,[ 5 11] ; [39 17],[9.77777778 6.22222222] ; [34.22222222 21.77777778],0
a4,1,0.013509,6.101247,[ 1 15] ; [21 33],[ 5.02857143 10.97142857] ; [16.97142857 37.02857143],0
d2,1,0.087254,2.924326,[ 4 12] ; [27 28],[6.98591549 9.01408451] ; [24.01408451 30.98591549],0
d1,1,0.096292,2.765906,[ 2 14] ; [19 37],[ 4.66666667 11.33333333] ; [16.33333333 39.66666667],0
s8,1,0.097664,2.743278,[ 1 15] ; [14 41],[ 3.38028169 12.61971831] ; [11.61971831 43.38028169],0
a3,1,0.098153,2.735304,[ 4 12] ; [27 29],[6.88888889 9.11111111] ; [24.11111111 31.88888889],0
s4,1,0.128356,2.312272,[ 5 11] ; [ 8 47],[ 2.92957746 13.07042254] ; [10.07042254 44.92957746],0
b5,1,0.139661,2.181693,[9 7] ; [20 36],[6.44444444 9.55555556] ; [22.55555556 33.44444444],0
b2,1,0.141104,2.165877,[ 1 11] ; [10 24],[2.86956522 9.13043478] ; [ 8.13043478 25.86956522],0
b3,1,0.141104,2.165877,[ 1 11] ; [10 24],[2.86956522 9.13043478] ; [ 8.13043478 25.86956522],0
p11,1,0.146751,2.105705,[ 5 11] ; [29 27],[7.55555556 8.44444444] ; [26.44444444 29.55555556],0
u3,1,0.168685,1.894587,[3 9] ; [14 15],[4.97560976 7.02439024] ; [12.02439024 16.97560976],0
d5,1,0.281225,1.161161,[7 9] ; [33 23],[8.88888889 7.11111111] ; [31.11111111 24.88888889],0
p1,1,0.321578,0.982516,[ 2 14] ; [ 3 53],[ 1.11111111 14.88888889] ; [ 3.88888889 52.11111111],0
n4,1,0.337904,0.918367,[11  5] ; [31 25],[9.33333333 6.66666667] ; [32.66666667 23.33333333],0
p12,1,0.337904,0.918367,[ 1 15] ; [ 1 55],[ 0.44444444 15.55555556] ; [ 1.55555556 54.44444444],0
p2,1,0.343023,0.899101,[9 7] ; [24 32],[7.33333333 8.66666667] ; [25.66666667 30.33333333],0
d3,1,0.354335,0.857872,[ 4 12] ; [21 35],[ 5.55555556 10.44444444] ; [19.44444444 36.55555556],0
n1,1,0.359809,0.838561,[1 5] ; [ 8 14],[1.92857143 4.07142857] ; [ 7.07142857 14.92857143],0
v3,1,0.445709,0.581541,[ 3 13] ; [15 38],[ 4.17391304 11.82608696] ; [13.82608696 39.17391304],0
s1,1,0.470795,0.52011,[ 1 15] ; [ 7 48],[ 1.8028169 14.1971831] ; [ 6.1971831 48.8028169],0
n2,1,0.493886,0.46805,[3 3] ; [15  8],[3.72413793 2.27586207] ; [14.27586207  8.72413793],0
p4,1,0.494125,0.467532,[ 6 10] ; [16 40],[ 4.88888889 11.11111111] ; [17.11111111 38.88888889],0
