Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,87.464053,[32 49] ; [258  34],[62.97587131 18.02412869] ; [227.02412869  64.97587131],1
d3,1,0.0,54.598276,[26 55] ; [221  70],[53.78225806 27.21774194] ; [193.21774194  97.78225806],1
a5,1,0.0,32.941054,[36 45] ; [226  66],[56.89544236 24.10455764] ; [205.10455764  86.89544236],1
d2,1,1e-06,24.81867,[14 67] ; [140 151],[33.53225806 47.46774194] ; [120.46774194 170.53225806],1
a3,1,0.000171,14.122152,[40 39] ; [212  79],[53.80540541 25.19459459] ; [198.19459459  92.80540541],1
a7,1,0.000179,14.043111,[43 38] ; [218  74],[56.67828418 24.32171582] ; [204.32171582  87.67828418],1
a4,1,0.000273,13.249409,[19 61] ; [135 156],[33.20754717 46.79245283] ; [120.79245283 170.20754717],1
r4,1,0.000753,11.35474,[61 20] ; [262  30],[70.14209115 10.85790885] ; [252.85790885  39.14209115],1
n4,1,0.001744,9.800936,[49 32] ; [227  65],[59.93565684 21.06434316] ; [216.06434316  75.93565684],0
u1,1,0.002279,9.310391,[ 2 79] ; [ 44 248],[ 9.98927614 71.01072386] ; [ 36.01072386 255.98927614],0
a2,1,0.003083,8.757797,[ 6 75] ; [ 64 228],[15.20107239 65.79892761] ; [ 54.79892761 237.20107239],0
r1,1,0.003704,8.423615,[51 30] ; [229  62],[60.96774194 20.03225806] ; [219.03225806  71.96774194],0
p2,1,0.003746,8.40277,[61 20] ; [254  34],[69.14634146 11.85365854] ; [245.85365854  42.14634146],0
p4,1,0.005708,7.640316,[33 47] ; [170 120],[43.89189189 36.10810811] ; [159.10810811 130.89189189],0
p7,1,0.006182,7.496531,[39 40] ; [190  97],[49.42896175 29.57103825] ; [179.57103825 107.42896175],0
p10,1,0.015139,5.900214,[64 17] ; [258  31],[70.49189189 10.50810811] ; [251.50810811  37.49189189],0
a6,1,0.01685,5.711957,[47 34] ; [210  82],[55.80965147 25.19034853] ; [201.19034853  90.80965147],0
p3,1,0.019369,5.467933,[30 51] ; [150 140],[39.29919137 41.70080863] ; [140.70080863 149.29919137],0
r2,1,0.037962,4.306741,[69 12] ; [265  21],[73.71662125  7.28337875] ; [260.28337875  25.71662125],0
v2,1,0.040247,4.207436,[34 43] ; [161 120],[41.94134078 35.05865922] ; [153.05865922 127.94134078],0
