Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4.9e-05,16.50274,[226  78] ; [30 32],[212.63387978  91.36612022] ; [43.36612022 18.63387978],1
n4,1,0.000685,11.52837,[230  76] ; [34 29],[218.92682927  87.07317073] ; [45.07317073 17.92682927],1
p10,1,0.000955,10.9131,[255  48] ; [41 21],[245.72054795  57.27945205] ; [50.27945205 11.72054795],1
b1,1,0.010218,6.596535,[ 99 208] ; [31 32],[107.86486486 199.13513514] ; [22.13513514 40.86486486],0
n1,1,0.031173,4.643407,[17 49] ; [9 8],[20.6746988 45.3253012] ; [ 5.3253012 11.6746988],0
d3,1,0.03616,4.389527,[208  99] ; [34 29],[200.79459459 106.20540541] ; [41.20540541 21.79459459],0
n2,1,0.037667,4.319975,[46 19] ; [17  1],[49.3373494 15.6626506] ; [13.6626506  4.3373494],0
a7,1,0.043235,4.086174,[227  78] ; [39 24],[220.46195652  84.53804348] ; [45.53804348 17.46195652],0
s5,1,0.043257,4.085311,[ 74 221] ; [ 8 53],[ 67.9494382 227.0505618] ; [14.0505618 46.9494382],0
d5,1,0.069174,3.302521,[242  65] ; [43 20],[236.47297297  70.52702703] ; [48.52702703 14.47297297],0
d1,1,0.069702,3.290031,[170 137] ; [27 36],[163.45675676 143.54324324] ; [33.54324324 29.45675676],0
p9,1,0.077074,3.125551,[263  41] ; [49 14],[258.44141689  45.55858311] ; [53.55858311  9.44141689],0
b5,1,0.09729,2.749416,[180 127] ; [44 19],[185.85945946 121.14054054] ; [38.14054054 24.85945946],0
a6,1,0.110751,2.543466,[221  86] ; [39 24],[215.72972973  91.27027027] ; [44.27027027 18.72972973],0
p3,1,0.117108,2.455584,[132 175] ; [20 42],[126.46070461 180.53929539] ; [25.53929539 36.46070461],0
s8,1,0.124717,2.357062,[ 61 246] ; [18 45],[ 65.54864865 241.45135135] ; [13.45135135 49.54864865],0
p8,1,0.130427,2.287414,[159 144] ; [26 36],[153.57534247 149.42465753] ; [31.42465753 30.57534247],0
d4,1,0.144939,2.124719,[244  62] ; [45 18],[239.65853659  66.34146341] ; [49.34146341 13.65853659],0
a5,1,0.152202,2.050042,[209  98] ; [37 26],[204.11351351 102.88648649] ; [41.88648649 21.11351351],0
u2,1,0.154829,2.024017,[62 60] ; [16  8],[65.17808219 56.82191781] ; [12.82191781 11.17808219],0
r4,1,0.183445,1.769495,[276  31] ; [53 10],[272.98108108  34.01891892] ; [56.01891892  6.98108108],0
a2,1,0.187777,1.734971,[ 55 252] ; [ 7 56],[ 51.44324324 255.55675676] ; [10.55675676 52.44324324],0
r2,1,0.188083,1.732567,[279  23] ; [55  8],[276.35068493  25.64931507] ; [57.64931507  5.35068493],0
v3,1,0.190428,1.714306,[ 94 201] ; [14 46],[ 89.74647887 205.25352113] ; [18.25352113 41.74647887],0
a4,1,0.19343,1.691298,[124 182] ; [20 43],[119.41463415 186.58536585] ; [24.58536585 38.41463415],0
s1,1,0.26745,1.229779,[  4 297] ; [ 2 58],[  5.00277008 295.99722992] ; [ 0.99722992 59.00277008],0
p4,1,0.271995,1.206659,[164 142] ; [28 33],[160.08719346 145.91280654] ; [31.91280654 29.08719346],0
r1,1,0.279337,1.170314,[236  69] ; [44 18],[232.69754768  72.30245232] ; [47.30245232 14.69754768],0
s4,1,0.283719,1.14919,[ 38 260] ; [ 5 58],[ 35.49584488 262.50415512] ; [ 7.50415512 55.49584488],0
