Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5.9e-05,16.128398,[ 49 104] ; [52 37],[63.8553719 89.1446281] ; [37.1446281 51.8553719],1
p2,1,7.4e-05,15.715779,[87 73] ; [73 19],[101.58730159  58.41269841] ; [58.41269841 33.58730159],1
p3,1,0.001645,9.908959,[ 24 136] ; [29 62],[ 33.78486056 126.21513944] ; [19.21513944 71.78486056],0
s6,1,0.00344,8.558282,[ 44 114] ; [42 49],[ 54.57028112 103.42971888] ; [31.42971888 59.57028112],0
b3,1,0.006212,7.487667,[25 63] ; [25 23],[32.35294118 55.64705882] ; [17.64705882 30.35294118],0
b2,1,0.006212,7.487667,[25 63] ; [25 23],[32.35294118 55.64705882] ; [17.64705882 30.35294118],0
r1,1,0.006456,7.418278,[98 62] ; [71 20],[107.72908367  52.27091633] ; [61.27091633 29.72908367],0
p7,1,0.008675,6.888472,[ 53 105] ; [45 44],[62.68825911 95.31174089] ; [35.31174089 53.68825911],0
r2,1,0.011021,6.461993,[129  29] ; [84  6],[135.7016129  22.2983871] ; [77.2983871 12.7016129],0
a3,1,0.014421,5.985836,[95 64] ; [69 23],[103.88844622  55.11155378] ; [60.11155378 31.88844622],0
v3,1,0.024143,5.084317,[ 36 119] ; [33 57],[ 43.65306122 111.34693878] ; [25.34693878 64.65306122],0
v4,1,0.026923,4.895751,[128  31] ; [82  8],[134.09638554  24.90361446] ; [75.90361446 14.09638554],0
p8,1,0.056122,3.648428,[ 39 118] ; [33 58],[ 45.58064516 111.41935484] ; [26.41935484 64.58064516],0
p9,1,0.056435,3.639173,[95 59] ; [67 24],[101.82857143  52.17142857] ; [60.17142857 30.82857143],0
p11,1,0.079658,3.071861,[96 64] ; [66 27],[102.45059289  57.54940711] ; [59.54940711 33.45059289],0
s4,1,0.093581,2.811663,[ 19 141] ; [ 5 87],[ 15.23809524 144.76190476] ; [ 8.76190476 83.23809524],0
r3,1,0.105155,2.625561,[127  32] ; [80 11],[131.652  27.348] ; [75.348 15.652],0
p10,1,0.14617,2.111775,[87 70] ; [59 32],[92.42741935 64.57258065] ; [53.57258065 37.42741935],0
a5,1,0.149743,2.074868,[92 68] ; [62 31],[97.39130435 62.60869565] ; [56.60869565 36.39130435],0
n3,1,0.154162,2.030577,[38 23] ; [21  6],[40.89772727 20.10227273] ; [18.10227273  8.89772727],0
b5,1,0.172269,1.863085,[91 69] ; [61 32],[96.12648221 63.87351779] ; [55.87351779 37.12648221],0
d3,1,0.208475,1.581984,[88 71] ; [59 34],[92.75 66.25] ; [54.25 38.75],0
u2,1,0.214874,1.538283,[27 38] ; [13 10],[29.54545455 35.45454545] ; [10.45454545 12.54545455],0
a4,1,0.218579,1.513675,[ 55 104] ; [39 53],[59.54581673 99.45418327] ; [34.45418327 57.54581673],0
s7,1,0.2278,1.454545,[ 24 126] ; [20 70],[ 27.5 122.5] ; [16.5 73.5],0
a7,1,0.235408,1.407887,[97 62] ; [63 29],[101.35458167  57.64541833] ; [58.64541833 33.35458167],0
n2,1,0.25033,1.321462,[40 25] ; [20  7],[42.39130435 22.60869565] ; [17.60869565  9.39130435],0
p6,1,0.271973,1.206768,[ 16 141] ; [13 74],[ 18.65983607 138.34016393] ; [10.34016393 76.65983607],0
u4,1,0.279776,1.168175,[  1 159] ; [ 2 91],[  1.8972332 158.1027668] ; [ 1.1027668 91.8972332],0
a6,1,0.310325,1.029294,[100  60] ; [64 29],[103.71541502  56.28458498] ; [60.28458498 32.71541502],0
a2,1,0.33094,0.945215,[ 25 135] ; [19 74],[ 27.82608696 132.17391304] ; [16.17391304 76.82608696],0
p5,1,0.371385,0.799027,[  5 154] ; [ 5 87],[  6.33466135 152.66533865] ; [ 3.66533865 88.33466135],0
r4,1,0.378195,0.776561,[114  46] ; [71 22],[116.99604743  43.00395257] ; [68.00395257 24.99604743],0
d4,1,0.403956,0.69652,[113  45] ; [71 22],[115.8247012  42.1752988] ; [68.1752988 24.8247012],0
p1,1,0.419138,0.65273,[  8 151] ; [ 7 86],[  9.46428571 149.53571429] ; [ 5.53571429 87.46428571],0
s8,1,0.468836,0.524718,[ 27 132] ; [19 73],[ 29.13944223 129.86055777] ; [16.86055777 75.13944223],0
s1,1,0.502526,0.449597,[  3 154] ; [ 3 89],[  3.78313253 153.21686747] ; [ 2.21686747 89.78313253],0
a1,1,0.51329,0.427354,[ 10 150] ; [ 4 89],[  8.85375494 151.14624506] ; [ 5.14624506 87.85375494],0
a8,1,0.531894,0.390771,[ 14 138] ; [10 75],[ 15.39240506 136.60759494] ; [ 8.60759494 76.39240506],0
n6,1,0.692701,0.156177,[111  49] ; [66 26],[112.38095238  47.61904762] ; [64.61904762 27.38095238],0
s3,1,0.721075,0.127465,[ 37 122] ; [23 68],[ 38.16 120.84] ; [21.84 69.16],0
n5,1,0.730161,0.118964,[95 64] ; [57 35],[96.28685259 62.71314741] ; [55.71314741 36.28685259],0
u1,1,0.754081,0.098134,[ 12 148] ; [ 8 85],[ 12.64822134 147.35177866] ; [ 7.35177866 85.64822134],0
d2,1,0.793709,0.068381,[60 97] ; [34 59],[59.032 97.968] ; [34.968 58.032],0
n4,1,0.889412,0.019335,[104  56] ; [59 33],[103.49206349  56.50793651] ; [59.50793651 32.49206349],0
b1,1,0.89551,0.017249,[65 95] ; [37 56],[64.50592885 95.49407115] ; [37.49407115 55.50592885],0
d1,1,0.903458,0.014712,[71 89] ; [42 51],[71.46245059 88.53754941] ; [41.53754941 51.46245059],0
b4,1,0.915033,0.011383,[94 66] ; [54 39],[93.59683794 66.40316206] ; [54.40316206 38.59683794],0
d5,1,0.931269,0.007439,[111  49] ; [65 28],[111.30434783  48.69565217] ; [64.69565217 28.30434783],0
p12,1,0.95459,0.003243,[  5 153] ; [ 3 88],[  5.07630522 152.92369478] ; [ 2.92369478 88.07630522],0
s5,1,0.956853,0.002927,[ 22 133] ; [13 77],[ 22.14285714 132.85714286] ; [12.85714286 77.14285714],0
u3,1,0.960117,0.002501,[24 41] ; [ 9 15],[24.1011236 40.8988764] ; [ 8.8988764 15.1011236],0
n1,1,0.961929,0.002278,[23 40] ; [10 17],[23.1 39.9] ; [ 9.9 17.1],0
