Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,7e-06,20.306795,[75 32] ; [220  26],[89.41926346 17.58073654] ; [205.58073654  40.41926346],1
v1,1,2.9e-05,17.497534,[45 63] ; [158  83],[62.81948424 45.18051576] ; [140.18051576 100.81948424],1
n6,1,0.000999,10.830338,[91 17] ; [236  13],[98.92436975  9.07563025] ; [228.07563025  20.92436975],1
s3,1,0.001031,10.771582,[70 38] ; [200  47],[82.14084507 25.85915493] ; [187.85915493  59.14084507],0
v3,1,0.001051,10.735565,[38 70] ; [131 111],[52.14857143 55.85142857] ; [116.85142857 125.14857143],0
s2,1,0.001085,10.6767,[69 41] ; [197  52],[81.50417827 28.49582173] ; [184.49582173  64.50417827],0
p9,1,0.003166,8.708981,[89 19] ; [231  18],[96.80672269 11.19327731] ; [223.19327731  25.80672269],0
p10,1,0.006332,7.453245,[86 24] ; [221  27],[94.32960894 15.67039106] ; [212.67039106  35.32960894],0
d1,1,0.011972,6.31508,[62 48] ; [175  75],[72.41666667 37.58333333] ; [164.58333333  85.41666667],0
n5,1,0.014671,5.955612,[89 20] ; [226  23],[95.90782123 13.09217877] ; [219.09217877  29.90782123],0
v2,1,0.016175,5.783788,[56 53] ; [159  86],[66.20056497 42.79943503] ; [148.79943503  96.20056497],0
d5,1,0.016402,5.759243,[84 25] ; [217  32],[91.6452514 17.3547486] ; [209.3547486  39.6452514],0
a3,1,0.017433,5.652256,[83 26] ; [215  34],[90.73184358 18.26815642] ; [207.26815642  41.73184358],0
p12,1,0.02953,4.736434,[  6 103] ; [ 33 215],[11.90756303 97.09243697] ; [ 27.09243697 220.90756303],0
p6,1,0.039014,4.260269,[44 66] ; [127 118],[52.98591549 57.01408451] ; [118.01408451 126.98591549],0
p5,1,0.042996,4.095567,[13 97] ; [ 51 195],[19.7752809 90.2247191] ; [ 44.2247191 201.7752809],0
s5,1,0.043104,4.091304,[40 68] ; [115 121],[48.6627907 59.3372093] ; [106.3372093 129.6627907],0
u4,1,0.068338,3.322497,[  1 109] ; [ 12 238],[  3.97222222 106.02777778] ; [  9.02777778 240.97222222],0
p8,1,0.078271,3.100452,[54 55] ; [146  99],[61.5819209 47.4180791] ; [138.4180791 106.5819209],0
u2,1,0.078311,3.099604,[12 14] ; [24 11],[15.3442623 10.6557377] ; [20.6557377 14.3442623],0
r4,1,0.089597,2.881596,[96 14] ; [232  18],[100.22222222   9.77777778] ; [227.77777778  22.22222222],0
p7,1,0.095581,2.777778,[69 39] ; [176  66],[75.6 32.4] ; [169.4  72.6],0
a5,1,0.104152,2.640788,[84 26] ; [209  41],[89.52777778 20.47222222] ; [203.47222222  46.52777778],0
p11,1,0.104152,2.640788,[84 26] ; [209  41],[89.52777778 20.47222222] ; [203.47222222  46.52777778],0
a7,1,0.160134,1.97296,[80 30] ; [163  87],[74.25 35.75] ; [168.75  81.25],0
p4,1,0.181603,1.784461,[69 41] ; [174  75],[74.45682451 35.54317549] ; [168.54317549  80.45682451],0
u3,1,0.209495,1.574916,[16 11] ; [26  9],[18.29032258  8.70967742] ; [23.70967742 11.29032258],0
d4,1,0.210842,1.565633,[90 19] ; [218  31],[93.77653631 15.22346369] ; [214.22346369  34.77653631],0
r1,1,0.224889,1.472898,[90 20] ; [216  33],[93.76044568 16.23955432] ; [212.23955432  36.76044568],0
b2,1,0.252018,1.312084,[26 47] ; [ 82 107],[30.09160305 42.90839695] ; [ 77.90839695 111.09160305],0
b3,1,0.252018,1.312084,[26 47] ; [ 82 107],[30.09160305 42.90839695] ; [ 77.90839695 111.09160305],0
v4,1,0.267902,1.227457,[103   5] ; [242   6],[104.66292135   3.33707865] ; [240.33707865   7.66292135],0
s1,1,0.275279,1.190249,[  9 100] ; [ 13 235],[  6.71708683 102.28291317] ; [ 15.28291317 232.71708683],0
d2,1,0.283152,1.151898,[57 52] ; [146 104],[61.63509749 47.36490251] ; [141.36490251 108.63509749],0
u1,1,0.332254,0.940091,[25 85] ; [ 69 181],[28.72222222 81.27777778] ; [ 65.27777778 184.72222222],0
n1,1,0.357514,0.846606,[10 13] ; [27 22],[11.81944444 11.18055556] ; [25.18055556 23.81944444],0
p3,1,0.38104,0.767344,[60 49] ; [150 100],[63.76044568 45.23955432] ; [146.23955432 103.76044568],0
b4,1,0.381716,0.765169,[64 46] ; [133 117],[60.19444444 49.80555556] ; [136.80555556 113.19444444],0
r2,1,0.397089,0.717125,[103   5] ; [238   7],[104.3286119   3.6713881] ; [236.6713881   8.3286119],0
n2,1,0.499343,0.456332,[19  4] ; [37 12],[17.88888889  5.11111111] ; [38.11111111 10.88888889],0
n3,1,0.593712,0.284585,[15  8] ; [35 14],[15.97222222  7.02777778] ; [34.02777778 14.97222222],0
p2,1,0.662415,0.190603,[96 14] ; [213  36],[94.67966574 15.32033426] ; [214.32033426  34.67966574],0
b1,1,0.70734,0.140948,[43 67] ; [103 147],[44.61111111 65.38888889] ; [101.38888889 148.61111111],0
a6,1,0.707722,0.140563,[70 39] ; [165  84],[71.55027933 37.44972067] ; [163.44972067  85.55027933],0
