Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,42.399482,[67 30] ; [271  17],[85.15844156 11.84155844] ; [252.84155844  35.15844156],1
p11,1,0.0,38.529049,[45 54] ; [227  62],[69.40206186 29.59793814] ; [202.59793814  86.40206186],1
p10,1,0.0,37.038388,[39 57] ; [212  72],[63.41052632 32.58947368] ; [187.58947368  96.41052632],1
r3,1,0.0,33.916779,[69 30] ; [266  21],[85.91968912 13.08031088] ; [249.08031088  37.91968912],1
r4,1,0.0,29.545504,[57 42] ; [243  46],[76.54639175 22.45360825] ; [223.45360825  65.54639175],1
n5,1,0.0,29.379162,[43 55] ; [212  75],[64.90909091 33.09090909] ; [190.09090909  96.90909091],1
p9,1,0.0,26.709191,[49 48] ; [221  62],[68.92105263 28.07894737] ; [201.07894737  81.92105263],1
p2,1,4e-05,16.865178,[57 40] ; [229  58],[72.24479167 24.75520833] ; [213.75520833  73.24479167],1
r2,1,0.000153,14.334388,[76 22] ; [260  23],[86.42519685 11.57480315] ; [249.57480315  33.42519685],1
p4,1,0.000339,12.843701,[29 68] ; [145 140],[44.18324607 52.81675393] ; [129.81675393 155.18324607],1
n4,1,0.000476,12.206513,[53 46] ; [209  79],[67.02325581 31.97674419] ; [194.97674419  93.02325581],1
b1,1,0.001292,10.35329,[52 47] ; [ 99 190],[38.52835052 60.47164948] ; [112.47164948 176.52835052],0
s6,1,0.00233,9.269698,[23 76] ; [114 169],[35.5052356 63.4947644] ; [101.4947644 181.5052356],0
s1,1,0.004449,8.090846,[ 6 93] ; [  3 283],[ 2.31428571 96.68571429] ; [  6.68571429 279.31428571],0
p8,1,0.005841,7.598859,[30 66] ; [135 150],[41.57480315 54.42519685] ; [123.42519685 161.57480315],0
p3,1,0.006446,7.421059,[26 71] ; [122 166],[37.28831169 59.71168831] ; [110.71168831 177.28831169],0
a1,1,0.007987,7.03644,[ 9 90] ; [  8 281],[ 4.33762887 94.66237113] ; [ 12.66237113 276.33762887],0
v1,1,0.009641,6.700099,[31 67] ; [132 151],[41.92650919 56.07349081] ; [121.07349081 161.92650919],0
v3,1,0.010033,6.629003,[17 75] ; [ 92 191],[26.74133333 65.25866667] ; [ 82.25866667 200.74133333],0
v2,1,0.011446,6.394713,[34 58] ; [146 134],[44.51612903 47.48387097] ; [135.48387097 144.51612903],0
d3,1,0.018557,5.542825,[51 47] ; [189 100],[60.7751938 37.2248062] ; [179.2248062 109.7751938],0
d1,1,0.020434,5.374467,[36 63] ; [144 145],[45.92783505 53.07216495] ; [134.07216495 154.92783505],0
p7,1,0.020996,5.327122,[40 56] ; [157 127],[49.76842105 46.23157895] ; [147.23157895 136.76842105],0
u1,1,0.025642,4.980026,[ 4 95] ; [ 34 255],[ 9.69587629 89.30412371] ; [ 28.30412371 260.69587629],0
p5,1,0.027257,4.874427,[ 2 95] ; [ 25 263],[ 6.8025974 90.1974026] ; [ 20.1974026 267.8025974],0
p6,1,0.041426,4.158515,[14 79] ; [ 72 213],[21.15873016 71.84126984] ; [ 64.84126984 220.15873016],0
d5,1,0.04629,3.970996,[66 33] ; [222  67],[73.48453608 25.51546392] ; [214.51546392  74.48453608],0
a5,1,0.06039,3.526645,[55 44] ; [191  98],[62.76804124 36.23195876] ; [183.23195876 105.76804124],0
s3,1,0.064565,3.416048,[27 71] ; [ 53 230],[20.57742782 77.42257218] ; [ 59.42257218 223.57742782],0
d4,1,0.070131,3.279956,[65 33] ; [218  70],[71.84974093 26.15025907] ; [211.15025907  76.84974093],0
r1,1,0.076578,3.136076,[61 38] ; [205  83],[68.04651163 30.95348837] ; [197.95348837  90.04651163],0
