Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,118.873675,[310  60] ; [53 97],[258.28846154 111.71153846] ; [104.71153846  45.28846154],1
n6,1,0.0,33.776506,[321  49] ; [98 54],[296.99233716  73.00766284] ; [122.00766284  29.99233716],1
a5,1,1e-06,23.632045,[281  91] ; [82 70],[257.70229008 114.29770992] ; [105.29770992  46.70229008],1
r1,1,7.5e-05,15.691744,[306  64] ; [101  50],[289.0403071  80.9596929] ; [117.9596929  33.0403071],1
p11,1,8.6e-05,15.423421,[296  76] ; [96 56],[278.29007634  93.70992366] ; [113.70992366  38.29007634],1
p10,1,0.000103,15.086234,[300  70] ; [97 52],[283.02504817  86.97495183] ; [113.97495183  35.02504817],1
s7,1,0.000486,12.16901,[168 189] ; [ 44 102],[150.46520875 206.53479125] ; [61.53479125 84.46520875],1
p4,1,0.00059,11.807772,[218 152] ; [64 87],[200.26871401 169.73128599] ; [81.73128599 69.26871401],1
r4,1,0.000804,11.23189,[343  29] ; [125  27],[332.24427481  39.75572519] ; [135.75572519  16.24427481],1
a8,1,0.000988,10.849138,[ 51 294] ; [  6 136],[ 40.3798768 304.6201232] ; [ 16.6201232 125.3798768],1
a4,1,0.001313,10.323659,[173 196] ; [ 48 104],[156.52399232 212.47600768] ; [64.47600768 87.52399232],0
a3,1,0.002162,9.406249,[263 108] ; [86 65],[248.0440613 122.9559387] ; [100.9559387  50.0440613],0
a2,1,0.002279,9.310198,[ 91 281] ; [ 19 133],[ 78.09160305 293.90839695] ; [ 31.90839695 120.09160305],0
u1,1,0.002706,8.995885,[ 68 304] ; [ 12 140],[ 56.79389313 315.20610687] ; [ 23.20610687 128.79389313],0
p9,1,0.002892,8.87424,[306  61] ; [107  42],[293.74224806  73.25775194] ; [119.25775194  29.74224806],0
p5,1,0.005494,7.709277,[ 36 333] ; [  4 148],[ 28.33013436 340.66986564] ; [ 11.66986564 140.33013436],0
p2,1,0.006323,7.455968,[308  61] ; [111  41],[296.75815739  72.24184261] ; [122.24184261  29.75815739],0
p12,1,0.007417,7.169167,[ 22 345] ; [  1 150],[ 16.2953668 350.7046332] ; [  6.7046332 144.2953668],0
p3,1,0.009294,6.765461,[175 195] ; [53 99],[161.6091954 208.3908046] ; [66.3908046 85.6091954],0
s4,1,0.00959,6.709541,[ 62 303] ; [ 41 111],[ 72.71760155 292.28239845] ; [ 30.28239845 121.71760155],0
d1,1,0.011449,6.394249,[214 158] ; [69 83],[200.90839695 171.09160305] ; [82.09160305 69.90839695],0
s6,1,0.012196,6.282188,[244 120] ; [83 67],[231.57198444 132.42801556] ; [95.42801556 54.57198444],0
d2,1,0.018619,5.536937,[183 187] ; [58 94],[170.82375479 199.17624521] ; [70.17624521 81.82375479],0
d5,1,0.023027,5.166452,[302  70] ; [109  42],[292.33652008  79.66347992] ; [118.66347992  32.33652008],0
p6,1,0.025269,5.005323,[139 228] ; [ 41 108],[128.02325581 238.97674419] ; [51.97674419 97.02325581],0
v1,1,0.026468,4.925189,[169 193] ; [54 96],[157.66796875 204.33203125] ; [65.33203125 84.66796875],0
p8,1,0.041313,4.16311,[185 181] ; [61 89],[174.48837209 191.51162791] ; [71.51162791 78.48837209],0
d4,1,0.042731,4.106004,[303  69] ; [111  40],[294.47036329  77.52963671] ; [119.52963671  31.47036329],0
s8,1,0.045656,3.994245,[145 226] ; [ 45 106],[135.03831418 235.96168582] ; [54.96168582 96.03831418],0
b3,1,0.050714,3.8177,[ 89 141] ; [20 56],[ 81.92810458 148.07189542] ; [27.07189542 48.92810458],0
b2,1,0.050714,3.8177,[ 89 141] ; [20 56],[ 81.92810458 148.07189542] ; [27.07189542 48.92810458],0
s3,1,0.057637,3.604109,[209 161] ; [72 80],[199.17624521 170.82375479] ; [81.82375479 70.17624521],0
a6,1,0.078077,3.104475,[255 117] ; [92 60],[246.34351145 125.65648855] ; [100.65648855  51.34351145],0
n1,1,0.092718,2.826534,[40 45] ; [18 37],[35.21428571 49.78571429] ; [22.78571429 32.21428571],0
p7,1,0.098058,2.736841,[223 142] ; [77 68],[214.70588235 150.29411765] ; [85.29411765 59.70588235],0
d3,1,0.155543,2.017033,[250 122] ; [91 59],[243.01149425 128.98850575] ; [97.98850575 52.01149425],0
p1,1,0.294349,1.099622,[ 29 340] ; [  8 144],[ 26.20537428 342.79462572] ; [ 10.79462572 141.20537428],0
a7,1,0.30602,1.047773,[268 104] ; [102  49],[263.17399618 108.82600382] ; [106.82600382  44.17399618],0
u3,1,0.314169,1.013069,[62 47] ; [42 23],[65.14942529 43.85057471] ; [38.85057471 26.14942529],0
v4,1,0.335555,0.927339,[352  19] ; [140  11],[349.67816092  21.32183908] ; [142.32183908   8.67816092],0
