Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,61.878252,[438  39] ; [15 17],[424.52062868  52.47937132] ; [28.47937132  3.52062868],1
r2,1,1.1e-05,19.259854,[448  27] ; [22  8],[442.07920792  32.92079208] ; [27.92079208  2.07920792],1
p2,1,4e-05,16.853992,[387  85] ; [16 15],[378.16302187  93.83697813] ; [24.83697813  6.16302187],1
n6,1,0.000342,12.827111,[387  88] ; [17 14],[379.24901186  95.75098814] ; [24.75098814  6.24901186],1
r1,1,0.000449,12.315414,[368 107] ; [16 16],[359.76331361 115.23668639] ; [24.23668639  7.76331361],1
a6,1,0.000469,12.236172,[334 141] ; [13 19],[325.09861933 149.90138067] ; [21.90138067 10.09861933],1
p7,1,0.00072,11.436462,[272 191] ; [ 9 23],[262.83434343 200.16565657] ; [18.16565657 13.83434343],1
p11,1,0.001517,10.057748,[371 106] ; [17 15],[363.60707269 113.39292731] ; [24.39292731  7.60707269],0
p10,1,0.0016,9.959814,[352 115] ; [16 16],[344.4008016 122.5991984] ; [23.5991984  8.4008016],0
v3,1,0.001607,9.95192,[155 304] ; [ 2 29],[147.06734694 311.93265306] ; [ 9.93265306 21.06734694],0
p9,1,0.00544,7.727087,[370  96] ; [18 13],[363.79879276 102.20120724] ; [24.20120724  6.79879276],0
u3,1,0.006674,7.358731,[93 78] ; [ 2 11],[88.28804348 82.71195652] ; [6.71195652 6.28804348],0
p8,1,0.007922,7.051101,[220 247] ; [ 7 24],[212.86947791 254.13052209] ; [14.13052209 16.86947791],0
n5,1,0.011099,6.449388,[324 148] ; [15 17],[317.47619048 154.52380952] ; [21.52380952 10.47619048],0
v1,1,0.025201,5.010008,[217 250] ; [ 8 23],[210.9939759 256.0060241] ; [14.0060241 16.9939759],0
p3,1,0.052249,3.767762,[200 271] ; [ 8 24],[194.76739563 276.23260437] ; [13.23260437 18.76739563],0
a7,1,0.055865,3.656073,[355 120] ; [19 13],[350.39447732 124.60552268] ; [23.60552268  8.39447732],0
