Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,5.3e-05,16.341684,[187  37] ; [61 36],[173.05919003  50.94080997] ; [74.94080997 22.05919003],1
a1,1,0.000218,13.665183,[  2 224] ; [ 9 93],[  7.57926829 218.42073171] ; [ 3.42073171 98.57926829],1
p4,1,0.000571,11.867542,[111 115] ; [29 72],[ 96.75840979 129.24159021] ; [43.24159021 57.75840979],1
p10,1,0.001133,10.595824,[170  55] ; [57 42],[157.63888889  67.36111111] ; [69.36111111 29.63888889],0
p11,1,0.001175,10.529277,[167  59] ; [57 45],[154.34146341  71.65853659] ; [69.65853659 32.34146341],0
p8,1,0.001431,10.165912,[ 68 157] ; [14 88],[ 56.42201835 168.57798165] ; [25.57798165 76.42201835],0
b1,1,0.008155,6.999207,[ 72 154] ; [48 54],[ 82.68292683 143.31707317] ; [37.31707317 64.68292683],0
n4,1,0.013062,6.160747,[168  58] ; [62 40],[158.47560976  67.52439024] ; [71.52439024 30.47560976],0
v1,1,0.015216,5.891257,[109 109] ; [35 64],[ 99.02839117 118.97160883] ; [44.97160883 54.02839117],0
r3,1,0.024674,5.046638,[211  14] ; [88 14],[205.73394495  19.26605505] ; [93.26605505  8.73394495],0
s3,1,0.049891,3.845105,[117 107] ; [40 59],[108.87925697 115.12074303] ; [48.12074303 50.87925697],0
a2,1,0.054017,3.71218,[ 39 187] ; [27 75],[ 45.47560976 180.52439024] ; [20.52439024 81.47560976],0
s1,1,0.05778,3.599983,[  7 216] ; [ 8 93],[ 10.32407407 212.67592593] ; [ 4.67592593 96.32407407],0
s4,1,0.06659,3.365148,[ 31 193] ; [22 78],[ 36.64197531 187.35802469] ; [16.35802469 83.64197531],0
d5,1,0.071904,3.239009,[180  46] ; [72 30],[173.63414634  52.36585366] ; [78.36585366 23.63414634],0
a7,1,0.078147,3.103034,[167  58] ; [66 36],[160.32110092  64.67889908] ; [72.67889908 29.32110092],0
n5,1,0.09196,2.83972,[158  67] ; [62 40],[151.37614679  73.62385321] ; [68.62385321 33.37614679],0
s2,1,0.103554,2.649933,[106 116] ; [38 62],[ 99.27950311 122.72049689] ; [44.72049689 55.27950311],0
p3,1,0.109916,2.555426,[ 78 147] ; [26 75],[ 71.7791411 153.2208589] ; [32.2208589 68.7791411],0
a8,1,0.112831,2.514111,[ 22 181] ; [ 5 91],[ 18.33110368 184.66889632] ; [ 8.66889632 87.33110368],0
u4,1,0.132372,2.264459,[  3 223] ; [ 4 98],[  4.82317073 221.17682927] ; [ 2.17682927 99.82317073],0
b5,1,0.141323,2.163491,[154  72] ; [61 41],[148.1402439  77.8597561] ; [66.8597561 35.1402439],0
a4,1,0.155097,2.021394,[ 95 131] ; [51 50],[100.90519878 125.09480122] ; [45.09480122 55.90519878],0
b2,1,0.17189,1.86638,[41 80] ; [27 34],[45.20879121 75.79120879] ; [22.79120879 38.20879121],0
b3,1,0.17189,1.86638,[41 80] ; [27 34],[45.20879121 75.79120879] ; [22.79120879 38.20879121],0
p6,1,0.239815,1.381678,[ 38 186] ; [12 89],[ 34.46153846 189.53846154] ; [15.53846154 85.46153846],0
v2,1,0.24191,1.369428,[108 109] ; [40 54],[103.26688103 113.73311897] ; [44.73311897 49.26688103],0
n6,1,0.257171,1.283924,[185  41] ; [78 24],[181.21341463  44.78658537] ; [81.78658537 20.21341463],0
s6,1,0.276169,1.185848,[137  86] ; [55 45],[132.55727554  90.44272446] ; [59.44272446 40.55727554],0
u1,1,0.301276,1.068537,[ 32 194] ; [19 83],[ 35.1402439 190.8597561] ; [15.8597561 86.1402439],0
v3,1,0.336731,0.922839,[ 68 149] ; [34 58],[ 71.63106796 145.36893204] ; [30.36893204 61.63106796],0
b4,1,0.349218,0.876298,[143  83] ; [59 43],[139.18292683  86.81707317] ; [62.81707317 39.18292683],0
d2,1,0.357962,0.84503,[103 121] ; [52 49],[106.83076923 117.16923077] ; [48.16923077 52.83076923],0
a3,1,0.364781,0.821367,[145  81] ; [70 31],[148.59327217  77.40672783] ; [66.40672783 34.59327217],0
r1,1,0.393637,0.727678,[171  54] ; [73 29],[167.88990826  57.11009174] ; [76.11009174 25.88990826],0
s7,1,0.405639,0.691546,[ 86 129] ; [34 63],[ 82.69230769 132.30769231] ; [37.30769231 59.69230769],0
d4,1,0.412045,0.672893,[181  44] ; [78 24],[178.21100917  46.78899083] ; [80.78899083 21.21100917],0
d1,1,0.42197,0.644821,[126 100] ; [52 50],[122.64634146 103.35365854] ; [55.35365854 46.64634146],0
n1,1,0.446506,0.579506,[24 39] ; [20 24],[25.90654206 37.09345794] ; [18.09345794 25.90654206],0
u2,1,0.468717,0.525,[44 36] ; [20 12],[45.71428571 34.28571429] ; [18.28571429 13.71428571],0
u3,1,0.484293,0.489181,[50 31] ; [22 10],[51.61061947 29.38938053] ; [20.38938053 11.61061947],0
r4,1,0.637474,0.222061,[195  31] ; [86 16],[193.61585366  32.38414634] ; [87.38414634 14.61585366],0
d3,1,0.687413,0.161901,[147  79] ; [64 38],[145.38414634  80.61585366] ; [65.61585366 36.38414634],0
p12,1,0.690369,0.158686,[ 15 209] ; [ 8 93],[ 15.85230769 208.14769231] ; [ 7.14769231 93.85230769],0
r2,1,0.704455,0.143878,[212  13] ; [95  7],[211.23853211  13.76146789] ; [95.76146789  6.23853211],0
s5,1,0.711359,0.136923,[ 51 163] ; [24 69],[ 52.28013029 161.71986971] ; [22.71986971 70.28013029],0
a5,1,0.71589,0.132465,[155  71] ; [72 30],[156.40853659  69.59146341] ; [70.59146341 31.40853659],0
a6,1,0.779874,0.078111,[152  74] ; [67 35],[150.89634146  75.10365854] ; [68.10365854 33.89634146],0
p5,1,0.845717,0.037864,[ 15 211] ; [ 6 93],[ 14.60307692 211.39692308] ; [ 6.39692308 92.60307692],0
p1,1,0.854776,0.033499,[ 19 206] ; [ 8 94],[ 18.57798165 206.42201835] ; [ 8.42201835 93.57798165],0
s8,1,0.860274,0.030985,[ 79 145] ; [37 65],[ 79.70552147 144.29447853] ; [36.29447853 65.70552147],0
