Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,124.526652,[37 48] ; [339  25],[71.18040089 13.81959911] ; [304.81959911  59.18040089],1
p11,1,0.0,45.995871,[43 44] ; [304  60],[66.93791574 20.06208426] ; [280.06208426  83.93791574],1
n6,1,1e-06,25.087742,[53 33] ; [308  53],[69.4541387 16.5458613] ; [291.5458613  69.4541387],1
r4,1,2e-05,18.236718,[67 20] ; [337  27],[77.93348115  9.06651885] ; [326.06651885  37.93348115],1
s8,1,2.5e-05,17.731464,[29 58] ; [212 151],[46.59333333 40.40666667] ; [194.40666667 168.59333333],1
s2,1,7.9e-05,15.593437,[53 34] ; [294  70],[66.93791574 20.06208426] ; [280.06208426  83.93791574],1
n5,1,0.00017,14.141894,[50 36] ; [282  80],[63.73214286 22.26785714] ; [268.26785714  93.73214286],1
r3,1,0.000179,14.044786,[77 10] ; [353   9],[83.31848552  3.68151448] ; [346.68151448  15.31848552],1
p2,1,0.00023,13.567968,[61 26] ; [314  49],[72.5 14.5] ; [302.5  60.5],1
r2,1,0.001556,10.010759,[77  9] ; [349  10],[82.32808989  3.67191011] ; [343.67191011  15.32808989],0
s6,1,0.001668,9.882686,[60 27] ; [299  58],[70.34459459 16.65540541] ; [288.65540541  68.34459459],0
v4,1,0.002106,9.454532,[75 11] ; [346  15],[80.99776286  5.00223714] ; [340.00223714  20.99776286],0
d1,1,0.003302,8.632495,[39 48] ; [226 138],[51.11973392 35.88026608] ; [213.88026608 150.11973392],0
n4,1,0.003633,8.458773,[55 31] ; [287  77],[65.36 20.64] ; [276.64  87.36],0
p8,1,0.006138,7.509307,[30 57] ; [183 177],[41.45637584 45.54362416] ; [171.54362416 188.45637584],0
p3,1,0.016462,5.75287,[31 55] ; [183 180],[40.98886414 45.01113586] ; [173.01113586 189.98886414],0
s5,1,0.016714,5.726147,[22 61] ; [142 207],[31.50925926 51.49074074] ; [132.49074074 216.50925926],0
p7,1,0.016925,5.704154,[46 40] ; [236 115],[55.49656751 30.50343249] ; [226.50343249 124.49656751],0
d5,1,0.018429,5.554871,[60 26] ; [295  68],[67.99554566 18.00445434] ; [287.00445434  75.99554566],0
p4,1,0.020504,5.368496,[39 48] ; [212 150],[48.63474388 38.36525612] ; [202.36525612 159.63474388],0
a3,1,0.023216,5.152251,[54 32] ; [272  91],[62.44097996 23.55902004] ; [263.55902004  99.44097996],0
v2,1,0.027527,4.857472,[38 46] ; [202 143],[46.99300699 37.00699301] ; [193.00699301 151.99300699],0
d3,1,0.028597,4.791703,[51 35] ; [260 104],[59.43555556 26.56444444] ; [251.56444444 112.43555556],0
s1,1,0.030864,4.660535,[ 7 79] ; [ 11 350],[ 3.46308725 82.53691275] ; [ 14.53691275 346.46308725],0
s7,1,0.032118,4.59217,[41 41] ; [220 130],[49.54166667 32.45833333] ; [211.45833333 138.54166667],0
a5,1,0.051322,3.797735,[56 31] ; [272  92],[63.27272727 23.72727273] ; [264.72727273  99.27272727],0
p12,1,0.053643,3.723777,[ 2 84] ; [ 30 332],[ 6.14285714 79.85714286] ; [ 25.85714286 336.14285714],0
v1,1,0.056435,3.639158,[35 50] ; [185 166],[42.88990826 42.11009174] ; [177.11009174 173.88990826],0
a6,1,0.063797,3.43581,[51 35] ; [253 110],[58.22717149 27.77282851] ; [245.77282851 117.22717149],0
r1,1,0.084766,2.971057,[64 23] ; [296  66],[69.75501114 17.24498886] ; [290.24498886  71.75501114],0
u4,1,0.093261,2.817157,[ 4 83] ; [  6 358],[ 1.92904656 85.07095344] ; [  8.07095344 355.92904656],0
a2,1,0.110309,2.549788,[16 71] ; [ 97 267],[21.79822616 65.20177384] ; [ 91.20177384 272.79822616],0
n2,1,0.119141,2.428571,[24 10] ; [57 11],[27.  7.] ; [54. 14.],0
v3,1,0.123068,2.377837,[25 57] ; [140 213],[31.10344828 50.89655172] ; [133.89655172 219.10344828],0
p6,1,0.137795,2.202412,[24 62] ; [131 229],[29.88789238 56.11210762] ; [125.11210762 234.88789238],0
a7,1,0.150785,2.064295,[56 31] ; [262 101],[61.48 25.52] ; [256.52 106.48],0
n3,1,0.224178,1.477423,[22 11] ; [53 15],[24.5049505  8.4950495] ; [50.4950495 17.5049505],0
d4,1,0.250357,1.32131,[67 18] ; [305  58],[70.58035714 14.41964286] ; [301.41964286  61.58035714],0
u3,1,0.263505,1.250246,[18 15] ; [59 31],[20.65853659 12.34146341] ; [56.34146341 33.65853659],0
u2,1,0.273732,1.19795,[16 16] ; [55 35],[18.62295082 13.37704918] ; [52.37704918 37.62295082],0
