Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,45.643186,[ 9 33] ; [52  7],[25.36633663 16.63366337] ; [35.63366337 23.36633663],1
s7,1,0.0,29.580866,[13 28] ; [48  8],[25.78350515 15.21649485] ; [35.21649485 20.78350515],1
s8,1,1e-06,24.846734,[14 29] ; [48 11],[26.1372549 16.8627451] ; [35.8627451 23.1372549],1
s6,1,3e-06,21.715745,[19 24] ; [50  7],[29.67 13.33] ; [39.33 17.67],1
s5,1,0.000193,13.895361,[ 7 36] ; [30 27],[15.91 27.09] ; [21.09 35.91],1
v1,1,0.012165,6.286705,[22 19] ; [45 13],[27.74747475 13.25252525] ; [39.25252525 18.74747475],0
b5,1,0.047872,3.914461,[23 20] ; [20 39],[18.12745098 24.87254902] ; [24.87254902 34.12745098],0
a4,1,0.066882,3.357925,[12 31] ; [27 32],[16.44117647 26.55882353] ; [22.55882353 36.44117647],0
b3,1,0.073192,3.209942,[10 19] ; [22 17],[13.64705882 15.35294118] ; [18.35294118 20.64705882],0
b2,1,0.073192,3.209942,[10 19] ; [22 17],[13.64705882 15.35294118] ; [18.35294118 20.64705882],0
a1,1,0.088231,2.906365,[ 2 41] ; [ 9 50],[ 4.6372549 38.3627451] ; [ 6.3627451 52.6372549],0
p1,1,0.104145,2.640892,[ 5 38] ; [ 2 57],[ 2.95098039 40.04901961] ; [ 4.04901961 54.95098039],0
a3,1,0.118617,2.435485,[31 12] ; [50  9],[34.14705882  8.85294118] ; [46.85294118 12.14705882],0
r3,1,0.1189,2.431752,[37  6] ; [56  3],[39.20588235  3.79411765] ; [53.79411765  5.20588235],0
p3,1,0.119431,2.424769,[20 21] ; [38 21],[23.78 17.22] ; [34.22 24.78],0
n4,1,0.126673,2.332812,[36  7] ; [55  4],[38.3627451  4.6372549] ; [52.6372549  6.3627451],0
s4,1,0.130147,2.290748,[ 4 39] ; [12 47],[ 6.74509804 36.25490196] ; [ 9.25490196 49.74509804],0
