Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3.8e-05,16.985123,[ 1 27] ; [14 12],[ 7.77777778 20.22222222] ; [ 7.22222222 18.77777778],1
d5,1,0.000381,12.624562,[ 8 20] ; [20  6],[14.51851852 13.48148148] ; [13.48148148 12.51851852],1
d3,1,0.001002,10.82389,[ 5 23] ; [16 10],[10.88888889 17.11111111] ; [10.11111111 15.88888889],0
n5,1,0.017173,5.678556,[25  3] ; [16 10],[21.25925926  6.74074074] ; [19.74074074  6.25925926],0
s8,1,0.05132,3.797802,[ 2 26] ; [ 7 19],[ 4.66666667 23.33333333] ; [ 4.33333333 21.66666667],0
a4,1,0.053488,3.728593,[ 7 20] ; [13 12],[10.38461538 16.61538462] ; [ 9.61538462 15.38461538],0
u3,1,0.054319,3.702857,[ 3 11] ; [6 4],[5.25 8.75] ; [3.75 6.25],0
p1,1,0.101641,2.679602,[ 5 23] ; [ 1 25],[ 3.11111111 24.88888889] ; [ 2.88888889 23.11111111],0
n4,1,0.106539,2.604824,[20  8] ; [13 13],[17.11111111 10.88888889] ; [15.88888889 10.11111111],0
a7,1,0.10706,2.59709,[ 9 19] ; [14 12],[11.92592593 16.07407407] ; [11.07407407 14.92592593],0
u2,1,0.123639,2.370612,[ 4 10] ; [6 4],[5.83333333 8.16666667] ; [4.16666667 5.83333333],0
p4,1,0.123987,2.366225,[ 4 24] ; [ 8 17],[ 6.33962264 21.66037736] ; [ 5.66037736 19.33962264],0
n1,1,0.130995,2.28067,[11  8] ; [4 9],[ 8.90625 10.09375] ; [6.09375 6.90625],0
b1,1,0.150703,2.065122,[14 14] ; [18  8],[16.59259259 11.40740741] ; [15.40740741 10.59259259],0
s3,1,0.179759,1.799617,[ 5 21] ; [ 9 16],[ 7.1372549 18.8627451] ; [ 6.8627451 18.1372549],0
b5,1,0.180311,1.795055,[10 18] ; [14 12],[12.44444444 15.55555556] ; [11.55555556 14.44444444],0
a2,1,0.186387,1.74595,[ 2 26] ; [ 5 21],[ 3.62962963 24.37037037] ; [ 3.37037037 22.62962963],0
s5,1,0.19846,1.653669,[ 3 25] ; [ 6 19],[ 4.75471698 23.24528302] ; [ 4.24528302 20.75471698],0
v4,1,0.23823,1.391038,[15 13] ; [18  8],[17.11111111 10.88888889] ; [15.88888889 10.11111111],0
v2,1,0.246111,1.345247,[ 3 24] ; [ 6 20],[ 4.58490566 22.41509434] ; [ 4.41509434 21.58490566],0
b4,1,0.253303,1.304995,[14 14] ; [17  9],[16.07407407 11.92592593] ; [14.92592593 11.07407407],0
r2,1,0.267663,1.228684,[20  8] ; [13 10],[18.11764706  9.88235294] ; [14.88235294  8.11764706],0
a5,1,0.275973,1.186813,[12 16] ; [15 11],[14. 14.] ; [13. 13.],0
n6,1,0.283639,1.149572,[11 17] ; [14 12],[12.96296296 15.03703704] ; [12.03703704 13.96296296],0
a6,1,0.283639,1.149572,[11 17] ; [14 12],[12.96296296 15.03703704] ; [12.03703704 13.96296296],0
r1,1,0.290906,1.115426,[ 8 20] ; [11 15],[ 9.85185185 18.14814815] ; [ 9.14814815 16.85185185],0
s7,1,0.374813,0.787645,[ 6 21] ; [ 8 16],[ 7.41176471 19.58823529] ; [ 6.58823529 17.41176471],0
v3,1,0.380707,0.768418,[ 7 21] ; [ 4 22],[ 5.7037037 22.2962963] ; [ 5.2962963 20.7037037],0
s1,1,0.441105,0.593407,[ 4 24] ; [ 2 24],[ 3.11111111 24.88888889] ; [ 2.88888889 23.11111111],0
p10,1,0.500432,0.454021,[ 9 18] ; [11 15],[10.18867925 16.81132075] ; [ 9.81132075 16.18867925],0
