Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.02767,4.848485,[6 2] ; [3 9],[3.6 4.4] ; [5.4 6.6],0
b1,1,0.031444,4.628571,[13  2] ; [11 10],[10.  5.] ; [14.  7.],0
s4,1,0.033021,4.544695,[ 5 10] ; [ 1 18],[ 2.64705882 12.35294118] ; [ 3.35294118 15.64705882],0
p11,1,0.059333,3.555918,[6 9] ; [15  6],[8.75 6.25] ; [12.25  8.75],0
p4,1,0.122865,2.380408,[11  4] ; [10 11],[8.75 6.25] ; [12.25  8.75],0
a2,1,0.151494,2.057143,[ 3 12] ; [ 1 20],[ 1.66666667 13.33333333] ; [ 2.33333333 18.66666667],0
a4,1,0.194924,1.68,[6 9] ; [ 4 16],[ 4.28571429 10.71428571] ; [ 5.71428571 14.28571429],0
b5,1,0.203605,1.616327,[11  4] ; [11 10],[9.16666667 5.83333333] ; [12.83333333  8.16666667],0
u2,1,0.263552,1.25,[6 2] ; [6 6],[4.8 3.2] ; [7.2 4.8],0
d1,1,0.265114,1.241854,[7 8] ; [ 6 15],[5.41666667 9.58333333] ; [ 7.58333333 13.41666667],0
s2,1,0.364346,0.822857,[8 7] ; [ 8 13],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
v2,1,0.364346,0.822857,[8 7] ; [ 8 13],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
u1,1,0.370213,0.802949,[ 3 12] ; [ 2 19],[ 2.08333333 12.91666667] ; [ 2.91666667 18.08333333],0
n3,1,0.371093,0.8,[2 1] ; [8 1],[2.5 0.5] ; [7.5 1.5],0
d5,1,0.391366,0.734694,[10  5] ; [11 10],[8.75 6.25] ; [12.25  8.75],0
p8,1,0.391366,0.734694,[10  5] ; [11 10],[8.75 6.25] ; [12.25  8.75],0
d4,1,0.473289,0.514286,[11  4] ; [13  8],[10.  5.] ; [14.  7.],0
a6,1,0.534772,0.385316,[8 7] ; [ 9 12],[7.08333333 7.91666667] ; [ 9.91666667 11.08333333],0
n5,1,0.534772,0.385316,[7 8] ; [12  9],[7.91666667 7.08333333] ; [11.08333333  9.91666667],0
s6,1,0.556732,0.345395,[9 6] ; [10 10],[8.14285714 6.85714286] ; [10.85714286  9.14285714],0
a5,1,0.607052,0.26449,[7 8] ; [ 8 13],[6.25 8.75] ; [ 8.75 12.25],0
n1,1,0.621014,0.244444,[2 1] ; [4 4],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
s3,1,0.650147,0.205714,[9 6] ; [11 10],[8.33333333 6.66666667] ; [11.66666667  9.33333333],0
p7,1,0.650147,0.205714,[13  2] ; [17  4],[12.5  2.5] ; [17.5  3.5],0
n6,1,0.668576,0.183273,[11  4] ; [14  7],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
s7,1,0.726713,0.122152,[6 7] ; [ 8 12],[5.51515152 7.48484848] ; [ 8.48484848 11.51515152],0
p10,1,0.727383,0.121528,[ 3 12] ; [ 5 15],[ 3.42857143 11.57142857] ; [ 4.57142857 15.42857143],0
b2,1,0.729165,0.11988,[5 6] ; [5 8],[4.58333333 6.41666667] ; [5.41666667 7.58333333],0
b3,1,0.729165,0.11988,[5 6] ; [5 8],[4.58333333 6.41666667] ; [5.41666667 7.58333333],0
b4,1,0.735317,0.114286,[7 8] ; [11 10],[7.5 7.5] ; [10.5 10.5],0
v4,1,0.759766,0.093506,[14  1] ; [19  2],[13.75  1.25] ; [19.25  1.75],0
r3,1,0.759766,0.093506,[14  1] ; [19  2],[13.75  1.25] ; [19.25  1.75],0
n4,1,0.769324,0.086001,[10  5] ; [13  8],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
d3,1,0.769324,0.086001,[10  5] ; [13  8],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
a7,1,0.769324,0.086001,[10  5] ; [13  8],[9.58333333 5.41666667] ; [13.41666667  7.58333333],0
p2,1,0.786351,0.073469,[12  3] ; [16  5],[11.66666667  3.33333333] ; [16.33333333  4.66666667],0
p5,1,0.805701,0.060504,[ 1 14] ; [ 1 20],[ 0.83333333 14.16666667] ; [ 1.16666667 19.83333333],0
a3,1,0.820596,0.051429,[7 8] ; [ 9 12],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
s8,1,0.833497,0.044192,[ 5 10] ; [ 6 14],[ 4.71428571 10.28571429] ; [ 6.28571429 13.71428571],0
s1,1,0.862889,0.029825,[ 1 14] ; [ 1 18],[ 0.88235294 14.11764706] ; [ 1.11764706 17.88235294],0
d2,1,0.863887,0.029388,[6 9] ; [ 9 12],[6.25 8.75] ; [ 8.75 12.25],0
v1,1,0.907988,0.013358,[6 9] ; [ 8 13],[5.83333333 9.16666667] ; [ 8.16666667 12.83333333],0
r2,1,0.935075,0.006636,[13  2] ; [18  3],[12.91666667  2.08333333] ; [18.08333333  2.91666667],0
p1,1,0.935075,0.006636,[ 2 13] ; [ 3 18],[ 2.08333333 12.91666667] ; [ 2.91666667 18.08333333],0
v3,1,0.943253,0.005067,[ 3 12] ; [ 4 17],[ 2.91666667 12.08333333] ; [ 4.08333333 16.91666667],0
r4,1,0.943253,0.005067,[12  3] ; [17  4],[12.08333333  2.91666667] ; [16.91666667  4.08333333],0
s5,1,0.979171,0.000682,[ 3 11] ; [ 4 15],[ 2.96969697 11.03030303] ; [ 4.03030303 14.96969697],0
r1,1,1.0,0.0,[10  5] ; [14  7],[10.  5.] ; [14.  7.],0
