Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,3e-06,21.983452,[ 10 122] ; [4 2],[ 13.39130435 118.60869565] ; [0.60869565 5.39130435],1
a4,1,0.00069,11.515214,[ 29 102] ; [5 1],[32.51094891 98.48905109] ; [1.48905109 4.51094891],1
a1,1,0.039839,4.224729,[  3 129] ; [1 5],[  3.82608696 128.17391304] ; [0.17391304 5.82608696],0
p6,1,0.056863,3.626584,[39 92] ; [4 2],[41.11678832 89.88321168] ; [1.88321168 4.11678832],0
a8,1,0.073835,3.195645,[ 12 109] ; [2 4],[ 13.33858268 107.66141732] ; [0.66141732 5.33858268],0
u1,1,0.08043,3.056186,[  4 128] ; [1 5],[  4.7826087 127.2173913] ; [0.2173913 5.7826087],0
s7,1,0.081904,3.026715,[51 74] ; [4 1],[52.88461538 72.11538462] ; [2.11538462 2.88461538],0
s8,1,0.13411,2.244267,[48 84] ; [4 2],[49.73913043 82.26086957] ; [2.26086957 3.73913043],0
s2,1,0.154785,2.024451,[49 81] ; [4 2],[50.66176471 79.33823529] ; [2.33823529 3.66176471],0
b5,1,0.210126,1.570559,[76 56] ; [5 1],[77.47826087 54.52173913] ; [3.52173913 2.47826087],0
p7,1,0.212138,1.556777,[75 55] ; [5 1],[76.47058824 53.52941176] ; [3.52941176 2.47058824],0
a6,1,0.277429,1.179643,[81 51] ; [5 1],[82.26086957 49.73913043] ; [3.73913043 2.26086957],0
p3,1,0.308196,1.038391,[60 72] ; [4 2],[61.2173913 70.7826087] ; [2.7826087 3.2173913],0
a7,1,0.318192,0.996365,[83 48] ; [5 1],[84.1459854 46.8540146] ; [3.8540146 2.1459854],0
r1,1,0.328782,0.953691,[83 47] ; [5 1],[84.11764706 45.88235294] ; [3.88235294 2.11764706],0
b4,1,0.383625,0.759053,[68 64] ; [2 4],[66.95652174 65.04347826] ; [3.04347826 2.95652174],0
s5,1,0.395339,0.722457,[30 98] ; [2 3],[30.79699248 97.20300752] ; [1.20300752 3.79699248],0
v4,1,0.430545,0.621352,[120  10] ; [5 1],[119.48529412  10.51470588] ; [5.51470588 0.48529412],0
p4,1,0.445719,0.581516,[67 65] ; [4 2],[67.91304348 64.08695652] ; [3.08695652 2.91304348],0
p8,1,0.468267,0.526062,[67 63] ; [4 2],[67.86764706 62.13235294] ; [3.13235294 2.86764706],0
b2,1,0.531097,0.392293,[20 54] ; [2 3],[20.60759494 53.39240506] ; [1.39240506 3.60759494],0
b3,1,0.531097,0.392293,[20 54] ; [2 3],[20.60759494 53.39240506] ; [1.39240506 3.60759494],0
p5,1,0.59388,0.284326,[ 13 118] ; [1 5],[ 13.38686131 117.61313869] ; [0.61313869 5.38686131],0
n1,1,0.698353,0.150191,[12 21] ; [1 1],[12.25714286 20.74285714] ; [0.74285714 1.25714286],0
p10,1,0.75227,0.099634,[114  16] ; [5 1],[113.75  16.25] ; [5.25 0.75],0
b1,1,0.766088,0.088504,[52 80] ; [2 4],[51.65217391 80.34782609] ; [2.34782609 3.65217391],0
n5,1,0.782533,0.076187,[103  28] ; [5 1],[103.27007299  27.72992701] ; [4.72992701 1.27007299],0
p11,1,0.789253,0.071439,[104  28] ; [5 1],[104.26086957  27.73913043] ; [4.73913043 1.26086957],0
v2,1,0.877109,0.023912,[58 66] ; [3 3],[58.18461538 65.81538462] ; [2.81538462 3.18461538],0
p1,1,0.883353,0.021527,[ 19 112] ; [1 5],[ 19.12408759 111.87591241] ; [0.87591241 5.12408759],0
s4,1,0.918306,0.01052,[ 24 107] ; [1 5],[ 23.90510949 107.09489051] ; [1.09489051 4.90510949],0
s6,1,0.927434,0.008294,[80 49] ; [3 2],[79.90298507 49.09701493] ; [3.09701493 1.90298507],0
s3,1,0.940337,0.005602,[62 66] ; [3 3],[62.08955224 65.91044776] ; [2.91044776 3.08955224],0
v1,1,0.940337,0.005602,[62 66] ; [3 3],[62.08955224 65.91044776] ; [2.91044776 3.08955224],0
v3,1,0.968412,0.001568,[42 87] ; [2 4],[42.04444444 86.95555556] ; [1.95555556 4.04444444],0
