Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,48.106113,[ 18 104] ; [126 114],[48.53038674 73.46961326] ; [ 95.46961326 144.53038674],1
d1,1,0.0,42.310976,[36 86] ; [158  83],[65.20110193 56.79889807] ; [128.79889807 112.20110193],1
d2,1,0.0,38.701733,[28 93] ; [138 101],[55.79444444 65.20555556] ; [110.20555556 128.79444444],1
a3,1,0.0,34.574064,[56 66] ; [185  56],[80.99724518 41.00275482] ; [160.00275482  80.99724518],1
a6,1,0.0,29.179233,[55 67] ; [178  63],[78.30853994 43.69146006] ; [154.69146006  86.30853994],1
d4,1,0.0,28.375706,[74 47] ; [207  34],[93.92541436 27.07458564] ; [187.07458564  53.92541436],1
n4,1,1e-06,24.264472,[71 50] ; [199  42],[90.24861878 30.75138122] ; [179.75138122  61.24861878],1
d5,1,1e-06,23.873084,[74 47] ; [203  38],[92.58839779 28.41160221] ; [184.41160221  56.58839779],1
p10,1,2e-06,22.369735,[72 47] ; [199  40],[90.08100559 28.91899441] ; [180.91899441  58.08100559],1
p9,1,4e-06,21.137105,[76 42] ; [203  34],[92.73802817 25.26197183] ; [186.26197183  50.73802817],1
u1,1,7e-06,20.149186,[  4 118] ; [ 51 190],[ 18.48484848 103.51515152] ; [ 36.51515152 204.48484848],1
r1,1,5.8e-05,16.163816,[73 49] ; [192  49],[89.06336088 32.93663912] ; [175.93663912  65.06336088],1
d3,1,0.000499,12.119335,[64 57] ; [172  69],[78.8839779 42.1160221] ; [157.1160221  83.8839779],1
r2,1,0.00135,10.273466,[102  19] ; [224  13],[110.18435754  10.81564246] ; [215.81564246  21.18435754],0
s7,1,0.001991,9.557421,[40 80] ; [116 113],[53.63896848 66.36103152] ; [102.36103152 126.63896848],0
r4,1,0.003841,8.357644,[95 27] ; [215  26],[104.18732782  17.81267218] ; [205.81267218  35.18732782],0
n5,1,0.006053,7.534353,[76 45] ; [183  56],[87.05277778 33.94722222] ; [171.94722222  67.05277778],0
s6,1,0.008977,6.827324,[62 58] ; [155  80],[73.35211268 46.64788732] ; [143.64788732  91.35211268],0
p3,1,0.009118,6.799523,[39 83] ; [111 129],[50.55248619 71.44751381] ; [ 99.44751381 140.55248619],0
v2,1,0.009317,6.761075,[36 80] ; [107 128],[47.25925926 68.74074074] ; [ 95.74074074 139.25925926],0
b2,1,0.014248,6.007168,[13 49] ; [54 86],[20.56435644 41.43564356] ; [46.43564356 93.56435644],0
b3,1,0.014248,6.007168,[13 49] ; [54 86],[20.56435644 41.43564356] ; [46.43564356 93.56435644],0
s8,1,0.017458,5.649757,[34 88] ; [ 97 142],[44.27146814 77.72853186] ; [ 86.72853186 152.27146814],0
p4,1,0.033492,4.520434,[51 69] ; [130 109],[60.50139276 59.49860724] ; [120.49860724 118.50139276],0
