Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3e-06,22.111116,[30  8] ; [13 34],[19.22352941 18.77647059] ; [23.77647059 23.22352941],1
s2,1,0.006986,7.276532,[27 13] ; [19 30],[20.6741573 19.3258427] ; [25.3258427 23.6741573],0
b2,1,0.02439,5.066667,[13 14] ; [ 6 24],[ 9. 18.] ; [10. 20.],0
b3,1,0.02439,5.066667,[13 14] ; [ 6 24],[ 9. 18.] ; [10. 20.],0
s6,1,0.076916,3.128889,[29 11] ; [26 22],[25. 15.] ; [30. 18.],0
p9,1,0.084313,2.97973,[36  4] ; [38 12],[32.88888889  7.11111111] ; [41.11111111  8.88888889],0
n5,1,0.096092,2.769231,[32  8] ; [32 18],[28.44444444 11.55555556] ; [35.55555556 14.44444444],0
s3,1,0.103668,2.648185,[28 12] ; [26 23],[24.26966292 15.73033708] ; [29.73033708 19.26966292],0
a8,1,0.10935,2.56359,[ 7 31] ; [ 3 41],[ 4.63414634 33.36585366] ; [ 5.36585366 38.63414634],0
v4,1,0.168391,1.897209,[37  2] ; [43  7],[35.05617978  3.94382022] ; [44.94382022  5.05617978],0
p11,1,0.170333,1.880013,[33  7] ; [35 15],[30.22222222  9.77777778] ; [37.77777778 12.22222222],0
a2,1,0.171545,1.86939,[ 7 33] ; [ 4 46],[ 4.88888889 35.11111111] ; [ 6.11111111 43.88888889],0
p10,1,0.186657,1.74381,[34  6] ; [36 13],[31.46067416  8.53932584] ; [38.53932584 10.46067416],0
n3,1,0.200441,1.639156,[5 3] ; [8 1],[6.11764706 1.88235294] ; [6.88235294 2.11764706],0
v1,1,0.219874,1.505195,[22 18] ; [21 29],[19.11111111 20.88888889] ; [23.88888889 26.11111111],0
b1,1,0.23568,1.40625,[15 25] ; [25 25],[17.77777778 22.22222222] ; [22.22222222 27.77777778],0
u3,1,0.242403,1.366562,[ 6 10] ; [13 10],[7.79487179 8.20512821] ; [11.20512821 11.79487179],0
p7,1,0.279798,1.168073,[32  8] ; [35 15],[29.77777778 10.22222222] ; [37.22222222 12.77777778],0
d1,1,0.281611,1.159299,[ 5 35] ; [ 3 47],[ 3.55555556 36.44444444] ; [ 4.44444444 45.55555556],0
p5,1,0.28189,1.157954,[10 29] ; [ 8 41],[ 7.97727273 31.02272727] ; [10.02272727 38.97727273],0
p12,1,0.298311,1.081731,[ 7 33] ; [ 5 45],[ 5.33333333 34.66666667] ; [ 6.66666667 43.33333333],0
d4,1,0.299575,1.076087,[22 18] ; [22 28],[19.55555556 20.44444444] ; [24.44444444 25.55555556],0
p8,1,0.320356,0.987493,[29 11] ; [30 18],[26.81818182 13.18181818] ; [32.18181818 15.81818182],0
r3,1,0.32956,0.950625,[37  3] ; [43  7],[35.55555556  4.44444444] ; [44.44444444  5.55555556],0
n6,1,0.342782,0.9,[35  5] ; [40 10],[33.33333333  6.66666667] ; [41.66666667  8.33333333],0
p2,1,0.342782,0.9,[35  5] ; [40 10],[33.33333333  6.66666667] ; [41.66666667  8.33333333],0
a4,1,0.390986,0.735874,[ 9 31] ; [15 34],[10.78651685 29.21348315] ; [13.21348315 35.78651685],0
a3,1,0.447884,0.576,[24 16] ; [26 24],[22.22222222 17.77777778] ; [27.77777778 22.22222222],0
p6,1,0.47555,0.50905,[19 21] ; [20 30],[17.33333333 22.66666667] ; [21.66666667 28.33333333],0
n2,1,0.485845,0.485714,[4 4] ; [6 3],[4.70588235 3.29411765] ; [5.29411765 3.70588235],0
s5,1,0.499367,0.456282,[12 26] ; [12 36],[10.60465116 27.39534884] ; [13.39534884 34.60465116],0
u2,1,0.522387,0.409178,[10  6] ; [12 11],[9.02564103 6.97435897] ; [12.97435897 10.02564103],0
s1,1,0.55383,0.3505,[ 2 38] ; [ 4 45],[ 2.69662921 37.30337079] ; [ 3.30337079 45.69662921],0
b5,1,0.588067,0.293373,[27 13] ; [31 19],[25.77777778 14.22222222] ; [32.22222222 17.77777778],0
n4,1,0.614007,0.254381,[26 14] ; [35 15],[27.11111111 12.88888889] ; [33.88888889 16.11111111],0
v3,1,0.61422,0.254075,[11 27] ; [17 33],[12.09090909 25.90909091] ; [15.90909091 34.09090909],0
p1,1,0.621873,0.243243,[ 8 32] ; [ 8 42],[ 7.11111111 32.88888889] ; [ 8.88888889 41.11111111],0
b4,1,0.665006,0.1875,[23 17] ; [31 19],[24. 16.] ; [30. 20.],0
a5,1,0.665006,0.1875,[23 17] ; [31 19],[24. 16.] ; [30. 20.],0
r4,1,0.704336,0.144,[34  6] ; [41  9],[33.33333333  6.66666667] ; [41.66666667  8.33333333],0
a7,1,0.730335,0.118804,[25 15] ; [33 17],[25.77777778 14.22222222] ; [32.22222222 17.77777778],0
n1,1,0.771519,0.084325,[3 5] ; [4 5],[3.29411765 4.70588235] ; [3.70588235 5.29411765],0
d2,1,0.835219,0.043269,[12 28] ; [14 36],[11.55555556 28.44444444] ; [14.44444444 35.55555556],0
a6,1,0.846648,0.037403,[24 16] ; [31 19],[24.44444444 15.55555556] ; [30.55555556 19.44444444],0
r2,1,0.871583,0.02613,[34  5] ; [43  7],[33.74157303  5.25842697] ; [43.25842697  6.74157303],0
r1,1,0.880765,0.0225,[27 13] ; [33 17],[26.66666667 13.33333333] ; [33.33333333 16.66666667],0
s4,1,0.893326,0.017982,[ 6 34] ; [ 7 43],[ 5.77777778 34.22222222] ; [ 7.22222222 42.77777778],0
v2,1,0.943909,0.00495,[16 21] ; [22 28],[16.16091954 20.83908046] ; [21.83908046 28.16091954],0
d3,1,0.962364,0.002227,[19 21] ; [24 26],[19.11111111 20.88888889] ; [23.88888889 26.11111111],0
p3,1,1.0,0.0,[24 16] ; [30 20],[24. 16.] ; [30. 20.],0
