Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.000165,14.190353,[15 18] ; [70 17],[23.375  9.625] ; [61.625 25.375],1
s6,1,0.016215,5.779424,[ 9 24] ; [45 42],[14.85 18.15] ; [39.15 47.85],0
d2,1,0.037271,4.337979,[11 22] ; [47 39],[16.08403361 16.91596639] ; [41.91596639 44.08403361],0
d1,1,0.040391,4.201389,[10 23] ; [45 43],[15. 18.] ; [40. 48.],0
p10,1,0.073599,3.200864,[ 5 28] ; [27 59],[ 8.87394958 24.12605042] ; [23.12605042 62.87394958],0
s5,1,0.101908,2.675426,[ 3 30] ; [19 67],[ 6.10084034 26.89915966] ; [15.89915966 70.10084034],0
r2,1,0.151466,2.057423,[26  6] ; [79  8],[28.23529412  3.76470588] ; [76.76470588 10.23529412],0
s8,1,0.155385,2.018576,[ 5 28] ; [24 63],[ 7.975 25.025] ; [21.025 65.975],0
r3,1,0.183886,1.765935,[29  4] ; [67 20],[26.4  6.6] ; [69.6 17.4],0
p3,1,0.193234,1.69279,[14 19] ; [26 61],[11. 22.] ; [29. 58.],0
d4,1,0.195739,1.673882,[26  7] ; [58 29],[23.1  9.9] ; [60.9 26.1],0
a1,1,0.20037,1.639677,[ 1 32] ; [ 9 79],[ 2.72727273 30.27272727] ; [ 7.27272727 80.72727273],0
b1,1,0.274448,1.194378,[22 11] ; [49 39],[19.36363636 13.63636364] ; [51.63636364 36.36363636],0
v2,1,0.315637,1.006942,[16 17] ; [33 53],[13.58823529 19.41176471] ; [35.41176471 50.58823529],0
p2,1,0.325671,0.966034,[22 11] ; [50 38],[19.63636364 13.36363636] ; [52.36363636 35.63636364],0
a6,1,0.360841,0.834963,[18 15] ; [56 32],[20.18181818 12.81818182] ; [53.81818182 34.18181818],0
n3,1,0.384206,0.7572,[5 2] ; [16 14],[3.97297297 3.02702703] ; [17.02702703 12.97297297],0
p1,1,0.408961,0.681818,[ 2 30] ; [10 78],[ 3.2 28.8] ; [ 8.8 79.2],0
p7,1,0.410453,0.677489,[12 21] ; [38 47],[13.98305085 19.01694915] ; [36.01694915 48.98305085],0
p6,1,0.416937,0.658933,[ 8 25] ; [15 70],[ 6.43220339 26.56779661] ; [16.56779661 68.43220339],0
a7,1,0.420199,0.649758,[19 14] ; [57 30],[20.9 12.1] ; [55.1 31.9],0
p8,1,0.486586,0.484067,[ 8 25] ; [27 61],[ 9.54545455 23.45454545] ; [25.45454545 62.54545455],0
a2,1,0.507893,0.438406,[ 5 28] ; [18 70],[ 6.27272727 26.72727273] ; [16.72727273 71.27272727],0
p4,1,0.532275,0.390046,[11 22] ; [34 52],[12.4789916 20.5210084] ; [32.5210084 53.4789916],0
n1,1,0.588198,0.293167,[3 5] ; [14 15],[3.67567568 4.32432432] ; [13.32432432 15.67567568],0
a5,1,0.590902,0.288938,[22 11] ; [54 34],[20.72727273 12.27272727] ; [55.27272727 32.72727273],0
u1,1,0.602037,0.271935,[ 4 29] ; [14 74],[ 4.90909091 28.09090909] ; [13.09090909 74.90909091],0
a3,1,0.604207,0.268697,[18 15] ; [52 35],[19.25 13.75] ; [50.75 36.25],0
s4,1,0.620094,0.245735,[ 5 28] ; [10 75],[ 4.19491525 28.80508475] ; [10.80508475 74.19491525],0
r1,1,0.663777,0.188968,[26  7] ; [66 22],[25.09090909  7.90909091] ; [66.90909091 21.09090909],0
v3,1,0.722075,0.126513,[12 18] ; [32 56],[11.18644068 18.81355932] ; [32.81355932 55.18644068],0
r4,1,0.736423,0.113296,[25  8] ; [64 24],[24.27272727  8.72727273] ; [64.72727273 23.27272727],0
d5,1,0.741191,0.109083,[23 10] ; [64 24],[23.72727273  9.27272727] ; [63.27272727 24.72727273],0
u3,1,0.74253,0.107915,[7 8] ; [15 21],[6.47058824 8.52941176] ; [15.52941176 20.47058824],0
b3,1,0.744104,0.106552,[ 7 12] ; [20 41],[ 6.4125 12.5875] ; [20.5875 40.4125],0
b2,1,0.744104,0.106552,[ 7 12] ; [20 41],[ 6.4125 12.5875] ; [20.5875 40.4125],0
b5,1,0.765217,0.089184,[19 14] ; [48 40],[18.27272727 14.72727273] ; [48.72727273 39.27272727],0
p11,1,0.823493,0.049753,[18 15] ; [46 42],[17.45454545 15.54545455] ; [46.54545455 41.45454545],0
s1,1,0.858202,0.03192,[ 2 31] ; [ 6 80],[ 2.21848739 30.78151261] ; [ 5.78151261 80.21848739],0
s2,1,0.873414,0.025384,[11 22] ; [30 56],[11.3697479 21.6302521] ; [29.6302521 56.3697479],0
n2,1,0.915595,0.011233,[5 3] ; [20 11],[5.12820513 2.87179487] ; [19.87179487 11.12820513],0
a4,1,0.918378,0.010501,[13 20] ; [33 53],[12.75630252 20.24369748] ; [33.24369748 52.75630252],0
s3,1,0.930578,0.00759,[15 17] ; [40 47],[14.78991597 17.21008403] ; [40.21008403 46.78991597],0
b4,1,0.939302,0.005798,[20 13] ; [54 34],[20.18181818 12.81818182] ; [53.81818182 34.18181818],0
v1,1,0.939302,0.005798,[13 20] ; [34 54],[12.81818182 20.18181818] ; [34.18181818 53.81818182],0
v4,1,0.943292,0.00506,[26  6] ; [72 16],[26.13333333  5.86666667] ; [71.86666667 16.13333333],0
d3,1,0.969742,0.001439,[20 13] ; [53 35],[19.90909091 13.09090909] ; [53.09090909 34.90909091],0
u2,1,0.979775,0.000643,[7 8] ; [16 18],[7.04081633 7.95918367] ; [15.95918367 18.04081633],0
s7,1,1.0,0.0,[ 9 18] ; [28 56],[ 9. 18.] ; [28. 56.],0
