Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,62.481532,[182  83] ; [ 48 115],[142.40654206 122.59345794] ; [87.59345794 75.40654206],1
p8,1,0.0,43.063893,[178  86] ; [ 56 105],[145.35529412 118.64470588] ; [88.64470588 72.35529412],1
p6,1,0.0,31.199549,[127 135] ; [ 34 126],[ 99.95734597 162.04265403] ; [61.04265403 98.95734597],1
p5,1,3e-06,21.900013,[ 46 219] ; [  4 160],[ 30.88578089 234.11421911] ; [ 19.11421911 144.88578089],1
p2,1,1.5e-05,18.765697,[241  24] ; [124  40],[225.46620047  39.53379953] ; [139.53379953  24.46620047],1
n5,1,3.4e-05,17.187465,[218  45] ; [105  56],[200.35141509  62.64858491] ; [122.64858491  38.35141509],1
p7,1,8e-05,15.553331,[193  69] ; [88 72],[174.45971564  87.54028436] ; [106.54028436  53.45971564],1
p10,1,0.000374,12.658869,[230  34] ; [119  43],[216.28169014  47.71830986] ; [132.71830986  29.28169014],1
s6,1,0.000822,11.190145,[185  75] ; [90 73],[169.03073286  90.96926714] ; [105.96926714  57.03073286],1
p9,1,0.001668,9.882753,[234  29] ; [125  36],[222.68160377  40.31839623] ; [136.31839623  24.68160377],0
p12,1,0.002614,9.059311,[ 35 230] ; [  7 156],[ 26.0046729 238.9953271] ; [ 15.9953271 147.0046729],0
v1,1,0.002767,8.955315,[186  75] ; [90 68],[171.92362768  89.07637232] ; [104.07637232  53.92362768],0
r4,1,0.004339,8.136313,[246  19] ; [138  26],[237.2027972  27.7972028] ; [146.7972028  17.2027972],0
d3,1,0.004546,8.05188,[199  66] ; [102  62],[185.93240093  79.06759907] ; [115.06759907  48.93240093],0
a5,1,0.005776,7.618776,[219  46] ; [117  47],[207.55244755  57.44755245] ; [128.44755245  35.55244755],0
s7,1,0.005917,7.575465,[142 107] ; [68 90],[128.47665848 120.52334152] ; [81.52334152 76.47665848],0
n4,1,0.010905,6.480716,[222  43] ; [120  43],[211.75233645  53.24766355] ; [130.24766355  32.75233645],0
u1,1,0.018183,5.578443,[ 60 205] ; [ 22 142],[ 50.65268065 214.34731935] ; [ 31.34731935 132.65268065],0
d2,1,0.018355,5.561959,[146 118] ; [71 92],[134.16393443 129.83606557] ; [82.83606557 80.16393443],0
d5,1,0.021712,5.268737,[232  33] ; [130  34],[223.61305361  41.38694639] ; [138.38694639  25.61305361],0
s2,1,0.025985,4.957048,[140 122] ; [69 94],[128.84235294 133.15764706] ; [80.15764706 82.84235294],0
a2,1,0.033513,4.519365,[ 76 189] ; [ 32 132],[ 66.71328671 198.28671329] ; [ 41.28671329 122.71328671],0
s8,1,0.034214,4.483967,[133 129] ; [66 98],[122.38967136 139.61032864] ; [76.61032864 87.38967136],0
s5,1,0.035861,4.4037,[ 93 165] ; [ 41 116],[ 83.3060241 174.6939759] ; [ 50.6939759 106.3060241],0
d1,1,0.048016,3.909434,[177  88] ; [94 70],[167.4009324  97.5990676] ; [103.5990676  60.4009324],0
n6,1,0.065123,3.401855,[230  33] ; [131  31],[223.39529412  39.60470588] ; [137.60470588  24.39529412],0
p11,1,0.070666,3.267471,[225  40] ; [128  36],[218.05361305  46.94638695] ; [134.94638695  29.05361305],0
u3,1,0.074779,3.174867,[39 23] ; [20 24],[34.50943396 27.49056604] ; [24.49056604 19.50943396],0
a7,1,0.120647,2.408898,[204  60] ; [115  48],[197.22716628  66.77283372] ; [121.77283372  41.22716628],0
