Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,24.671743,[ 7 11] ; [97 13],[14.625  3.375] ; [89.375 20.625],1
r4,1,1e-06,24.343244,[ 4 14] ; [87 23],[12.796875  5.203125] ; [78.203125 31.796875],1
r1,1,0.000265,13.299821,[ 5 13] ; [79 31],[11.8125  6.1875] ; [72.1875 37.8125],1
d1,1,0.00063,11.68439,[ 2 16] ; [60 50],[8.71875 9.28125] ; [53.28125 56.71875],1
d3,1,0.001364,10.25372,[ 3 15] ; [62 46],[9.28571429 8.71428571] ; [55.71428571 52.28571429],0
r3,1,0.004107,8.235696,[9 9] ; [89 21],[13.78125  4.21875] ; [84.21875 25.78125],0
s8,1,0.009754,6.679336,[ 2 16] ; [47 62],[ 6.94488189 11.05511811] ; [42.05511811 66.94488189],0
a6,1,0.015144,5.899588,[ 7 11] ; [74 34],[11.57142857  6.42857143] ; [69.42857143 38.57142857],0
n4,1,0.018206,5.576172,[11  7] ; [93 17],[14.625  3.375] ; [89.375 20.625],0
d5,1,0.019192,5.483967,[ 7 11] ; [73 35],[11.42857143  6.57142857] ; [68.57142857 39.42857143],0
s7,1,0.020296,5.386254,[ 2 14] ; [45 60],[6.21487603 9.78512397] ; [40.78512397 64.21487603],0
a8,1,0.02286,5.179081,[ 5 12] ; [10 93],[ 2.125 14.875] ; [12.875 90.125],0
a7,1,0.025611,4.982088,[ 7 11] ; [73 37],[11.25  6.75] ; [68.75 41.25],0
s2,1,0.0282,4.815812,[ 3 15] ; [48 61],[ 7.22834646 10.77165354] ; [43.77165354 65.22834646],0
v1,1,0.034297,4.479814,[ 3 15] ; [46 61],[ 7.056 10.944] ; [41.944 65.056],0
d4,1,0.03835,4.289437,[ 8 10] ; [75 33],[11.85714286  6.14285714] ; [71.14285714 36.85714286],0
s5,1,0.045819,3.988236,[ 1 17] ; [29 77],[ 4.35483871 13.64516129] ; [25.64516129 80.35483871],0
v3,1,0.059716,3.54525,[ 3 15] ; [41 62],[ 6.54545455 11.45454545] ; [37.45454545 65.54545455],0
n6,1,0.066193,3.375,[11  7] ; [87 21],[14.  4.] ; [84. 24.],0
s6,1,0.069504,3.294688,[ 6 12] ; [62 48],[9.5625 8.4375] ; [58.4375 51.5625],0
a2,1,0.070812,3.264092,[ 1 17] ; [27 83],[ 3.9375 14.0625] ; [24.0625 85.9375],0
a5,1,0.07799,3.106293,[9 9] ; [78 32],[12.234375  5.765625] ; [74.765625 35.234375],0
p9,1,0.084063,2.984543,[7 9] ; [72 37],[10.112  5.888] ; [68.888 40.112],0
a4,1,0.093289,2.816684,[ 5 13] ; [53 55],[8.28571429 9.71428571] ; [49.71428571 58.28571429],0
p10,1,0.097518,2.745673,[ 7 10] ; [68 41],[10.11904762  6.88095238] ; [64.88095238 44.11904762],0
d2,1,0.108757,2.572185,[ 6 12] ; [57 49],[9.14516129 8.85483871] ; [53.85483871 52.14516129],0
a3,1,0.110988,2.540097,[8 9] ; [73 36],[10.92857143  6.07142857] ; [70.07142857 38.92857143],0
p6,1,0.120751,2.407554,[ 1 16] ; [24 85],[ 3.37301587 13.62698413] ; [21.62698413 87.37301587],0
u3,1,0.176981,1.822792,[3 7] ; [20 17],[4.89361702 5.10638298] ; [18.10638298 18.89361702],0
s3,1,0.202753,1.622434,[ 6 12] ; [53 54],[8.496 9.504] ; [50.504 56.496],0
u1,1,0.204366,1.610894,[ 1 17] ; [19 91],[ 2.8125 15.1875] ; [17.1875 92.8125],0
