Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.968286,[508  43] ; [97 29],[492.40029542  58.59970458] ; [112.59970458  13.40029542],1
p8,1,1e-06,24.895169,[302 241] ; [39 87],[276.77578475 266.22421525] ; [64.22421525 61.77578475],1
r3,1,2.7e-05,17.600956,[536  15] ; [112  14],[527.39734121  23.60265879] ; [120.60265879   5.39734121],1
n6,1,9.9e-05,15.162935,[477  73] ; [90 34],[462.68545994  87.31454006] ; [104.31454006  19.68545994],1
p2,1,0.000183,13.998533,[483  67] ; [95 32],[469.57163959  80.42836041] ; [108.42836041  18.57163959],1
n4,1,0.000324,12.929085,[434 119] ; [79 46],[418.42035398 134.57964602] ; [94.57964602 30.42035398],1
b1,1,0.001155,10.560311,[177 376] ; [60 67],[192.73676471 360.26323529] ; [44.26323529 82.73676471],0
n5,1,0.001334,10.295247,[426 122] ; [80 45],[412.01783061 135.98216939] ; [93.98216939 31.01783061],0
r4,1,0.003847,8.354675,[505  48] ; [105  22],[496.07352941  56.92647059] ; [113.92647059  13.07352941],0
s1,1,0.015766,5.828824,[ 10 535] ; [  7 118],[ 13.82835821 531.17164179] ; [  3.17164179 121.82835821],0
p7,1,0.016324,5.767593,[352 186] ; [68 58],[340.30120482 197.69879518] ; [79.69879518 46.30120482],0
p3,1,0.020214,5.393299,[276 276] ; [49 78],[264.21207658 287.78792342] ; [60.78792342 66.21207658],0
v4,1,0.020729,5.34946,[528  21] ; [116  11],[523.01183432  25.98816568] ; [120.98816568   6.01183432],0
p4,1,0.035792,4.407003,[327 223] ; [62 64],[316.49408284 233.50591716] ; [72.50591716 53.49408284],0
v1,1,0.035896,4.402056,[298 238] ; [57 69],[287.43202417 248.56797583] ; [67.56797583 58.43202417],0
s5,1,0.039382,4.24433,[160 377] ; [47 72],[169.44969512 367.55030488] ; [37.55030488 81.44969512],0
u2,1,0.042537,4.113694,[92 64] ; [15 22],[86.48704663 69.51295337] ; [20.51295337 16.48704663],0
p12,1,0.046462,3.964755,[ 39 511] ; [  3 124],[ 34.1211226 515.8788774] ; [  7.8788774 119.1211226],0
s2,1,0.055645,3.662639,[272 276] ; [75 52],[281.71259259 266.28740741] ; [65.28740741 61.71259259],0
b5,1,0.070252,3.277113,[340 213] ; [89 38],[348.87794118 204.12205882] ; [80.12205882 46.87794118],0
s7,1,0.102519,2.665907,[248 287] ; [65 54],[256.04740061 278.95259939] ; [56.95259939 62.04740061],0
r1,1,0.103317,2.653576,[438 112] ; [92 34],[431.21301775 118.78698225] ; [98.78698225 27.21301775],0
v2,1,0.108631,2.574031,[311 218] ; [62 60],[303.09831029 225.90168971] ; [69.90168971 52.09831029],0
d4,1,0.187734,1.735309,[457  95] ; [98 28],[451.85840708 100.14159292] ; [103.14159292  22.85840708],0
a5,1,0.267699,1.228502,[414 139] ; [89 38],[409.05735294 143.94264706] ; [93.94264706 33.05735294],0
v3,1,0.274371,1.194762,[203 330] ; [40 82],[197.7389313 335.2610687] ; [45.2610687 76.7389313],0
s4,1,0.300448,1.072205,[ 95 453] ; [ 27 100],[ 99.04592593 448.95407407] ; [ 22.95407407 104.04592593],0
d2,1,0.397563,0.715684,[253 299] ; [63 63],[257.27433628 294.72566372] ; [58.72566372 67.27433628],0
p1,1,0.418748,0.653826,[ 33 518] ; [ 10 116],[ 34.99704579 516.00295421] ; [  8.00295421 117.99704579],0
a6,1,0.419258,0.652395,[384 168] ; [83 43],[380.21238938 171.78761062] ; [86.78761062 39.21238938],0
b2,1,0.436296,0.606005,[126 210] ; [19 40],[123.34177215 212.65822785] ; [21.65822785 37.34177215],0
b3,1,0.436296,0.606005,[126 210] ; [19 40],[123.34177215 212.65822785] ; [21.65822785 37.34177215],0
a4,1,0.447917,0.575919,[251 301] ; [62 64],[254.83185841 297.16814159] ; [58.16814159 67.83185841],0
d1,1,0.451907,0.565865,[325 228] ; [70 57],[321.22794118 231.77205882] ; [73.77205882 53.22794118],0
a2,1,0.464897,0.534078,[131 422] ; [34 93],[134.18382353 418.81617647] ; [30.81617647 96.18382353],0
s8,1,0.479631,0.499701,[249 302] ; [53 74],[245.43067847 305.56932153] ; [56.56932153 70.43067847],0
a1,1,0.557153,0.344658,[ 20 533] ; [  6 121],[ 21.14411765 531.85588235] ; [  4.85588235 122.14411765],0
r2,1,0.572394,0.318694,[517  28] ; [117   8],[515.71641791  29.28358209] ; [118.28358209   6.71641791],0
