Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.1e-05,18.094211,[243 125] ; [64  6],[257.93607306 110.06392694] ; [49.06392694 20.93607306],1
s2,1,0.000145,14.439803,[177 196] ; [53 21],[191.92393736 181.07606264] ; [38.07606264 35.92393736],1
s3,1,0.001057,10.725236,[201 170] ; [56 19],[213.78251121 157.21748879] ; [43.21748879 31.78251121],0
s7,1,0.001086,10.674038,[176 180] ; [52 22],[188.7627907 167.2372093] ; [39.2372093 34.7627907],0
v2,1,0.001508,10.069248,[228 137] ; [31 42],[215.83333333 149.16666667] ; [43.16666667 29.83333333],0
s5,1,0.001605,9.95345,[128 239] ; [37 30],[139.52764977 227.47235023] ; [25.47235023 41.52764977],0
p6,1,0.011821,6.337468,[168 202] ; [46 29],[177.93258427 192.06741573] ; [36.06741573 38.93258427],0
a7,1,0.01989,5.421558,[283  91] ; [47 28],[274.87750557  99.12249443] ; [55.12249443 19.87750557],0
v3,1,0.037137,4.344131,[166 198] ; [24 50],[157.89954338 206.10045662] ; [32.10045662 41.89954338],0
a5,1,0.038152,4.298246,[292  83] ; [50 25],[285.  90.] ; [57. 18.],0
a3,1,0.038951,4.263006,[264 109] ; [44 31],[256.4375 116.5625] ; [51.5625 23.4375],0
a8,1,0.039522,4.238277,[ 58 282] ; [ 5 64],[ 52.37163814 287.62836186] ; [10.62836186 58.37163814],0
b3,1,0.054857,3.686413,[ 89 137] ; [10 32],[ 83.48507463 142.51492537] ; [15.51492537 26.48507463],0
b2,1,0.054857,3.686413,[ 89 137] ; [10 32],[ 83.48507463 142.51492537] ; [15.51492537 26.48507463],0
p7,1,0.085375,2.959487,[299  71] ; [66  8],[304.16666667  65.83333333] ; [60.83333333 13.16666667],0
r2,1,0.098911,2.723017,[352  17] ; [68  7],[349.05405405  19.94594595] ; [70.94594595  4.05405405],0
r4,1,0.102826,2.661152,[354  21] ; [67  8],[350.83333333  24.16666667] ; [70.16666667  4.83333333],0
s8,1,0.104321,2.638206,[180 192] ; [44 31],[186.41610738 185.58389262] ; [37.58389262 37.41610738],0
s1,1,0.118624,2.435398,[  8 365] ; [ 4 71],[  9.99107143 363.00892857] ; [ 2.00892857 72.99107143],0
p3,1,0.118958,2.430985,[228 145] ; [53 22],[233.95758929 139.04241071] ; [47.04241071 27.95758929],0
n4,1,0.122625,2.383475,[300  75] ; [54 21],[295.  80.] ; [59. 16.],0
p4,1,0.182341,1.778442,[266 108] ; [59 16],[270.71269488 103.28730512] ; [54.28730512 20.71269488],0
p10,1,0.274955,1.191861,[319  52] ; [68  7],[321.92152466  49.07847534] ; [65.07847534  9.92152466],0
a1,1,0.292332,1.108848,[ 21 354] ; [ 2 73],[ 19.16666667 355.83333333] ; [ 3.83333333 71.16666667],0
r1,1,0.296961,1.087791,[312  61] ; [59 16],[308.890625  64.109375] ; [62.109375 12.890625],0
a6,1,0.319179,0.992306,[251 122] ; [46 29],[247.27901786 125.72098214] ; [49.72098214 25.27901786],0
d4,1,0.373468,0.792093,[314  59] ; [60 15],[311.38839286  61.61160714] ; [62.61160714 12.38839286],0
u3,1,0.374944,0.787215,[57 52] ; [19 12],[59.17142857 49.82857143] ; [16.82857143 14.17142857],0
u4,1,0.432374,0.616438,[ 11 364] ; [ 1 74],[ 10. 365.] ; [ 2. 73.],0
n5,1,0.432471,0.616178,[288  85] ; [61 14],[290.57366071  82.42633929] ; [58.42633929 16.57366071],0
u1,1,0.452157,0.565238,[ 57 318] ; [14 61],[ 59.16666667 315.83333333] ; [11.83333333 63.16666667],0
b1,1,0.459257,0.547706,[138 237] ; [31 44],[140.83333333 234.16666667] ; [28.16666667 46.83333333],0
u2,1,0.460539,0.544585,[62 49] ; [15 16],[60.19014085 50.80985915] ; [16.80985915 14.19014085],0
d3,1,0.481677,0.495064,[259 115] ; [55 20],[261.55011136 112.44988864] ; [52.44988864 22.55011136],0
v1,1,0.524244,0.405536,[218 149] ; [41 33],[215.53968254 151.46031746] ; [43.46031746 30.53968254],0
p5,1,0.567425,0.327009,[ 65 309] ; [11 64],[ 63.30512249 310.69487751] ; [12.69487751 62.30512249],0
a2,1,0.639366,0.219572,[ 79 296] ; [14 61],[ 77.5 297.5] ; [15.5 59.5],0
n6,1,0.721613,0.126952,[321  51] ; [65  9],[321.95515695  50.04484305] ; [64.04484305  9.95515695],0
d5,1,0.730481,0.11867,[302  71] ; [62 13],[303.0625  69.9375] ; [60.9375 14.0625],0
v4,1,0.734128,0.115355,[360  12] ; [72  3],[359.51677852  12.48322148] ; [72.48322148  2.51677852],0
n1,1,0.748954,0.102412,[21 34] ; [6 8],[21.52173913 33.47826087] ; [5.47826087 8.52173913],0
a4,1,0.751067,0.100637,[157 217] ; [30 45],[155.76391982 218.23608018] ; [31.23608018 43.76391982],0
p9,1,0.806252,0.060154,[331  41] ; [66  9],[330.38926174  41.61073826] ; [66.61073826  8.38926174],0
p1,1,0.818679,0.052553,[ 43 328] ; [ 8 67],[ 42.42376682 328.57623318] ; [ 8.57623318 66.42376682],0
b4,1,0.83174,0.045144,[210 165] ; [43 32],[210.83333333 164.16666667] ; [42.16666667 32.83333333],0
d2,1,0.848217,0.036631,[175 199] ; [36 39],[175.75501114 198.24498886] ; [35.24498886 39.75501114],0
p11,1,0.85537,0.033223,[323  52] ; [64 11],[322.5  52.5] ; [64.5 10.5],0
b5,1,0.865242,0.0288,[209 166] ; [41 34],[208.33333333 166.66666667] ; [41.66666667 33.33333333],0
p2,1,0.86954,0.026976,[341  32] ; [69  6],[341.36160714  31.63839286] ; [68.63839286  6.36160714],0
n2,1,0.881235,0.022321,[45 11] ; [11  3],[44.8 11.2] ; [11.2  2.8],0
