Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,27.372078,[59 66] ; [ 25 118],[39.17910448 85.82089552] ; [44.82089552 98.17910448],1
r3,1,6e-06,20.498159,[119   6] ; [109  36],[105.55555556  19.44444444] ; [122.44444444  22.55555556],1
v1,1,1e-05,19.523489,[67 55] ; [ 41 104],[49.34831461 72.65168539] ; [58.65168539 86.34831461],1
s8,1,0.00024,13.489246,[48 79] ; [ 26 119],[34.55147059 92.44852941] ; [ 39.44852941 105.55147059],1
p10,1,0.000613,11.735155,[90 36] ; [74 71],[76.25092251 49.74907749] ; [87.74907749 57.25092251],1
r1,1,0.001014,10.801817,[100  27] ; [88 58],[87.45787546 39.54212454] ; [100.54212454  45.45787546],0
p7,1,0.001338,10.289987,[55 70] ; [ 36 106],[42.60299625 82.39700375] ; [48.39700375 93.60299625],0
p9,1,0.001642,9.91259,[95 30] ; [82 60],[82.86516854 42.13483146] ; [94.13483146 47.86516854],0
d4,1,0.00208,9.477515,[109  17] ; [103  42],[98.56826568 27.43173432] ; [113.43173432  31.56826568],0
v4,1,0.002254,9.330177,[115  10] ; [114  31],[106.01851852  18.98148148] ; [122.98148148  22.01851852],0
d5,1,0.00242,9.199987,[103  24] ; [93 51],[91.85239852 35.14760148] ; [104.14760148  39.85239852],0
s7,1,0.002476,9.15848,[52 71] ; [ 34 104],[40.52873563 82.47126437] ; [45.47126437 92.52873563],0
s2,1,0.003685,8.433092,[58 68] ; [ 42 103],[46.49446494 79.50553506] ; [53.50553506 91.49446494],0
s6,1,0.011642,6.364551,[71 55] ; [59 85],[60.66666667 65.33333333] ; [69.33333333 74.66666667],0
a7,1,0.013091,6.156783,[88 38] ; [80 65],[78.11070111 47.88929889] ; [89.88929889 55.11070111],0
d1,1,0.017072,5.688951,[67 60] ; [56 90],[57.21978022 69.78021978] ; [65.78021978 80.21978022],0
d3,1,0.018499,5.548272,[82 45] ; [72 71],[72.43703704 54.56296296] ; [81.56296296 61.43703704],0
p11,1,0.01908,5.494209,[88 39] ; [81 65],[78.61904762 48.38095238] ; [90.38095238 55.61904762],0
n6,1,0.019398,5.465268,[98 27] ; [95 50],[89.35185185 35.64814815] ; [103.64814815  41.35185185],0
r4,1,0.05639,3.640495,[100  27] ; [100  46],[93.04029304 33.95970696] ; [106.95970696  39.04029304],0
r2,1,0.060933,3.511811,[114   9] ; [123  21],[109.17977528  13.82022472] ; [127.82022472  16.17977528],0
s3,1,0.089747,2.878898,[66 60] ; [61 84],[59.04797048 66.95202952] ; [67.95202952 77.04797048],0
a8,1,0.091231,2.852513,[ 18 100] ; [ 12 129],[ 13.66795367 104.33204633] ; [ 16.33204633 124.66795367],0
p6,1,0.093139,2.819258,[ 22 104] ; [ 15 129],[ 17.26666667 108.73333333] ; [ 19.73333333 124.26666667],0
s5,1,0.131658,2.272842,[32 88] ; [ 27 116],[26.92015209 93.07984791] ; [ 32.07984791 110.92015209],0
p3,1,0.135218,2.231557,[27 99] ; [ 21 124],[ 22.31734317 103.68265683] ; [ 25.68265683 119.31734317],0
n4,1,0.141361,2.163085,[90 36] ; [92 54],[84.30882353 41.69117647] ; [97.69117647 48.30882353],0
n3,1,0.141529,2.161253,[29 10] ; [36 24],[25.60606061 13.39393939] ; [39.39393939 20.60606061],0
p2,1,0.149595,2.07638,[81 46] ; [80 65],[75.17279412 51.82720588] ; [85.82720588 59.17279412],0
b5,1,0.151064,2.061473,[83 44] ; [83 63],[77.22344322 49.77655678] ; [88.77655678 57.22344322],0
b1,1,0.208128,1.584398,[47 80] ; [65 81],[52.1025641 74.8974359] ; [59.8974359 86.1025641],0
p1,1,0.342797,0.899944,[  4 123] ; [  8 137],[  5.60294118 121.39705882] ; [  6.39705882 138.60294118],0
n2,1,0.387347,0.747253,[28 11] ; [40 23],[26. 13.] ; [42. 21.],0
a4,1,0.44939,0.57219,[53 74] ; [54 91],[49.95955882 77.04044118] ; [57.04044118 87.95955882],0
u4,1,0.481764,0.494868,[  2 125] ; [  1 145],[  1.3956044 125.6043956] ; [  1.6043956 144.3956044],0
a3,1,0.482649,0.492872,[88 39] ; [94 50],[85.29151292 41.70848708] ; [96.70848708 47.29151292],0
p12,1,0.491602,0.473019,[  4 122] ; [  7 138],[  5.11439114 120.88560886] ; [  5.88560886 139.11439114],0
s1,1,0.507282,0.43967,[  4 121] ; [  7 139],[  5.07380074 119.92619926] ; [  5.92619926 140.07380074],0
n5,1,0.520873,0.412164,[76 48] ; [95 51],[78.53333333 45.46666667] ; [92.46666667 53.53333333],0
n1,1,0.535228,0.384456,[11 27] ; [22 41],[12.41584158 25.58415842] ; [20.58415842 42.41584158],0
u1,1,0.545978,0.364572,[ 16 111] ; [ 15 131],[ 14.42124542 112.57875458] ; [ 16.57875458 129.42124542],0
a5,1,0.564975,0.331163,[80 47] ; [87 59],[77.68864469 49.31135531] ; [89.31135531 56.68864469],0
d2,1,0.608233,0.262756,[55 71] ; [58 85],[52.92936803 73.07063197] ; [60.07063197 82.92936803],0
b4,1,0.674172,0.176761,[76 51] ; [91 55],[77.68864469 49.31135531] ; [89.31135531 56.68864469],0
u3,1,0.716355,0.132012,[21 18] ; [26 26],[20.14285714 18.85714286] ; [26.85714286 25.14285714],0
b2,1,0.725849,0.122957,[26 49] ; [31 52],[27.05696203 47.94303797] ; [29.94303797 53.05696203],0
b3,1,0.725849,0.122957,[26 49] ; [31 52],[27.05696203 47.94303797] ; [29.94303797 53.05696203],0
p5,1,0.762125,0.091622,[  2 125] ; [  3 142],[  2.33455882 124.66544118] ; [  2.66544118 142.33455882],0
a2,1,0.781127,0.077201,[ 21 106] ; [ 26 120],[ 21.86446886 105.13553114] ; [ 25.13553114 120.86446886],0
a6,1,0.797901,0.065569,[79 48] ; [88 57],[77.97426471 49.02573529] ; [89.02573529 55.97426471],0
u2,1,0.816259,0.053991,[19 18] ; [28 24],[19.53932584 17.46067416] ; [27.46067416 24.53932584],0
s4,1,0.874721,0.024858,[ 22 105] ; [ 26 118],[ 22.49446494 104.50553506] ; [ 25.50553506 118.49446494],0
a1,1,0.887411,0.020045,[  9 118] ; [ 11 135],[  9.3040293 117.6959707] ; [ 10.6959707 135.3040293],0
