Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,5e-06,20.7878,[ 52 250] ; [19 20],[ 62.8797654 239.1202346] ; [ 8.1202346 30.8797654],1
p12,1,1.1e-05,19.312484,[ 10 295] ; [ 8 33],[ 15.86705202 289.13294798] ; [ 2.13294798 38.86705202],1
p4,1,0.00252,9.125692,[164 140] ; [33  9],[173.0867052 130.9132948] ; [23.9132948 18.0867052],0
p3,1,0.002685,9.010279,[143 163] ; [30 12],[152.12068966 153.87931034] ; [20.87931034 21.12068966],0
s7,1,0.003425,8.565831,[ 79 214] ; [19 19],[ 86.74924471 206.25075529] ; [11.25075529 26.74924471],0
p1,1,0.00758,7.13001,[ 21 284] ; [ 8 34],[ 25.48991354 279.51008646] ; [ 3.51008646 38.48991354],0
p6,1,0.014568,5.968002,[ 84 219] ; [19 22],[ 90.72383721 212.27616279] ; [12.27616279 28.72383721],0
v3,1,0.023127,5.158936,[102 197] ; [21 19],[108.48672566 190.51327434] ; [14.51327434 25.48672566],0
p7,1,0.042246,4.125337,[186 115] ; [32  9],[191.86549708 109.13450292] ; [26.13450292 14.86549708],0
a1,1,0.047248,3.936541,[  6 300] ; [ 3 39],[  7.9137931 298.0862069] ; [ 1.0862069 40.9137931],0
s8,1,0.05375,3.72044,[ 80 225] ; [17 25],[ 85.25936599 219.74063401] ; [11.74063401 30.25936599],0
b4,1,0.078616,3.093291,[175 131] ; [30 12],[180.25862069 125.74137931] ; [24.74137931 17.25862069],0
p8,1,0.081348,3.037754,[165 136] ; [29 13],[170.24489796 130.75510204] ; [23.75510204 18.24489796],0
s6,1,0.108076,2.582126,[142 162] ; [23 15],[146.66666667 157.33333333] ; [18.33333333 19.66666667],0
r2,1,0.121878,2.393023,[279  22] ; [36  6],[276.42857143  24.57142857] ; [38.57142857  3.42857143],0
b2,1,0.133381,2.252701,[ 60 107] ; [16 16],[ 63.77889447 103.22110553] ; [12.22110553 19.77889447],0
b3,1,0.133381,2.252701,[ 60 107] ; [16 16],[ 63.77889447 103.22110553] ; [12.22110553 19.77889447],0
r3,1,0.142606,2.149612,[287  18] ; [37  5],[284.78386167  20.21613833] ; [39.21613833  2.78386167],0
a5,1,0.173699,1.850728,[217  89] ; [34  8],[220.70689655  85.29310345] ; [30.29310345 11.70689655],0
d3,1,0.181417,1.785974,[206  99] ; [24 18],[202.16138329 102.83861671] ; [27.83861671 14.16138329],0
n5,1,0.190179,1.716229,[225  79] ; [35  7],[228.43930636  75.56069364] ; [31.56069364 10.43930636],0
b5,1,0.209967,1.571651,[177 129] ; [20 22],[173.22413793 132.77586207] ; [23.77586207 18.22413793],0
v2,1,0.221021,1.497729,[161 133] ; [26 14],[164.60479042 129.39520958] ; [22.39520958 17.60479042],0
a7,1,0.26569,1.238862,[222  84] ; [27 15],[218.94827586  87.05172414] ; [30.05172414 11.94827586],0
p11,1,0.315971,1.005552,[259  47] ; [38  4],[261.15517241  44.84482759] ; [35.84482759  6.15517241],0
n4,1,0.34209,0.902583,[227  79] ; [34  8],[229.5  76.5] ; [31.5 10.5],0
v4,1,0.369765,0.804454,[286  18] ; [38  4],[284.67052023  19.32947977] ; [39.32947977  2.67052023],0
v1,1,0.394346,0.7255,[151 149] ; [23 17],[153.52941176 146.47058824] ; [20.47058824 19.52941176],0
r4,1,0.402817,0.699901,[269  37] ; [35  7],[267.31034483  38.68965517] ; [36.68965517  5.31034483],0
b1,1,0.407633,0.685693,[104 202] ; [17 25],[106.39655172 199.60344828] ; [14.60344828 27.39655172],0
d2,1,0.437575,0.602635,[126 179] ; [20 22],[128.32853026 176.67146974] ; [17.67146974 24.32853026],0
u1,1,0.441638,0.592023,[ 38 268] ; [ 7 35],[ 39.56896552 266.43103448] ; [ 5.43103448 36.56896552],0
u3,1,0.453234,0.56255,[51 50] ; [8 5],[52.27192982 48.72807018] ; [6.72807018 6.27192982],0
s4,1,0.45381,0.561118,[ 35 271] ; [ 3 37],[ 33.60693642 272.39306358] ; [ 4.39306358 35.60693642],0
d5,1,0.524137,0.405745,[246  60] ; [32 10],[244.44827586  61.55172414] ; [33.55172414  8.44827586],0
s3,1,0.549111,0.358912,[ 70 232] ; [ 8 34],[ 68.47674419 233.52325581] ; [ 9.52325581 32.47674419],0
n2,1,0.580497,0.305432,[44 20] ; [7 2],[44.71232877 19.28767123] ; [6.28767123 2.71232877],0
d1,1,0.690738,0.158287,[163 143] ; [21 21],[161.79310345 144.20689655] ; [22.20689655 19.79310345],0
n3,1,0.712444,0.135848,[45 17] ; [6 3],[44.53521127 17.46478873] ; [6.46478873 2.53521127],0
u2,1,0.726477,0.122372,[57 44] ; [8 5],[57.5877193 43.4122807] ; [7.4122807 5.5877193],0
r1,1,0.749864,0.101645,[239  66] ; [32 10],[238.19884726  66.80115274] ; [32.80115274  9.19884726],0
a2,1,0.758403,0.094604,[ 57 249] ; [ 7 35],[ 56.27586207 249.72413793] ; [ 7.72413793 34.27586207],0
a3,1,0.811994,0.056575,[205 100] ; [29 13],[205.67723343  99.32276657] ; [28.32276657 13.67723343],0
n6,1,0.826336,0.048138,[259  47] ; [35  7],[258.51724138  47.48275862] ; [35.48275862  6.51724138],0
a6,1,0.842785,0.039336,[214  92] ; [30 12],[214.55172414  91.44827586] ; [29.44827586 12.55172414],0
