Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.067889,3.333333,[4 4] ; [ 6 26],[2. 6.] ; [ 8. 24.],0
p11,1,0.111052,2.539185,[4 4] ; [ 7 25],[2.2 5.8] ; [ 8.8 23.2],0
a4,1,0.11699,2.457157,[5 3] ; [10 21],[3.07692308 4.92307692] ; [11.92307692 19.07692308],0
s3,1,0.186215,1.747312,[4 4] ; [ 8 23],[2.46153846 5.53846154] ; [ 9.53846154 21.46153846],0
b1,1,0.203628,1.616162,[6 2] ; [16 16],[4.4 3.6] ; [17.6 14.4],0
n6,1,0.209201,1.576949,[1 7] ; [11 20],[2.46153846 5.53846154] ; [ 9.53846154 21.46153846],0
p1,1,0.231998,1.428571,[2 6] ; [ 3 29],[1. 7.] ; [ 4. 28.],0
a3,1,0.234314,1.414482,[6 2] ; [16 15],[4.51282051 3.48717949] ; [17.48717949 13.51282051],0
p7,1,0.255989,1.290323,[3 5] ; [ 6 26],[1.8 6.2] ; [ 7.2 24.8],0
p2,1,0.255989,1.290323,[3 5] ; [ 6 26],[1.8 6.2] ; [ 7.2 24.8],0
d5,1,0.262943,1.253197,[6 2] ; [17 15],[4.6 3.4] ; [18.4 13.6],0
d3,1,0.262943,1.253197,[2 6] ; [15 17],[3.4 4.6] ; [13.6 18.4],0
s8,1,0.2765,1.184211,[1 7] ; [ 1 31],[0.4 7.6] ; [ 1.6 30.4],0
r2,1,0.301323,1.068329,[6 2] ; [17 14],[4.71794872 3.28205128] ; [18.28205128 12.71794872],0
n5,1,0.342178,0.902256,[3 5] ; [18 14],[4.2 3.8] ; [16.8 15.2],0
v2,1,0.36131,0.833333,[3 5] ; [ 7 25],[2. 6.] ; [ 8. 24.],0
a1,1,0.375825,0.784314,[2 6] ; [ 4 28],[1.2 6.8] ; [ 4.8 27.2],0
a6,1,0.429195,0.625,[5 3] ; [15 17],[4. 4.] ; [16. 16.],0
a5,1,0.429195,0.625,[5 3] ; [15 17],[4. 4.] ; [16. 16.],0
a8,1,0.469853,0.522321,[1 6] ; [ 2 30],[0.53846154 6.46153846] ; [ 2.46153846 29.53846154],0
d2,1,0.476462,0.50695,[3 5] ; [16 15],[3.8974359 4.1025641] ; [15.1025641 15.8974359],0
d1,1,0.507335,0.43956,[2 6] ; [12 20],[2.8 5.2] ; [11.2 20.8],0
d4,1,0.507335,0.43956,[6 2] ; [20 12],[5.2 2.8] ; [20.8 11.2],0
n4,1,0.518605,0.416667,[4 4] ; [20 12],[4.8 3.2] ; [19.2 12.8],0
b3,1,0.520146,0.413603,[1 4] ; [ 7 13],[1.6 3.4] ; [ 6.4 13.6],0
b2,1,0.520146,0.413603,[1 4] ; [ 7 13],[1.6 3.4] ; [ 6.4 13.6],0
v3,1,0.559951,0.33979,[2 5] ; [ 6 26],[1.43589744 5.56410256] ; [ 6.56410256 25.43589744],0
p8,1,0.559951,0.33979,[2 6] ; [ 5 26],[1.43589744 6.56410256] ; [ 5.56410256 25.43589744],0
r3,1,0.631391,0.230179,[4 4] ; [13 19],[3.4 4.6] ; [13.6 18.4],0
r1,1,0.631391,0.230179,[4 4] ; [13 19],[3.4 4.6] ; [13.6 18.4],0
b4,1,0.633553,0.227273,[5 3] ; [17 15],[4.4 3.6] ; [17.6 14.4],0
p3,1,0.692633,0.15625,[2 6] ; [ 6 26],[1.6 6.4] ; [ 6.4 25.6],0
p6,1,0.814514,0.05504,[1 7] ; [ 3 28],[0.82051282 7.17948718] ; [ 3.17948718 27.82051282],0
s4,1,0.824778,0.04902,[1 7] ; [ 5 27],[1.2 6.8] ; [ 4.8 27.2],0
v1,1,0.849842,0.035842,[2 6] ; [ 7 25],[1.8 6.2] ; [ 7.2 24.8],0
s6,1,0.859466,0.031348,[2 6] ; [ 9 23],[2.2 5.8] ; [ 8.8 23.2],0
a7,1,0.874211,0.025063,[4 4] ; [15 17],[3.8 4.2] ; [15.2 16.8],0
s7,1,0.973017,0.001144,[1 6] ; [ 4 25],[0.97222222 6.02777778] ; [ 4.02777778 24.97222222],0
s5,1,1.0,0.0,[1 7] ; [ 4 28],[1. 7.] ; [ 4. 28.],0
a2,1,1.0,0.0,[1 7] ; [ 4 28],[1. 7.] ; [ 4. 28.],0
p4,1,1.0,0.0,[2 6] ; [ 8 24],[2. 6.] ; [ 8. 24.],0
b5,1,1.0,0.0,[4 4] ; [16 16],[4. 4.] ; [16. 16.],0
