Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9e-06,19.752473,[85 19] ; [28 30],[72.54320988 31.45679012] ; [40.45679012 17.54320988],1
n4,1,6.9e-05,15.826348,[79 25] ; [26 32],[67.40740741 36.59259259] ; [37.59259259 20.40740741],1
n5,1,8.1e-05,15.527273,[81 23] ; [27 30],[69.76397516 34.23602484] ; [38.23602484 18.76397516],1
v4,1,0.000163,14.217808,[91 13] ; [36 22],[81.5308642 22.4691358] ; [45.4691358 12.5308642],1
s8,1,0.000221,13.64225,[41 62] ; [ 7 51],[30.70807453 72.29192547] ; [17.29192547 40.70807453],1
p11,1,0.000395,12.555225,[66 38] ; [20 38],[55.20987654 48.79012346] ; [30.79012346 27.20987654],1
s6,1,0.00047,12.231764,[56 47] ; [15 43],[45.42236025 57.57763975] ; [25.57763975 32.42236025],1
r3,1,0.000745,11.373395,[90 14] ; [37 21],[81.5308642 22.4691358] ; [45.4691358 12.5308642],1
s7,1,0.002851,8.900194,[42 57] ; [10 44],[33.64705882 65.35294118] ; [18.35294118 35.64705882],0
p3,1,0.003582,8.484553,[37 67] ; [ 8 49],[29.06832298 74.93167702] ; [15.93167702 41.06832298],0
r2,1,0.007781,7.083146,[91 10] ; [43 15],[85.11949686 15.88050314] ; [48.88050314  9.11949686],0
u1,1,0.010145,6.609185,[18 86] ; [ 2 56],[12.83950617 91.16049383] ; [ 7.16049383 50.83950617],0
s5,1,0.010345,6.574511,[24 77] ; [ 4 51],[18.12820513 82.87179487] ; [ 9.87179487 45.12820513],0
p6,1,0.010619,6.527913,[24 79] ; [ 4 52],[18.13836478 84.86163522] ; [ 9.86163522 46.13836478],0
p10,1,0.014387,5.990074,[60 42] ; [22 35],[52.60377358 49.39622642] ; [29.39622642 27.60377358],0
d1,1,0.031136,4.645445,[56 48] ; [21 37],[49.43209877 54.56790123] ; [27.56790123 30.43209877],0
a1,1,0.040159,4.211141,[ 6 98] ; [ 9 49],[ 9.62962963 94.37037037] ; [ 5.37037037 52.62962963],0
b5,1,0.049468,3.859384,[65 39] ; [27 31],[59.0617284 44.9382716] ; [32.9382716 25.0617284],0
d4,1,0.062703,3.464396,[80 24] ; [36 21],[74.93167702 29.06832298] ; [41.06832298 15.93167702],0
p5,1,0.079907,3.066783,[ 9 92] ; [ 1 55],[ 6.43312102 94.56687898] ; [ 3.56687898 52.43312102],0
v3,1,0.08592,2.949204,[39 59] ; [14 40],[34.17105263 63.82894737] ; [18.82894737 35.17105263],0
p9,1,0.087852,2.913299,[58 42] ; [25 32],[52.86624204 47.13375796] ; [30.13375796 26.86624204],0
p4,1,0.101479,2.682145,[34 68] ; [12 45],[29.50943396 72.49056604] ; [16.49056604 40.50943396],0
a6,1,0.112827,2.51417,[68 36] ; [30 27],[63.30434783 40.69565217] ; [34.69565217 22.30434783],0
d5,1,0.115615,2.475735,[73 31] ; [33 24],[68.47204969 35.52795031] ; [37.52795031 19.47204969],0
v2,1,0.12058,2.40977,[47 53] ; [18 35],[42.48366013 57.51633987] ; [22.51633987 30.48366013],0
v1,1,0.146589,2.107391,[39 61] ; [16 42],[34.81012658 65.18987342] ; [20.18987342 37.81012658],0
s1,1,0.146988,2.103232,[ 6 98] ; [ 7 50],[ 8.39751553 95.60248447] ; [ 4.60248447 52.39751553],0
n2,1,0.164052,1.936475,[24  7] ; [17 11],[21.54237288  9.45762712] ; [19.45762712  8.54237288],0
p12,1,0.224766,1.473681,[ 6 98] ; [ 1 57],[ 4.49382716 99.50617284] ; [ 2.50617284 55.49382716],0
p7,1,0.236953,1.398629,[35 66] ; [14 41],[31.72435897 69.27564103] ; [17.27564103 37.72435897],0
d2,1,0.242096,1.36835,[51 51] ; [23 34],[47.47169811 54.52830189] ; [26.52830189 30.47169811],0
s2,1,0.242274,1.367312,[40 64] ; [17 41],[36.59259259 67.40740741] ; [20.40740741 37.59259259],0
n3,1,0.244109,1.356704,[19 10] ; [13 13],[16.87272727 12.12727273] ; [15.12727273 10.87272727],0
b4,1,0.274635,1.19345,[63 41] ; [30 28],[59.7037037 44.2962963] ; [33.2962963 24.7037037],0
a5,1,0.344709,0.89284,[67 37] ; [33 25],[64.19753086 39.80246914] ; [35.80246914 22.19753086],0
