Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3e-06,21.811267,[474  52] ; [44 19],[462.5942275  63.4057725] ; [55.4057725  7.5942275],1
r2,1,1.1e-05,19.349146,[498  25] ; [51 12],[489.9778157  33.0221843] ; [59.0221843  3.9778157],1
d1,1,0.000145,14.439408,[325 204] ; [23 40],[310.96621622 218.03378378] ; [37.03378378 25.96621622],1
a5,1,0.0002,13.834129,[407 121] ; [35 28],[394.88324873 133.11675127] ; [47.11675127 15.88324873],1
v3,1,0.001346,10.27794,[241 269] ; [16 46],[229.14335664 280.85664336] ; [27.85664336 34.14335664],0
d5,1,0.001526,10.046585,[431  95] ; [41 22],[421.51443124 104.48556876] ; [50.48556876 12.51443124],0
s7,1,0.003334,8.615295,[261 237] ; [19 40],[250.34111311 247.65888689] ; [29.65888689 29.34111311],0
s5,1,0.003335,8.614758,[166 348] ; [ 9 54],[155.89254766 358.10745234] ; [19.10745234 43.89254766],0
s6,1,0.003765,8.394026,[344 176] ; [30 33],[333.58490566 186.41509434] ; [40.41509434 22.58490566],0
p6,1,0.004915,7.910607,[201 318] ; [13 50],[190.83505155 328.16494845] ; [23.16494845 39.83505155],0
r1,1,0.008683,6.886995,[426 101] ; [42 21],[418.02711864 108.97288136] ; [49.97288136 13.02711864],0
d4,1,0.010452,6.556218,[427  97] ; [42 20],[419.37883959 104.62116041] ; [49.62116041 12.37883959],0
n1,1,0.011296,6.418153,[56 51] ; [ 5 17],[50.59689922 56.40310078] ; [10.40310078 11.59689922],0
r4,1,0.011538,6.380469,[470  59] ; [49 14],[463.76858108  65.23141892] ; [55.23141892  7.76858108],0
p4,1,0.012374,6.256412,[326 197] ; [29 34],[316.83447099 206.16552901] ; [38.16552901 24.83447099],0
d2,1,0.013566,6.093785,[277 246] ; [23 40],[267.74744027 255.25255973] ; [32.25255973 30.74744027],0
p2,1,0.013957,6.043623,[433  91] ; [44 19],[425.80579216  98.19420784] ; [51.19420784 11.80579216],0
p3,1,0.022536,5.203934,[271 253] ; [23 40],[262.44633731 261.55366269] ; [31.55366269 31.44633731],0
p10,1,0.027829,4.838645,[438  83] ; [46 17],[431.78767123  89.21232877] ; [52.21232877 10.78767123],0
a4,1,0.030569,4.676978,[250 274] ; [21 42],[241.91482112 282.08517888] ; [29.08517888 33.91482112],0
s2,1,0.037693,4.318818,[259 265] ; [22 40],[251.26962457 272.73037543] ; [29.73037543 32.26962457],0
d3,1,0.040491,4.197173,[349 177] ; [33 29],[341.72108844 184.27891156] ; [40.27891156 21.72108844],0
r3,1,0.042655,4.109026,[489  37] ; [54  9],[484.92020374  41.07979626] ; [58.07979626  4.92020374],0
p1,1,0.059975,3.538081,[ 56 470] ; [ 2 61],[ 51.79626486 474.20373514] ; [ 6.20373514 56.79626486],0
a8,1,0.064285,3.423237,[ 87 387] ; [ 5 53],[ 81.96992481 392.03007519] ; [10.03007519 47.96992481],0
p5,1,0.068847,3.310294,[ 78 444] ; [ 4 58],[ 73.29452055 448.70547945] ; [ 8.70547945 53.29452055],0
p8,1,0.082837,3.008347,[277 240] ; [26 36],[270.55440415 246.44559585] ; [32.44559585 29.55440415],0
p12,1,0.091566,2.84663,[ 50 472] ; [ 2 61],[ 46.4 475.6] ; [ 5.6 57.4],0
s8,1,0.100704,2.694352,[240 284] ; [22 41],[233.88074957 290.11925043] ; [28.11925043 34.88074957],0
