Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,41.332894,[238 105] ; [ 92 127],[201.40569395 141.59430605] ; [128.59430605  90.40569395],1
v3,1,1e-06,24.039244,[178 164] ; [ 69 153],[149.77659574 192.22340426] ; [ 97.22340426 124.77659574],1
p4,1,0.000143,14.458607,[255  95] ; [132  97],[233.93782383 116.06217617] ; [153.06217617  75.93782383],1
p10,1,0.000191,13.915636,[336  15] ; [200  29],[324.37241379  26.62758621] ; [211.62758621  17.37241379],1
p7,1,0.000321,12.944255,[252  90] ; [134  92],[232.41549296 109.58450704] ; [153.58450704  72.41549296],1
s8,1,0.001198,10.492687,[191 159] ; [ 93 135],[171.97231834 178.02768166] ; [112.02768166 115.97231834],0
p3,1,0.001508,10.068867,[212 138] ; [108 121],[193.43696028 156.56303972] ; [126.56303972 102.43696028],0
p8,1,0.001945,9.60057,[219 126] ; [115 113],[201.09947644 143.90052356] ; [132.90052356  95.09947644],0
p6,1,0.005891,7.583462,[164 184] ; [ 81 147],[148.02083333 199.97916667] ; [ 96.97916667 131.02083333],0
r1,1,0.006928,7.291617,[295  57] ; [171  58],[282.32702238  69.67297762] ; [183.67297762  45.32702238],0
r4,1,0.007347,7.186009,[331  22] ; [200  29],[322.06701031  30.93298969] ; [208.93298969  20.06701031],0
d1,1,0.009678,6.693305,[229 124] ; [124 105],[214.104811 138.895189] ; [138.895189  90.104811],0
r2,1,0.010015,6.632307,[337  13] ; [207  20],[329.98266898  20.01733102] ; [214.01733102  12.98266898],0
p5,1,0.010771,6.502747,[ 62 288] ; [ 23 206],[ 51.38169257 298.61830743] ; [ 33.61830743 195.38169257],0
a3,1,0.016452,5.753889,[274  76] ; [159  70],[261.74438687  88.25561313] ; [171.25561313  57.74438687],0
s5,1,0.016664,5.731396,[140 201] ; [ 69 153],[126.58792185 214.41207815] ; [ 82.41207815 139.58792185],0
d4,1,0.018689,5.530415,[298  53] ; [176  52],[287.34715026  63.65284974] ; [186.65284974  41.34715026],0
u3,1,0.030208,4.697427,[49 30] ; [31 39],[42.41610738 36.58389262] ; [37.58389262 32.41610738],0
u4,1,0.036665,4.36589,[ 13 340] ; [  2 227],[  9.09793814 343.90206186] ; [  5.90206186 223.09793814],0
a5,1,0.043493,4.076129,[280  73] ; [165  64],[269.90549828  83.09450172] ; [175.09450172  53.90549828],0
v4,1,0.04959,3.855261,[341  11] ; [213  15],[336.22068966  15.77931034] ; [217.77931034  10.22068966],0
b5,1,0.054188,3.706899,[221 132] ; [125 104],[209.85910653 143.14089347] ; [136.14089347  92.85910653],0
p2,1,0.05613,3.648209,[311  39] ; [190  38],[303.37370242  46.62629758] ; [197.62629758  30.37370242],0
s2,1,0.056734,3.630365,[201 149] ; [112 115],[189.86135182 160.13864818] ; [123.13864818 103.86135182],0
s6,1,0.057474,3.608805,[256  91] ; [148  75],[245.94385965 101.05614035] ; [158.05614035  64.94385965],0
p11,1,0.069624,3.291854,[305  48] ; [185  44],[297.19931271  55.80068729] ; [192.80068729  36.19931271],0
d5,1,0.074589,3.179033,[296  55] ; [179  49],[287.95336788  63.04663212] ; [187.04663212  40.95336788],0
s1,1,0.096922,2.755478,[  7 340] ; [ 10 216],[ 10.29493892 336.70506108] ; [  6.70506108 219.29493892],0
u1,1,0.104525,2.635108,[ 78 275] ; [ 38 191],[ 70.35738832 282.64261168] ; [ 45.64261168 183.35738832],0
p12,1,0.170359,1.879781,[ 40 311] ; [ 18 210],[ 35.16062176 315.83937824] ; [ 22.83937824 205.16062176],0
