Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,25.131831,[ 3 28] ; [23  9],[12.79365079 18.20634921] ; [13.20634921 18.79365079],1
r4,1,0.002864,8.891938,[22 10] ; [31  1],[26.5  5.5] ; [26.5  5.5],0
s6,1,0.006433,7.424878,[17 14] ; [26  4],[21.85245902  9.14754098] ; [21.14754098  8.85245902],0
r1,1,0.016575,5.740864,[17 15] ; [26  6],[21.5 10.5] ; [21.5 10.5],0
a2,1,0.023342,5.142857,[ 1 31] ; [ 7 25],[ 4. 28.] ; [ 4. 28.],0
a6,1,0.041739,4.145749,[15 17] ; [23  9],[19. 13.] ; [19. 13.],0
p3,1,0.041739,4.145749,[ 9 23] ; [17 15],[13. 19.] ; [13. 19.],0
s8,1,0.069642,3.291429,[ 4 28] ; [10 22],[ 7. 25.] ; [ 7. 25.],0
u1,1,0.086276,2.942529,[ 1 31] ; [ 5 27],[ 3. 29.] ; [ 3. 29.],0
b3,1,0.140548,2.171946,[ 5 12] ; [ 1 12],[ 3.4 13.6] ; [ 2.6 10.4],0
b2,1,0.140548,2.171946,[ 5 12] ; [ 1 12],[ 3.4 13.6] ; [ 2.6 10.4],0
u3,1,0.154044,2.031746,[7 9] ; [11  5],[9. 7.] ; [9. 7.],0
s5,1,0.164052,1.936475,[ 7 24] ; [11 17],[ 9.45762712 21.54237288] ; [ 8.54237288 19.45762712],0
a5,1,0.192718,1.696713,[18 14] ; [23  9],[20.5 11.5] ; [20.5 11.5],0
p10,1,0.226476,1.462857,[23  9] ; [27  5],[25.  7.] ; [25.  7.],0
p9,1,0.226476,1.462857,[23  9] ; [27  5],[25.  7.] ; [25.  7.],0
d5,1,0.231939,1.428931,[20 11] ; [25  7],[22.14285714  8.85714286] ; [22.85714286  9.14285714],0
n1,1,0.243498,1.360227,[4 7] ; [1 7],[2.89473684 8.10526316] ; [2.10526316 5.89473684],0
u2,1,0.264173,1.246753,[ 4 12] ; [7 9],[ 5.5 10.5] ; [ 5.5 10.5],0
p2,1,0.266105,1.236715,[21 11] ; [25  7],[23.  9.] ; [23.  9.],0
d2,1,0.292468,1.108225,[ 9 23] ; [13 19],[11. 21.] ; [11. 21.],0
a4,1,0.292468,1.108225,[ 9 23] ; [13 19],[11. 21.] ; [11. 21.],0
b4,1,0.3017,1.066667,[18 14] ; [22 10],[20. 12.] ; [20. 12.],0
d1,1,0.316363,1.003922,[13 19] ; [17 15],[15. 17.] ; [15. 17.],0
p4,1,0.317311,1.0,[14 18] ; [18 14],[16. 16.] ; [16. 16.],0
n3,1,0.361466,0.832792,[6 5] ; [6 2],[6.94736842 4.05263158] ; [5.05263158 2.94736842],0
d4,1,0.37602,0.783673,[23  9] ; [26  6],[24.5  7.5] ; [24.5  7.5],0
b1,1,0.41177,0.673684,[ 8 24] ; [11 21],[ 9.5 22.5] ; [ 9.5 22.5],0
p7,1,0.453034,0.56305,[15 17] ; [18 14],[16.5 15.5] ; [16.5 15.5],0
v3,1,0.520282,0.413333,[ 7 24] ; [ 5 26],[ 6. 25.] ; [ 6. 25.],0
p1,1,0.554268,0.349727,[ 1 31] ; [ 2 30],[ 1.5 30.5] ; [ 1.5 30.5],0
p6,1,0.578185,0.309179,[10 22] ; [ 8 24],[ 9. 23.] ; [ 9. 23.],0
n5,1,0.589639,0.290909,[23  9] ; [21 11],[22. 10.] ; [22. 10.],0
p11,1,0.598637,0.277056,[20 12] ; [22 10],[21. 11.] ; [21. 11.],0
v2,1,0.599058,0.276419,[16 16] ; [13 17],[14.96774194 17.03225806] ; [14.03225806 15.96774194],0
b5,1,0.605577,0.266667,[19 13] ; [21 11],[20. 12.] ; [20. 12.],0
n4,1,0.614295,0.253968,[19 13] ; [17 15],[18. 14.] ; [18. 14.],0
d3,1,0.648785,0.207435,[22  9] ; [21 11],[21.15873016  9.84126984] ; [21.84126984 10.15873016],0
v1,1,0.684556,0.165042,[14 18] ; [12 19],[13.20634921 18.79365079] ; [12.79365079 18.20634921],0
n6,1,0.784114,0.075055,[26  6] ; [26  5],[26.41269841  5.58730159] ; [25.58730159  5.41269841],0
p8,1,0.921261,0.00977,[12 19] ; [12 20],[11.80952381 19.19047619] ; [12.19047619 19.80952381],0
a7,1,0.941394,0.005405,[23  8] ; [24  8],[23.12698413  7.87301587] ; [23.87301587  8.12698413],0
n2,1,0.959566,0.00257,[7 4] ; [5 3],[6.94736842 4.05263158] ; [5.05263158 2.94736842],0
a8,1,0.961738,0.002301,[ 1 30] ; [ 1 28],[ 1.03333333 29.96666667] ; [ 0.96666667 28.03333333],0
p5,1,1.0,0.0,[ 2 30] ; [ 2 30],[ 2. 30.] ; [ 2. 30.],0
a3,1,1.0,0.0,[16 16] ; [16 16],[16. 16.] ; [16. 16.],0
