Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.001388,10.221183,[ 2 16] ; [7 3],[ 5.78571429 12.21428571] ; [3.21428571 6.78571429],0
d3,1,0.002674,9.017746,[12 27] ; [19  9],[18.04477612 20.95522388] ; [12.95522388 15.04477612],0
d5,1,0.013829,6.059882,[16 23] ; [20  8],[20.95522388 18.04477612] ; [15.04477612 12.95522388],0
d1,1,0.024108,5.086838,[ 8 31] ; [13 15],[12.2238806 26.7761194] ; [ 8.7761194 19.2238806],0
b5,1,0.037038,4.348681,[15 24] ; [18 10],[19.20895522 19.79104478] ; [13.79104478 14.20895522],0
d4,1,0.039454,4.2412,[18 21] ; [20  8],[22.11940299 16.88059701] ; [15.88059701 12.11940299],0
a6,1,0.044496,4.03763,[14 25] ; [17 11],[18.04477612 20.95522388] ; [12.95522388 15.04477612],0
v4,1,0.049422,3.860953,[20 19] ; [21  7],[23.86567164 15.13432836] ; [17.13432836 10.86567164],0
n1,1,0.0505,3.824774,[ 7 15] ; [8 4],[ 9.70588235 12.29411765] ; [5.29411765 6.70588235],0
a5,1,0.060341,3.527985,[16 23] ; [18 10],[19.79104478 19.20895522] ; [14.20895522 13.79104478],0
a4,1,0.077781,3.110665,[ 9 29] ; [12 15],[12.27692308 25.72307692] ; [ 8.72307692 18.27692308],0
p8,1,0.092677,2.827255,[ 8 31] ; [11 17],[11.05970149 27.94029851] ; [ 7.94029851 20.05970149],0
p9,1,0.093596,2.811416,[13 23] ; [16 12],[16.3125 19.6875] ; [12.6875 15.3125],0
a1,1,0.103901,2.644625,[ 3 36] ; [ 6 22],[ 5.23880597 33.76119403] ; [ 3.76119403 24.23880597],0
r4,1,0.107835,2.585663,[ 5 34] ; [ 8 20],[ 7.56716418 31.43283582] ; [ 5.43283582 22.56716418],0
b4,1,0.118881,2.431998,[19 20] ; [19  9],[22.11940299 16.88059701] ; [15.88059701 12.11940299],0
p6,1,0.118913,2.431579,[ 4 34] ; [ 7 21],[ 6.33333333 31.66666667] ; [ 4.66666667 23.33333333],0
s7,1,0.139953,2.17848,[ 6 29] ; [ 9 18],[ 8.46774194 26.53225806] ; [ 6.53225806 20.46774194],0
s8,1,0.199721,1.644415,[ 5 34] ; [ 7 21],[ 6.98507463 32.01492537] ; [ 5.01492537 22.98507463],0
a3,1,0.214847,1.538462,[21 18] ; [18  8],[23.4 15.6] ; [15.6 10.4],0
n5,1,0.235041,1.410092,[29 10] ; [17 11],[26.7761194 12.2238806] ; [19.2238806  8.7761194],0
n2,1,0.236329,1.402357,[10 12] ; [8 4],[11.64705882 10.35294118] ; [6.35294118 5.64705882],0
v1,1,0.257677,1.281196,[ 9 30] ; [10 18],[11.05970149 27.94029851] ; [ 7.94029851 20.05970149],0
n3,1,0.261366,1.261508,[ 8 13] ; [7 5],[ 9.54545455 11.45454545] ; [5.45454545 6.54545455],0
r2,1,0.316185,1.004664,[23 14] ; [20  7],[24.859375 12.140625] ; [18.140625  8.859375],0
s6,1,0.374165,0.789786,[10 29] ; [10 18],[11.64179104 27.35820896] ; [ 8.35820896 19.64179104],0
v2,1,0.380656,0.768581,[ 6 31] ; [ 7 21],[ 7.4 29.6] ; [ 5.6 22.4],0
u2,1,0.3869,0.748663,[ 6 12] ; [5 5],[ 7.07142857 10.92857143] ; [3.92857143 6.07142857],0
p3,1,0.408969,0.681795,[ 9 30] ; [ 9 19],[10.47761194 28.52238806] ; [ 7.52238806 20.47761194],0
p4,1,0.411577,0.67424,[10 28] ; [10 18],[11.51515152 26.48484848] ; [ 8.48484848 19.51515152],0
n6,1,0.419806,0.650859,[22 17] ; [13 15],[20.37313433 18.62686567] ; [14.62686567 13.37313433],0
r1,1,0.426616,0.632018,[13 26] ; [12 16],[14.55223881 24.44776119] ; [10.44776119 17.55223881],0
s5,1,0.478875,0.501425,[ 6 33] ; [ 6 21],[ 7.09090909 31.90909091] ; [ 4.90909091 22.09090909],0
p10,1,0.572062,0.319245,[15 23] ; [13 15],[16.12121212 21.87878788] ; [11.87878788 16.12121212],0
b1,1,0.575736,0.313179,[21 18] ; [17 11],[22.11940299 16.88059701] ; [15.88059701 12.11940299],0
s3,1,0.585522,0.297392,[10 27] ; [ 9 18],[10.984375 26.015625] ; [ 8.015625 18.984375],0
s2,1,0.610218,0.259858,[ 9 30] ; [ 8 20],[ 9.89552239 29.10447761] ; [ 7.10447761 20.89552239],0
p1,1,0.615908,0.251661,[ 4 35] ; [ 4 24],[ 4.65671642 34.34328358] ; [ 3.34328358 24.65671642],0
n4,1,0.61624,0.251188,[26 13] ; [17 11],[25.02985075 13.97014925] ; [17.97014925 10.02985075],0
s4,1,0.663864,0.188864,[ 8 31] ; [ 7 21],[ 8.73134328 30.26865672] ; [ 6.26865672 21.73134328],0
p11,1,0.678566,0.171744,[13 26] ; [ 8 20],[12.2238806 26.7761194] ; [ 8.7761194 19.2238806],0
d2,1,0.839713,0.04091,[14 24] ; [11 17],[14.39393939 23.60606061] ; [10.60606061 17.39393939],0
p7,1,0.866741,0.028157,[12 26] ; [ 8 19],[11.69230769 26.30769231] ; [ 8.30769231 18.69230769],0
b2,1,0.915593,0.011233,[10 16] ; [ 8 12],[10.17391304 15.82608696] ; [ 7.82608696 12.17391304],0
b3,1,0.915593,0.011233,[10 16] ; [ 8 12],[10.17391304 15.82608696] ; [ 7.82608696 12.17391304],0
s1,1,0.93273,0.007125,[ 3 36] ; [ 2 26],[ 2.91044776 36.08955224] ; [ 2.08955224 25.91044776],0
v3,1,0.970547,0.001363,[ 8 30] ; [ 6 22],[ 8.06060606 29.93939394] ; [ 5.93939394 22.06060606],0
p2,1,0.982253,0.000495,[18 21] ; [13 15],[18.04477612 20.95522388] ; [12.95522388 15.04477612],0
