Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.153477,2.037351,[21  9] ; [10 10],[18.6 11.4] ; [12.4  7.6],0
p10,1,0.236375,1.402082,[ 7 22] ; [ 8 12],[ 8.87755102 20.12244898] ; [ 6.12244898 13.87755102],0
p3,1,0.341314,0.90549,[13 17] ; [ 6 14],[11.4 18.6] ; [ 7.6 12.4],0
p11,1,0.485263,0.487013,[18 12] ; [10 10],[16.8 13.2] ; [11.2  8.8],0
p2,1,0.598542,0.2772,[23  7] ; [14  6],[22.2  7.8] ; [14.8  5.2],0
