Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.1e-05,18.051878,[19 41] ; [25  7],[28.69565217 31.30434783] ; [15.30434783 16.69565217],1
r1,1,0.000876,11.072199,[34 25] ; [30  3],[41.04347826 17.95652174] ; [22.95652174 10.04347826],1
r4,1,0.007233,7.214157,[45 15] ; [32  1],[49.67741935 10.32258065] ; [27.32258065  5.67741935],0
p12,1,0.011319,6.414603,[ 1 59] ; [ 5 28],[ 3.87096774 56.12903226] ; [ 2.12903226 30.87096774],0
n4,1,0.015213,5.891684,[38 21] ; [29  4],[42.9673913 16.0326087] ; [24.0326087  8.9673913],0
p3,1,0.041433,4.158216,[32 27] ; [25  8],[36.55434783 22.44565217] ; [20.44565217 12.55434783],0
s4,1,0.116209,2.467683,[13 46] ; [ 3 30],[10.26086957 48.73913043] ; [ 5.73913043 27.26086957],0
d3,1,0.119859,2.419163,[16 44] ; [14 19],[19.35483871 40.64516129] ; [10.64516129 22.35483871],0
v4,1,0.149219,2.080221,[52  7] ; [32  1],[53.86956522  5.13043478] ; [30.13043478  2.86956522],0
v1,1,0.189051,1.725,[27 33] ; [19 13],[30. 30.] ; [16. 16.],0
n6,1,0.190376,1.714707,[46 14] ; [29  4],[48.38709677 11.61290323] ; [26.61290323  6.38709677],0
p8,1,0.197116,1.663618,[27 31] ; [20 13],[29.95604396 28.04395604] ; [17.04395604 15.95604396],0
p5,1,0.231224,1.433316,[ 7 52] ; [ 7 26],[ 8.97826087 50.02173913] ; [ 5.02173913 27.97826087],0
n1,1,0.231263,1.433077,[9 9] ; [4 1],[10.17391304  7.82608696] ; [2.82608696 2.17391304],0
b4,1,0.245807,1.346979,[27 33] ; [19 14],[29.67741935 30.32258065] ; [16.32258065 16.67741935],0
a4,1,0.261453,1.26105,[19 40] ; [ 7 26],[16.67391304 42.32608696] ; [ 9.32608696 23.67391304],0
p7,1,0.282434,1.155341,[41 19] ; [26  7],[43.22580645 16.77419355] ; [23.77419355  9.22580645],0
p6,1,0.342499,0.901055,[23 37] ; [16 17],[25.16129032 34.83870968] ; [13.83870968 19.16129032],0
d2,1,0.360496,0.836164,[20 40] ; [ 8 25],[18.06451613 41.93548387] ; [ 9.93548387 23.06451613],0
r2,1,0.368797,0.807715,[52  7] ; [31  2],[53.22826087  5.77173913] ; [29.77173913  3.22826087],0
s5,1,0.382605,0.762316,[13 44] ; [10 22],[14.73033708 42.26966292] ; [ 8.26966292 23.73033708],0
b2,1,0.391044,0.735692,[ 9 32] ; [ 7 15],[10.41269841 30.58730159] ; [ 5.58730159 16.41269841],0
b3,1,0.391044,0.735692,[ 9 32] ; [ 7 15],[10.41269841 30.58730159] ; [ 5.58730159 16.41269841],0
n5,1,0.427333,0.630061,[44 15] ; [27  6],[45.5326087 13.4673913] ; [25.4673913  7.5326087],0
a7,1,0.438686,0.599718,[37 23] ; [23 10],[38.70967742 21.29032258] ; [21.29032258 11.70967742],0
p1,1,0.447574,0.576789,[ 9 51] ; [ 7 26],[10.32258065 49.67741935] ; [ 5.67741935 27.32258065],0
p11,1,0.450431,0.569567,[41 19] ; [25  8],[42.58064516 17.41935484] ; [23.41935484  9.58064516],0
u3,1,0.490541,0.47534,[14 14] ; [5 8],[12.97560976 15.02439024] ; [6.02439024 6.97560976],0
a3,1,0.499109,0.456831,[32 28] ; [20 13],[33.5483871 26.4516129] ; [18.4516129 14.5483871],0
a8,1,0.550744,0.355986,[ 8 47] ; [ 3 27],[ 7.11764706 47.88235294] ; [ 3.88235294 26.11764706],0
