Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,23.772158,[20  5] ; [10 38],[10.2739726 14.7260274] ; [19.7260274 28.2739726],1
s6,1,2.2e-05,18.043642,[19  6] ; [12 37],[10.47297297 14.52702703] ; [20.52702703 28.47297297],1
p4,1,0.000589,11.809979,[17  8] ; [13 36],[10.13513514 14.86486486] ; [19.86486486 29.13513514],1
s5,1,0.000679,11.546682,[ 9 15] ; [ 3 46],[ 3.94520548 20.05479452] ; [ 8.05479452 40.94520548],1
s8,1,0.002131,9.433461,[11 14] ; [ 6 43],[ 5.74324324 19.25675676] ; [11.25675676 37.74324324],0
s7,1,0.00241,9.20798,[12 13] ; [ 7 40],[ 6.59722222 18.40277778] ; [12.40277778 34.59722222],0
d4,1,0.005899,7.580749,[16  9] ; [15 34],[10.47297297 14.52702703] ; [20.52702703 28.47297297],0
p2,1,0.008925,6.837738,[21  4] ; [26 23],[15.87837838  9.12162162] ; [31.12162162 17.87837838],0
p10,1,0.013702,6.0761,[19  6] ; [22 26],[14.04109589 10.95890411] ; [26.95890411 21.04109589],0
u3,1,0.025737,4.973571,[7 6] ; [ 7 27],[3.87234043 9.12765957] ; [10.12765957 23.87234043],0
p7,1,0.030197,4.698069,[16  8] ; [19 29],[11.66666667 12.33333333] ; [23.33333333 24.66666667],0
b5,1,0.038447,4.285135,[19  6] ; [25 24],[14.86486486 10.13513514] ; [29.13513514 19.86486486],0
a8,1,0.060814,3.515041,[ 4 19] ; [ 2 46],[ 1.94366197 21.05633803] ; [ 4.05633803 43.94366197],0
p8,1,0.061781,3.48891,[14 11] ; [16 32],[10.2739726 14.7260274] ; [19.7260274 28.2739726],0
v4,1,0.065263,3.398325,[21  3] ; [33 16],[17.75342466  6.24657534] ; [36.24657534 12.75342466],0
d3,1,0.072665,3.221769,[10 15] ; [10 39],[ 6.75675676 18.24324324] ; [13.24324324 35.75675676],0
u2,1,0.088407,2.903147,[7 6] ; [ 9 24],[4.52173913 8.47826087] ; [11.47826087 21.52173913],0
p3,1,0.113207,2.508866,[10 15] ; [11 38],[ 7.09459459 17.90540541] ; [13.90540541 35.09459459],0
