Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.4e-05,16.684307,[ 3 53] ; [7 8],[ 7.88732394 48.11267606] ; [ 2.11267606 12.88732394],1
s5,1,0.00043,12.395383,[ 7 48] ; [7 5],[11.49253731 43.50746269] ; [2.50746269 9.49253731],1
s2,1,0.000766,11.322113,[12 44] ; [10  5],[17.35211268 38.64788732] ; [ 4.64788732 10.35211268],1
p4,1,0.002876,8.884497,[14 41] ; [10  5],[18.85714286 36.14285714] ; [5.14285714 9.85714286],0
s6,1,0.004084,8.246266,[12 44] ; [8 5],[16.23188406 39.76811594] ; [3.76811594 9.23188406],0
p6,1,0.004537,8.055394,[ 5 48] ; [6 9],[ 8.57352941 44.42647059] ; [ 2.42647059 12.57352941],0
p9,1,0.006965,7.281975,[24 29] ; [12  2],[28.47761194 24.52238806] ; [7.52238806 6.47761194],0
s4,1,0.011778,6.343992,[ 9 47] ; [7 8],[12.61971831 43.38028169] ; [ 3.38028169 11.61971831],0
s3,1,0.013506,6.101558,[17 37] ; [10  5],[21.13043478 32.86956522] ; [5.86956522 9.13043478],0
r4,1,0.021972,5.24804,[19 37] ; [10  5],[22.87323944 33.12676056] ; [6.12676056 8.87323944],0
u1,1,0.027204,4.877792,[ 2 54] ; [ 3 12],[ 3.94366197 52.05633803] ; [ 1.05633803 13.94366197],0
a2,1,0.033685,4.51062,[ 4 52] ; [ 4 11],[ 6.30985915 49.69014085] ; [ 1.69014085 13.30985915],0
u2,1,0.050344,3.829964,[ 8 23] ; [4 2],[10.05405405 20.94594595] ; [1.94594595 4.05405405],0
v1,1,0.056807,3.628234,[15 40] ; [8 7],[18.07142857 36.92857143] ; [ 4.92857143 10.07142857],0
u3,1,0.067831,3.334744,[ 9 23] ; [4 2],[10.94736842 21.05263158] ; [2.05263158 3.94736842],0
n3,1,0.089192,2.888889,[ 7 11] ; [6 2],[9. 9.] ; [4. 4.],0
