Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7.9e-05,15.589966,[ 5 37] ; [6 2],[ 9.24 32.76] ; [1.76 6.24],1
s6,1,0.00075,11.361039,[13 32] ; [8 1],[17.5 27.5] ; [3.5 5.5],1
p8,1,0.005045,7.863357,[ 9 35] ; [6 3],[12.45283019 31.54716981] ; [2.54716981 6.45283019],0
p3,1,0.007686,7.105263,[10 35] ; [6 3],[13.33333333 31.66666667] ; [2.66666667 6.33333333],0
s5,1,0.012468,6.243083,[ 3 41] ; [3 5],[ 5.07692308 38.92307692] ; [0.92307692 7.07692308],0
s2,1,0.020137,5.4,[12 33] ; [6 3],[15. 30.] ; [3. 6.],0
b5,1,0.020396,5.377655,[21 24] ; [8 1],[24.16666667 20.83333333] ; [4.83333333 4.16666667],0
v1,1,0.030276,4.693534,[13 32] ; [6 3],[15.83333333 29.16666667] ; [3.16666667 5.83333333],0
p9,1,0.042228,4.126029,[23 21] ; [8 1],[25.73584906 18.26415094] ; [5.26415094 3.73584906],0
p10,1,0.043508,4.07557,[18 26] ; [7 2],[20.75471698 23.24528302] ; [4.24528302 4.75471698],0
p4,1,0.046368,3.968191,[10 34] ; [5 4],[12.45283019 31.54716981] ; [2.54716981 6.45283019],0
n5,1,0.058537,3.578366,[25 19] ; [2 7],[22.41509434 21.58490566] ; [4.58490566 4.41509434],0
a5,1,0.061129,3.506494,[15 30] ; [6 3],[17.5 27.5] ; [3.5 5.5],0
u3,1,0.114306,2.493656,[ 9 13] ; [4 1],[10.59259259 11.40740741] ; [2.40740741 2.59259259],0
p1,1,0.141645,2.16,[ 3 42] ; [2 7],[ 4.16666667 40.83333333] ; [0.83333333 8.16666667],0
p2,1,0.141645,2.16,[23 22] ; [7 2],[25. 20.] ; [5. 4.],0
r3,1,0.149477,2.077583,[29 16] ; [8 1],[30.83333333 14.16666667] ; [6.16666667 2.83333333],0
p6,1,0.151583,2.056244,[ 6 38] ; [3 6],[ 7.47169811 36.52830189] ; [1.52830189 7.47169811],0
s3,1,0.175795,1.832819,[24 21] ; [7 2],[25.83333333 19.16666667] ; [5.16666667 3.83333333],0
v4,1,0.185642,1.751872,[28 16] ; [7 1],[29.61538462 14.38461538] ; [5.38461538 2.61538462],0
a4,1,0.221383,1.495385,[14 31] ; [1 8],[12.5 32.5] ; [2.5 6.5],0
b3,1,0.250592,1.32,[ 7 18] ; [4 4],[ 8.33333333 16.66666667] ; [2.66666667 5.33333333],0
b2,1,0.250592,1.32,[ 7 18] ; [4 4],[ 8.33333333 16.66666667] ; [2.66666667 5.33333333],0
b1,1,0.329859,0.949451,[22 23] ; [6 3],[23.33333333 21.66666667] ; [4.66666667 4.33333333],0
p7,1,0.340628,0.908067,[19 24] ; [5 3],[20.23529412 22.76470588] ; [3.76470588 4.23529412],0
v2,1,0.344354,0.894156,[ 8 34] ; [3 6],[ 9.05882353 32.94117647] ; [1.94117647 7.05882353],0
d2,1,0.379775,0.771429,[11 34] ; [1 8],[10. 35.] ; [2. 7.],0
r4,1,0.392906,0.729931,[23 22] ; [6 3],[24.16666667 20.83333333] ; [4.83333333 4.16666667],0
r1,1,0.392906,0.729931,[23 22] ; [6 3],[24.16666667 20.83333333] ; [4.83333333 4.16666667],0
a2,1,0.42542,0.635294,[ 2 43] ; [1 8],[ 2.5 42.5] ; [0.5 8.5],0
d1,1,0.42542,0.635294,[ 2 43] ; [1 8],[ 2.5 42.5] ; [0.5 8.5],0
a8,1,0.432432,0.616284,[ 5 36] ; [2 7],[ 5.74 35.26] ; [1.26 7.74],0
d3,1,0.614191,0.254118,[16 29] ; [4 5],[16.66666667 28.33333333] ; [3.33333333 5.66666667],0
a7,1,0.620294,0.245455,[19 26] ; [3 6],[18.33333333 26.66666667] ; [3.66666667 5.33333333],0
a3,1,0.668623,0.183218,[23 21] ; [4 5],[22.41509434 21.58490566] ; [4.58490566 4.41509434],0
s4,1,0.731881,0.117391,[ 7 38] ; [1 8],[ 6.66666667 38.33333333] ; [1.33333333 7.66666667],0
r2,1,0.821981,0.050624,[32 13] ; [6 2],[32.26415094 12.73584906] ; [5.73584906 2.26415094],0
d4,1,0.857344,0.032312,[21 23] ; [4 5],[20.75471698 23.24528302] ; [4.24528302 4.75471698],0
a6,1,0.902048,0.015147,[19 26] ; [4 5],[19.16666667 25.83333333] ; [3.83333333 5.16666667],0
n4,1,0.902858,0.014897,[21 24] ; [4 5],[20.83333333 24.16666667] ; [4.16666667 4.83333333],0
b4,1,0.902858,0.014897,[21 24] ; [4 5],[20.83333333 24.16666667] ; [4.16666667 4.83333333],0
v3,1,0.973685,0.001088,[10 34] ; [2 7],[ 9.96226415 34.03773585] ; [2.03773585 6.96226415],0
