Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.8e-05,18.401659,[104   7] ; [10  7],[98.859375 12.140625] ; [15.140625  1.859375],1
v4,1,0.000504,12.099616,[106   3] ; [13  4],[102.94444444   6.05555556] ; [16.05555556  0.94444444],1
a4,1,0.002846,8.903438,[56 55] ; [ 2 15],[50.296875 60.703125] ; [7.703125 9.296875],0
p11,1,0.014533,5.972213,[84 27] ; [8 9],[79.78125 31.21875] ; [12.21875  4.78125],0
p10,1,0.018857,5.514706,[90 18] ; [10  7],[86.4 21.6] ; [13.6  3.4],0
a5,1,0.018902,5.510593,[83 28] ; [8 9],[78.9140625 32.0859375] ; [12.0859375  4.9140625],0
n3,1,0.032259,4.584668,[25  6] ; [4 5],[22.475  8.525] ; [6.525 2.475],0
p9,1,0.041418,4.158815,[91 16] ; [11  6],[88.01612903 18.98387097] ; [13.98387097  3.01612903],0
n5,1,0.062246,3.4765,[83 28] ; [9 8],[79.78125 31.21875] ; [12.21875  4.78125],0
r3,1,0.068261,3.324354,[104   6] ; [14  3],[102.20472441   7.79527559] ; [15.79527559  1.20472441],0
s6,1,0.072665,3.221766,[96 14] ; [12  5],[93.54330709 16.45669291] ; [14.45669291  2.54330709],0
a2,1,0.076035,3.14768,[28 83] ; [ 1 16],[25.1484375 85.8515625] ; [ 3.8515625 13.1484375],0
p7,1,0.113955,2.498502,[64 40] ; [ 7 10],[61.02479339 42.97520661] ; [9.97520661 7.02479339],0
b1,1,0.116638,2.461897,[37 74] ; [9 8],[39.890625 71.109375] ; [ 6.109375 10.890625],0
r2,1,0.119812,2.419773,[106   4] ; [14  2],[104.76190476   5.23809524] ; [15.23809524  0.76190476],0
d5,1,0.127419,2.323666,[87 24] ; [16  1],[89.3203125 21.6796875] ; [13.6796875  3.3203125],0
v3,1,0.13387,2.247043,[41 67] ; [ 3 13],[38.32258065 69.67741935] ; [ 5.67741935 10.32258065],0
a1,1,0.138217,2.1977,[  4 107] ; [ 2 15],[  5.203125 105.796875] ; [ 0.796875 16.203125],0
p8,1,0.18064,1.792352,[46 62] ; [ 4 12],[43.5483871 64.4516129] ; [6.4516129 9.5483871],0
s3,1,0.201175,1.633826,[77 30] ; [9 7],[74.81300813 32.18699187] ; [11.18699187  4.81300813],0
p6,1,0.202008,1.6278,[36 73] ; [ 3 14],[33.73809524 75.26190476] ; [ 5.26190476 11.73809524],0
s2,1,0.226421,1.463205,[79 32] ; [9 7],[76.91338583 34.08661417] ; [11.08661417  4.91338583],0
n4,1,0.240326,1.378683,[80 30] ; [10  7],[77.95275591 32.04724409] ; [12.04724409  4.95275591],0
d3,1,0.252218,1.310974,[69 42] ; [13  4],[71.109375 39.890625] ; [10.890625  6.109375],0
p4,1,0.255914,1.290729,[48 61] ; [ 5 12],[45.84920635 63.15079365] ; [7.15079365 9.84920635],0
u1,1,0.264423,1.245453,[18 93] ; [ 1 16],[16.4765625 94.5234375] ; [ 2.5234375 14.4765625],0
r1,1,0.326345,0.963345,[89 21] ; [12  5],[87.48031496 22.51968504] ; [13.51968504  3.48031496],0
u2,1,0.384478,0.756336,[13 20] ; [3 2],[13.89473684 19.10526316] ; [2.10526316 2.89473684],0
v2,1,0.454641,0.559054,[52 54] ; [10  7],[53.43089431 52.56910569] ; [8.56910569 8.43089431],0
v1,1,0.463677,0.537004,[58 52] ; [10  6],[59.36507937 50.63492063] ; [8.63492063 7.36507937],0
p1,1,0.582375,0.302411,[11 98] ; [ 1 16],[10.38095238 98.61904762] ; [ 1.61904762 15.38095238],0
a6,1,0.582719,0.301859,[64 47] ; [11  6],[65.0390625 45.9609375] ; [9.9609375 7.0390625],0
u3,1,0.588815,0.292198,[18 16] ; [2 3],[17.43589744 16.56410256] ; [2.56410256 2.43589744],0
s8,1,0.590272,0.28992,[57 53] ; [10  7],[58.03149606 51.96850394] ; [8.96850394 8.03149606],0
a8,1,0.667168,0.184933,[14 82] ; [ 3 13],[14.57142857 81.42857143] ; [ 2.42857143 13.57142857],0
b2,1,0.762899,0.091009,[28 40] ; [4 7],[27.5443038 40.4556962] ; [4.4556962 6.5443038],0
