Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,25.241552,[65  2] ; [14 11],[57.5326087  9.4673913] ; [21.4673913  3.5326087],1
r3,1,0.006323,7.455835,[66  1] ; [21  4],[63.35869565  3.64130435] ; [23.64130435  1.35869565],0
p7,1,0.019655,5.442318,[61  6] ; [18  7],[57.5326087  9.4673913] ; [21.4673913  3.5326087],0
n4,1,0.023934,5.099387,[59  8] ; [17  8],[55.34782609 11.65217391] ; [20.65217391  4.34782609],0
d3,1,0.04744,3.929722,[37 30] ; [ 8 17],[32.77173913 34.22826087] ; [12.22826087 12.77173913],0
p2,1,0.063594,3.441087,[59  8] ; [18  7],[56.07608696 10.92391304] ; [20.92391304  4.07608696],0
n6,1,0.063594,3.441087,[59  8] ; [18  7],[56.07608696 10.92391304] ; [20.92391304  4.07608696],0
d4,1,0.071733,3.242909,[54 12] ; [16  9],[50.76923077 15.23076923] ; [19.23076923  5.76923077],0
s5,1,0.075864,3.151364,[35 27] ; [ 8 15],[31.36470588 30.63529412] ; [11.63529412 11.36470588],0
p10,1,0.077556,3.115385,[55 10] ; [17  8],[52. 13.] ; [20.  5.],0
b2,1,0.080585,3.05306,[26 21] ; [ 6 13],[22.78787879 24.21212121] ; [9.21212121 9.78787879],0
b3,1,0.080585,3.05306,[26 21] ; [ 6 13],[22.78787879 24.21212121] ; [9.21212121 9.78787879],0
p1,1,0.08567,2.953913,[ 5 62] ; [ 5 20],[ 7.2826087 59.7173913] ; [ 2.7173913 22.2826087],0
p8,1,0.092366,2.832643,[49 17] ; [14 11],[45.69230769 20.30769231] ; [17.30769231  7.69230769],0
a5,1,0.154521,2.027042,[48 19] ; [14 11],[45.15217391 21.84782609] ; [16.84782609  8.15217391],0
v4,1,0.193612,1.689913,[64  3] ; [22  3],[62.63043478  4.36956522] ; [23.36956522  1.63043478],0
r2,1,0.200868,1.636053,[63  3] ; [22  3],[61.64835165  4.35164835] ; [23.35164835  1.64835165],0
d2,1,0.223537,1.48152,[39 28] ; [11 14],[36.41304348 30.58695652] ; [13.58695652 11.41304348],0
v1,1,0.226696,1.461473,[37 29] ; [10 14],[34.46666667 31.53333333] ; [12.53333333 11.46666667],0
s6,1,0.228301,1.451418,[52 11] ; [17  7],[49.96551724 13.03448276] ; [19.03448276  4.96551724],0
s3,1,0.229529,1.44378,[44 23] ; [13 12],[41.51086957 25.48913043] ; [15.48913043  9.51086957],0
n1,1,0.233703,1.418182,[6 9] ; [7 4],[7.5 7.5] ; [5.5 5.5],0
a8,1,0.308554,1.036855,[11 54] ; [ 2 22],[ 9.49438202 55.50561798] ; [ 3.50561798 20.49438202],0
d1,1,0.313844,1.014429,[40 27] ; [12 13],[37.86956522 29.13043478] ; [14.13043478 10.86956522],0
d5,1,0.322279,0.979675,[56 10] ; [19  6],[54.3956044 11.6043956] ; [20.6043956  4.3956044],0
u2,1,0.336929,0.92208,[11 12] ; [6 3],[12.21875 10.78125] ; [4.78125 4.21875],0
n2,1,0.352704,0.863705,[12  3] ; [7 4],[10.96153846  4.03846154] ; [8.03846154 2.96153846],0
a6,1,0.392035,0.73262,[18 49] ; [ 9 16],[19.66304348 47.33695652] ; [ 7.33695652 17.66304348],0
n5,1,0.404531,0.694817,[56 11] ; [19  6],[54.61956522 12.38043478] ; [20.38043478  4.61956522],0
p5,1,0.404632,0.694517,[13 54] ; [ 3 22],[11.65217391 55.34782609] ; [ 4.34782609 20.65217391],0
s8,1,0.420517,0.64887,[43 23] ; [14 11],[41.34065934 24.65934066] ; [15.65934066  9.34065934],0
s1,1,0.470483,0.520841,[ 1 65] ; [ 1 24],[ 1.45054945 64.54945055] ; [ 0.54945055 24.45054945],0
a1,1,0.492024,0.472097,[ 5 62] ; [ 3 22],[ 5.82608696 61.17391304] ; [ 2.17391304 22.82608696],0
a4,1,0.522139,0.409667,[34 32] ; [11 14],[32.63736264 33.36263736] ; [12.36263736 12.63736264],0
v3,1,0.536537,0.381996,[30 37] ; [ 9 15],[28.71428571 38.28571429] ; [10.28571429 13.71428571],0
u1,1,0.549575,0.358079,[ 5 62] ; [ 1 24],[ 4.36956522 62.63043478] ; [ 1.63043478 23.36956522],0
a2,1,0.549575,0.358079,[ 5 62] ; [ 1 24],[ 4.36956522 62.63043478] ; [ 1.63043478 23.36956522],0
b1,1,0.564716,0.331604,[33 34] ; [14 11],[34.22826087 32.77173913] ; [12.77173913 12.22826087],0
b4,1,0.564716,0.331604,[33 34] ; [14 11],[34.22826087 32.77173913] ; [12.77173913 12.22826087],0
p4,1,0.626578,0.23673,[49 18] ; [17  8],[48.06521739 18.93478261] ; [17.93478261  7.06521739],0
p3,1,0.65128,0.20429,[41 26] ; [14 11],[40.05434783 26.94565217] ; [14.94565217 10.05434783],0
s4,1,0.668095,0.183838,[16 50] ; [ 5 20],[15.23076923 50.76923077] ; [ 5.76923077 19.23076923],0
b5,1,0.685559,0.163936,[29 38] ; [12 13],[29.85869565 37.14130435] ; [11.14130435 13.85869565],0
u3,1,0.694188,0.154589,[12 11] ; [4 5],[11.5 11.5] ; [4.5 4.5],0
v2,1,0.714904,0.133428,[32 35] ; [12 11],[32.75555556 34.24444444] ; [11.24444444 11.75555556],0
p9,1,0.773635,0.082727,[57  9] ; [21  4],[56.57142857  9.42857143] ; [21.42857143  3.57142857],0
s7,1,0.793927,0.068233,[45 21] ; [15  8],[44.49438202 21.50561798] ; [15.50561798  7.49438202],0
p11,1,0.818309,0.052771,[55 12] ; [20  5],[54.61956522 12.38043478] ; [20.38043478  4.61956522],0
s2,1,0.848737,0.036378,[39 28] ; [14 11],[38.59782609 28.40217391] ; [14.40217391 10.59782609],0
a3,1,0.880954,0.022428,[44 23] ; [16  9],[43.69565217 23.30434783] ; [16.30434783  8.69565217],0
p12,1,0.961065,0.002383,[ 5 60] ; [ 2 23],[ 5.05555556 59.94444444] ; [ 1.94444444 23.05555556],0
n3,1,0.973215,0.001127,[9 5] ; [7 4],[8.96 5.04] ; [7.04 3.96],0
