Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,98.733772,[155   4] ; [81 87],[114.75229358  44.24770642] ; [121.24770642  46.75229358],1
d2,1,0.0,96.107561,[114  42] ; [ 32 137],[70.08 85.92] ; [75.92 93.08],1
d4,1,0.0,82.280295,[155   2] ; [95 74],[120.39877301  36.60122699] ; [129.60122699  39.39877301],1
d3,1,0.0,79.011627,[140  19] ; [68 99],[101.44785276  57.55214724] ; [106.55214724  60.44785276],1
a2,1,0.0,46.11894,[ 58 102] ; [ 10 159],[ 33.06990881 126.93009119] ; [ 34.93009119 134.06990881],1
a4,1,0.0,44.779798,[98 61] ; [ 42 126],[68.0733945 90.9266055] ; [71.9266055 96.0733945],1
a5,1,0.0,37.067656,[126  34] ; [78 91],[99.20972644 60.79027356] ; [104.79027356  64.20972644],1
u1,1,0.0,31.441332,[ 40 120] ; [  6 163],[ 22.37082067 137.62917933] ; [ 23.62917933 145.37082067],1
a6,1,5e-06,20.678899,[122  37] ; [89 80],[102.28353659  56.71646341] ; [108.71646341  60.28353659],1
a3,1,9.8e-05,15.173884,[121  39] ; [92 75],[104.22018349  55.77981651] ; [108.77981651  58.22018349],1
a7,1,0.000125,14.718292,[119  40] ; [91 76],[102.42331288  56.57668712] ; [107.57668712  59.42331288],1
v2,1,0.000219,13.656566,[85 65] ; [ 58 104],[68.75 81.25] ; [74.25 87.75],1
r1,1,0.002167,9.402573,[127  33] ; [107  60],[114.49541284  45.50458716] ; [119.50458716  47.49541284],0
r3,1,0.003799,8.377679,[148  11] ; [137  29],[139.43076923  19.56923077] ; [145.56923077  20.43076923],0
r2,1,0.003895,8.332298,[145  10] ; [138  28],[136.65109034  18.34890966] ; [146.34890966  19.65109034],0
s7,1,0.005132,7.832162,[67 89] ; [ 44 114],[ 55.14649682 100.85350318] ; [ 55.85350318 102.14649682],0
n2,1,0.010135,6.610996,[34 28] ; [49 15],[40.84126984 21.15873016] ; [42.15873016 21.84126984],0
s2,1,0.016527,5.745885,[76 83] ; [ 58 109],[65.35582822 93.64417178] ; [68.64417178 98.35582822],0
n6,1,0.029337,4.747717,[126  34] ; [113  53],[117.3006135  42.6993865] ; [121.6993865  44.3006135],0
r4,1,0.029693,4.726957,[130  30] ; [120  49],[121.58054711  38.41945289] ; [128.41945289  40.58054711],0
s8,1,0.03558,4.417137,[ 56 104] ; [ 41 127],[ 47.31707317 112.68292683] ; [ 49.68292683 118.31707317],0
n4,1,0.050512,3.824382,[115  45] ; [103  64],[106.66666667  53.33333333] ; [111.33333333  55.66666667],0
v3,1,0.056079,3.649707,[ 49 101] ; [ 38 127],[ 41.42857143 108.57142857] ; [ 45.57142857 119.42857143],0
p4,1,0.063973,3.431274,[ 51 109] ; [ 38 129],[ 43.54740061 116.45259939] ; [ 45.45259939 121.54740061],0
s6,1,0.07021,3.278111,[92 66] ; [81 87],[83.84662577 74.15337423] ; [89.15337423 78.84662577],0
p9,1,0.108108,2.581669,[115  41] ; [108  57],[108.37383178  47.62616822] ; [114.62616822  50.37383178],0
