Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,8e-05,15.550042,[202  31] ; [69 32],[189.0508982  43.9491018] ; [81.9491018 19.0508982],1
s2,1,9.2e-05,15.294085,[176  59] ; [55 48],[160.60650888  74.39349112] ; [70.39349112 32.60650888],1
s3,1,0.000113,14.908406,[182  51] ; [58 43],[167.4251497  65.5748503] ; [72.5748503 28.4251497],1
v1,1,0.000477,12.204255,[151  76] ; [46 54],[136.75535168  90.24464832] ; [60.24464832 39.75535168],1
p9,1,0.001272,10.383365,[217  18] ; [81 20],[208.42261905  26.57738095] ; [89.57738095 11.42261905],0
n5,1,0.013284,6.130942,[202  32] ; [76 25],[194.18507463  39.81492537] ; [83.81492537 17.18507463],0
v3,1,0.015368,5.87376,[120 104] ; [39 61],[109.92592593 114.07407407] ; [49.07407407 50.92592593],0
p10,1,0.019295,5.474618,[206  27] ; [81 22],[199.02083333  33.97916667] ; [87.97916667 15.02083333],0
u4,1,0.041059,4.173581,[ 14 222] ; [  1 102],[ 10.44247788 225.55752212] ; [ 4.55752212 98.44247788],0
s5,1,0.044208,4.048604,[ 97 128] ; [32 70],[ 88.76146789 136.23853211] ; [40.23853211 61.76146789],0
p8,1,0.057498,3.608122,[133  99] ; [47 55],[125.02994012 106.97005988] ; [54.97005988 47.02994012],0
n6,1,0.067806,3.33536,[212  21] ; [85 16],[207.18862275  25.81137725] ; [89.81137725 11.18862275],0
v2,1,0.075371,3.162006,[152  76] ; [57 44],[144.83890578  83.16109422] ; [64.16109422 36.83890578],0
p12,1,0.089104,2.890484,[ 28 206] ; [ 6 96],[ 23.67857143 210.32142857] ; [10.32142857 91.67857143],0
p7,1,0.112671,2.516349,[163  66] ; [63 38],[156.83030303  72.16969697] ; [69.16969697 31.83030303],0
a7,1,0.114338,2.493217,[161  75] ; [79 24],[167.07964602  68.92035398] ; [72.92035398 30.07964602],0
p6,1,0.114658,2.488817,[108 124] ; [38 64],[101.41317365 130.58682635] ; [44.58682635 57.41317365],0
v4,1,0.131801,2.271158,[228   6] ; [96  6],[225.64285714   8.35714286] ; [98.35714286  3.64285714],0
a3,1,0.133589,2.250291,[198  37] ; [79 23],[193.16023739  41.83976261] ; [83.83976261 18.16023739],0
p5,1,0.164596,1.931484,[ 46 185] ; [14 89],[ 41.49700599 189.50299401] ; [18.50299401 84.49700599],0
p3,1,0.177698,1.816769,[139  97] ; [52 50],[133.36094675 102.63905325] ; [57.63905325 44.36094675],0
a5,1,0.20066,1.637561,[193  43] ; [78 25],[188.66076696  47.33923304] ; [82.33923304 20.66076696],0
b3,1,0.206534,1.595556,[86 93] ; [27 42],[81.56048387 97.43951613] ; [31.43951613 37.56048387],0
b2,1,0.206534,1.595556,[86 93] ; [27 42],[81.56048387 97.43951613] ; [31.43951613 37.56048387],0
s1,1,0.23606,1.403968,[  9 224] ; [ 7 95],[ 11.12835821 221.87164179] ; [ 4.87164179 97.12835821],0
u2,1,0.277673,1.178446,[26 11] ; [13 10],[24.05 12.95] ; [14.95  8.05],0
d5,1,0.279175,1.1711,[198  37] ; [81 21],[194.55489614  40.44510386] ; [84.44510386 17.55489614],0
r4,1,0.290287,1.118289,[217  19] ; [91 12],[214.41887906  21.58112094] ; [93.58112094  9.41887906],0
b4,1,0.298439,1.081158,[130 106] ; [63 40],[134.35988201 101.64011799] ; [58.64011799 44.35988201],0
b5,1,0.301456,1.067743,[138  98] ; [54 49],[133.66371681 102.33628319] ; [58.33628319 44.66371681],0
u3,1,0.352144,0.865715,[28 10] ; [15  9],[26.35483871 11.64516129] ; [16.64516129  7.35483871],0
p11,1,0.425501,0.635071,[190  46] ; [79 24],[187.26843658  48.73156342] ; [81.73156342 21.26843658],0
p4,1,0.471237,0.519073,[160  75] ; [66 37],[157.13017751  77.86982249] ; [68.86982249 34.13017751],0
d4,1,0.537996,0.379266,[199  36] ; [89 13],[200.83086053  34.16913947] ; [87.16913947 14.83086053],0
d2,1,0.540481,0.37465,[128 108] ; [59 43],[130.56804734 105.43195266] ; [56.43195266 45.56804734],0
a2,1,0.562322,0.335699,[ 66 170] ; [32 71],[ 68.22418879 167.77581121] ; [29.77581121 73.22418879],0
n1,1,0.589858,0.290566,[30 23] ; [12 12],[28.90909091 24.09090909] ; [13.09090909 10.90909091],0
d3,1,0.591824,0.287505,[162  74] ; [73 29],[164.08284024  71.91715976] ; [70.91715976 31.08284024],0
