Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,1.5e-05,18.771418,[4 4] ; [ 2 57],[0.71641791 7.28358209] ; [ 5.28358209 53.71641791],1
p12,1,0.002586,9.078928,[3 5] ; [ 3 56],[0.71641791 7.28358209] ; [ 5.28358209 53.71641791],0
b5,1,0.116494,2.463832,[3 5] ; [39 20],[5.01492537 2.98507463] ; [36.98507463 22.01492537],0
s6,1,0.11842,2.438095,[7 1] ; [33 23],[5. 3.] ; [35. 21.],0
s5,1,0.131003,2.280575,[5 3] ; [18 34],[3.06666667 4.93333333] ; [19.93333333 32.06666667],0
a4,1,0.142646,2.149182,[1 7] ; [23 36],[2.86567164 5.13432836] ; [21.13432836 37.86567164],0
a3,1,0.172481,1.861243,[3 5] ; [37 22],[4.7761194 3.2238806] ; [35.2238806 23.7761194],0
r4,1,0.220827,1.498989,[7 1] ; [39 20],[5.49253731 2.50746269] ; [40.50746269 18.49253731],0
p3,1,0.266031,1.237096,[6 2] ; [32 27],[4.53731343 3.46268657] ; [33.46268657 25.53731343],0
a5,1,0.266031,1.237096,[6 2] ; [32 27],[4.53731343 3.46268657] ; [33.46268657 25.53731343],0
n5,1,0.277749,1.178071,[7 1] ; [40 18],[5.6969697 2.3030303] ; [41.3030303 16.6969697],0
d5,1,0.287512,1.131237,[5 3] ; [46 12],[6.18181818 1.81818182] ; [44.81818182 13.18181818],0
s7,1,0.325578,0.966405,[5 2] ; [29 27],[3.77777778 3.22222222] ; [30.22222222 25.77777778],0
b2,1,0.381785,0.764947,[3 2] ; [15 23],[2.09302326 2.90697674] ; [15.90697674 22.09302326],0
b3,1,0.381785,0.764947,[3 2] ; [15 23],[2.09302326 2.90697674] ; [15.90697674 22.09302326],0
u2,1,0.382143,0.763797,[4 1] ; [13  9],[3.14814815 1.85185185] ; [13.85185185  8.14814815],0
d1,1,0.478563,0.502136,[3 5] ; [30 29],[3.94029851 4.05970149] ; [29.05970149 29.94029851],0
s8,1,0.478563,0.502136,[5 3] ; [29 30],[4.05970149 3.94029851] ; [29.94029851 29.05970149],0
n6,1,0.533672,0.387395,[7 1] ; [46 13],[6.32835821 1.67164179] ; [46.67164179 12.32835821],0
a6,1,0.551073,0.355399,[4 4] ; [36 23],[4.7761194 3.2238806] ; [35.2238806 23.7761194],0
b1,1,0.596064,0.280973,[3 5] ; [28 31],[3.70149254 4.29850746] ; [27.29850746 31.70149254],0
n4,1,0.615021,0.252928,[6 2] ; [39 20],[5.37313433 2.62686567] ; [39.62686567 19.37313433],0
u3,1,0.618757,0.247619,[3 2] ; [10 11],[2.5 2.5] ; [10.5 10.5],0
v2,1,0.635111,0.225194,[5 3] ; [30 26],[4.375 3.625] ; [30.625 25.375],0
p2,1,0.67062,0.180878,[7 1] ; [48 11],[6.56716418 1.43283582] ; [48.43283582 10.56716418],0
n2,1,0.698535,0.15,[3 1] ; [13  7],[2.66666667 1.33333333] ; [13.33333333  6.66666667],0
v1,1,0.712548,0.135746,[4 4] ; [25 33],[3.51515152 4.48484848] ; [25.48484848 32.51515152],0
n3,1,0.840825,0.040336,[3 1] ; [14  6],[2.83333333 1.16666667] ; [14.16666667  5.83333333],0
s2,1,0.892537,0.018251,[4 4] ; [31 28],[4.17910448 3.82089552] ; [30.82089552 28.17910448],0
n1,1,0.923708,0.009171,[2 2] ; [ 9 10],[1.91304348 2.08695652] ; [9.08695652 9.91304348],0
p1,1,0.934287,0.006798,[1 7] ; [ 8 51],[1.07462687 6.92537313] ; [ 7.92537313 51.07462687],0
b4,1,0.93562,0.006525,[5 3] ; [36 23],[4.89552239 3.10447761] ; [36.10447761 22.89552239],0
v3,1,0.952398,0.003564,[3 5] ; [22 35],[3.07692308 4.92307692] ; [21.92307692 35.07692308],0
d3,1,0.952398,0.003564,[5 3] ; [35 22],[4.92307692 3.07692308] ; [35.07692308 21.92307692],0
r3,1,0.958508,0.002707,[7 1] ; [52  7],[7.04477612 0.95522388] ; [51.95522388  7.04477612],0
s3,1,0.964114,0.002024,[4 4] ; [29 30],[3.94029851 4.05970149] ; [29.05970149 29.94029851],0
d4,1,0.97938,0.000668,[6 2] ; [44 15],[5.97014925 2.02985075] ; [44.02985075 14.97014925],0
a7,1,0.981203,0.000555,[5 3] ; [36 22],[4.96969697 3.03030303] ; [36.03030303 21.96969697],0
r2,1,0.985894,0.000313,[7 1] ; [50  7],[7.01538462 0.98461538] ; [49.98461538  7.01538462],0
