Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.6e-05,17.696078,[5 1] ; [ 3 31],[1.2 4.8] ; [ 6.8 27.2],1
s7,1,0.000811,11.214747,[4 1] ; [ 4 27],[1.11111111 3.88888889] ; [ 6.88888889 24.11111111],1
a2,1,0.038787,4.270153,[2 4] ; [ 2 32],[0.6 5.4] ; [ 3.4 30.6],0
s6,1,0.052612,3.756215,[4 2] ; [ 9 25],[1.95 4.05] ; [11.05 22.95],0
d3,1,0.056591,3.634577,[5 1] ; [14 20],[2.85 3.15] ; [16.15 17.85],0
v2,1,0.059709,3.545455,[4 2] ; [ 9 24],[2. 4.] ; [11. 22.],0
p11,1,0.076523,3.137255,[5 1] ; [15 19],[3. 3.] ; [17. 17.],0
d1,1,0.077746,3.111398,[4 2] ; [10 24],[2.1 3.9] ; [11.9 22.1],0
p10,1,0.088806,2.895883,[4 1] ; [13 20],[2.23684211 2.76315789] ; [14.76315789 18.23684211],0
a7,1,0.100914,2.691041,[5 1] ; [16 18],[3.15 2.85] ; [17.85 16.15],0
s3,1,0.111126,2.538131,[2 3] ; [ 4 29],[0.78947368 4.21052632] ; [ 5.21052632 27.78947368],0
v1,1,0.125047,2.352941,[3 3] ; [ 7 27],[1.5 4.5] ; [ 8.5 25.5],0
d5,1,0.130247,2.289562,[5 1] ; [17 17],[3.3 2.7] ; [18.7 15.3],0
p12,1,0.154963,2.022704,[1 5] ; [ 1 33],[0.3 5.7] ; [ 1.7 32.3],0
p9,1,0.16815,1.89936,[4 1] ; [15 17],[2.56756757 2.43243243] ; [16.43243243 15.56756757],0
p6,1,0.172831,1.858218,[1 5] ; [ 1 31],[0.31578947 5.68421053] ; [ 1.68421053 30.31578947],0
a6,1,0.194,1.686977,[4 2] ; [13 21],[2.55 3.45] ; [14.45 19.55],0
p4,1,0.246235,1.344538,[3 3] ; [ 9 25],[1.8 4.2] ; [10.2 23.8],0
d2,1,0.246235,1.344538,[3 3] ; [ 9 25],[1.8 4.2] ; [10.2 23.8],0
p8,1,0.268244,1.225702,[2 4] ; [ 5 29],[1.05 4.95] ; [ 5.95 28.05],0
b1,1,0.307855,1.039855,[2 4] ; [19 15],[3.15 2.85] ; [17.85 16.15],0
a3,1,0.338962,0.914354,[4 2] ; [15 18],[2.92307692 3.07692308] ; [16.07692308 16.92307692],0
v4,1,0.375825,0.784314,[2 4] ; [18 16],[3. 3.] ; [17. 17.],0
p2,1,0.375825,0.784314,[4 2] ; [16 18],[3. 3.] ; [17. 17.],0
n3,1,0.396144,0.72,[2 1] ; [6 9],[1.33333333 1.66666667] ; [6.66666667 8.33333333],0
b4,1,0.439506,0.597572,[5 1] ; [23 11],[4.2 1.8] ; [23.8 10.2],0
a4,1,0.490657,0.475086,[2 4] ; [ 7 27],[1.35 4.65] ; [ 7.65 26.35],0
a5,1,0.587594,0.294118,[3 3] ; [13 21],[2.4 3.6] ; [13.6 20.4],0
n1,1,0.61209,0.257143,[1 2] ; [ 3 12],[0.66666667 2.33333333] ; [ 3.33333333 11.66666667],0
n4,1,0.622251,0.242716,[4 2] ; [19 15],[3.45 2.55] ; [19.55 14.45],0
a8,1,0.648241,0.208125,[1 4] ; [ 4 28],[0.67567568 4.32432432] ; [ 4.32432432 27.67567568],0
n2,1,0.671373,0.18,[2 1] ; [8 7],[1.66666667 1.33333333] ; [8.33333333 6.66666667],0
r1,1,0.72852,0.120475,[2 4] ; [ 9 25],[1.65 4.35] ; [ 9.35 24.65],0
p1,1,0.737828,0.112045,[1 5] ; [ 4 30],[0.75 5.25] ; [ 4.25 29.75],0
r4,1,0.737828,0.112045,[1 5] ; [ 4 30],[0.75 5.25] ; [ 4.25 29.75],0
s5,1,0.737828,0.112045,[1 5] ; [ 4 30],[0.75 5.25] ; [ 4.25 29.75],0
b5,1,0.789452,0.071301,[3 3] ; [19 15],[3.3 2.7] ; [18.7 15.3],0
n5,1,0.819129,0.052288,[4 2] ; [21 13],[3.75 2.25] ; [21.25 12.75],0
b2,1,0.825381,0.048677,[1 2] ; [ 8 12],[1.17391304 1.82608696] ; [ 7.82608696 12.17391304],0
b3,1,0.825381,0.048677,[1 2] ; [ 8 12],[1.17391304 1.82608696] ; [ 7.82608696 12.17391304],0
u2,1,0.83008,0.046053,[1 1] ; [ 8 11],[0.85714286 1.14285714] ; [ 8.14285714 10.85714286],0
n6,1,0.882392,0.021886,[4 2] ; [23 10],[4.15384615 1.84615385] ; [22.84615385 10.15384615],0
r3,1,0.886814,0.02026,[4 2] ; [21 12],[3.84615385 2.15384615] ; [21.15384615 11.84615385],0
s2,1,0.898141,0.016387,[1 4] ; [ 6 28],[0.8974359 4.1025641] ; [ 6.1025641 27.8974359],0
