Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,104.808515,[476  14] ; [77 37],[448.62582781  41.37417219] ; [104.37417219   9.62582781],1
r2,1,0.0,48.744132,[477   9] ; [89 19],[463.09090909  22.90909091] ; [102.90909091   5.09090909],1
v4,1,0.0,26.922382,[477  11] ; [98 15],[466.88851913  21.11148087] ; [108.11148087   4.88851913],1
u1,1,4e-06,21.4762,[116 374] ; [  5 109],[ 98.16225166 391.83774834] ; [22.83774834 91.16225166],1
a5,1,1e-05,19.52336,[402  88] ; [72 42],[384.53642384 105.46357616] ; [89.46357616 24.53642384],1
d3,1,1.9e-05,18.287069,[357 131] ; [60 54],[338.03322259 149.96677741] ; [78.96677741 35.03322259],1
d1,1,4.6e-05,16.60315,[328 162] ; [53 61],[309.08940397 180.91059603] ; [71.91059603 42.08940397],1
a2,1,0.000342,12.826803,[145 345] ; [15 99],[129.8013245 360.1986755] ; [30.1986755 83.8013245],1
r3,1,0.000555,11.922371,[474  13] ; [102  11],[467.52  19.48] ; [108.48   4.52],1
d2,1,0.000694,11.50501,[272 216] ; [43 70],[255.77371048 232.22628952] ; [59.22628952 53.77371048],1
s8,1,0.001797,9.746589,[258 228] ; [42 72],[243. 243.] ; [57. 57.],0
s6,1,0.0019,9.644044,[355 125] ; [65 45],[341.69491525 138.30508475] ; [78.30508475 31.69491525],0
a7,1,0.002238,9.34339,[362 127] ; [68 46],[348.70646766 140.29353234] ; [81.29353234 32.70646766],0
a6,1,0.004202,8.194472,[349 138] ; [66 48],[336.281198 150.718802] ; [78.718802 35.281198],0
p7,1,0.005185,7.81369,[336 144] ; [63 49],[323.51351351 156.48648649] ; [75.48648649 36.51351351],0
d4,1,0.005429,7.730781,[419  68] ; [86 28],[409.20965058  77.79034942] ; [95.79034942 18.20965058],0
s7,1,0.006559,7.389993,[275 196] ; [47 60],[262.39100346 208.60899654] ; [59.60899654 47.39100346],0
a4,1,0.007693,7.103586,[256 232] ; [44 70],[243.18936877 244.81063123] ; [56.81063123 57.18936877],0
s5,1,0.008424,6.941005,[182 288] ; [26 78],[170.31358885 299.68641115] ; [37.68641115 66.31358885],0
v2,1,0.00853,6.918736,[292 180] ; [53 57],[279.79381443 192.20618557] ; [65.20618557 44.79381443],0
p8,1,0.009738,6.682133,[287 196] ; [51 60],[274.83838384 208.16161616] ; [63.16161616 47.83838384],0
v1,1,0.013264,6.133574,[290 188] ; [52 57],[278.49403748 199.50596252] ; [63.50596252 45.49403748],0
a3,1,0.015826,5.822112,[381 106] ; [77 37],[371.12479201 115.87520799] ; [86.87520799 27.12479201],0
d5,1,0.017842,5.611629,[416  71] ; [87 27],[407.5890183  79.4109817] ; [95.4109817 18.5890183],0
p10,1,0.022275,5.224146,[456  34] ; [96 15],[450.04991681  39.95008319] ; [101.95008319   9.04991681],0
p4,1,0.039355,4.245457,[333 155] ; [65 47],[323.70666667 164.29333333] ; [74.29333333 37.70666667],0
s2,1,0.045486,4.000538,[271 213] ; [52 62],[261.42474916 222.57525084] ; [61.57525084 52.42474916],0
u3,1,0.047888,3.913906,[66 43] ; [15 21],[60.88965517 48.11034483] ; [20.11034483 15.88965517],0
a1,1,0.065993,3.379966,[ 22 468] ; [ 10 104],[ 25.9602649 464.0397351] ; [  6.0397351 107.9602649],0
n3,1,0.067773,3.336144,[60 22] ; [26  3],[63.53153153 18.46846847] ; [22.46846847  6.53153153],0
n6,1,0.092669,2.827386,[444  43] ; [98 16],[439.19134775  47.80865225] ; [102.80865225  11.19134775],0
p2,1,0.10356,2.649848,[429  59] ; [92 20],[423.74666667  64.25333333] ; [97.25333333 14.74666667],0
p6,1,0.117374,2.452016,[216 271] ; [39 69],[208.71428571 278.28571429] ; [46.28571429 61.71428571],0
p3,1,0.131401,2.275876,[280 208] ; [56 57],[272.82529118 215.17470882] ; [63.17470882 49.82529118],0
s3,1,0.142484,2.150926,[291 192] ; [59 53],[284.11764706 198.88235294] ; [65.88235294 46.11764706],0
v3,1,0.18667,1.743707,[209 262] ; [42 70],[202.78044597 268.21955403] ; [48.21955403 63.78044597],0
u4,1,0.190902,1.710639,[ 15 475] ; [  1 113],[ 12.98013245 477.01986755] ; [  3.01986755 110.98013245],0
b5,1,0.193903,1.687711,[290 200] ; [75 39],[296.10927152 193.89072848] ; [68.89072848 45.10927152],0
p12,1,0.218708,1.512826,[ 54 434] ; [  8 104],[ 50.42666667 437.57333333] ; [ 11.57333333 100.42666667],0
b2,1,0.245762,1.347233,[130 185] ; [24 47],[125.67357513 189.32642487] ; [28.32642487 42.67357513],0
b3,1,0.245762,1.347233,[130 185] ; [24 47],[125.67357513 189.32642487] ; [28.32642487 42.67357513],0
n2,1,0.315322,1.008252,[61 22] ; [24  5],[62.99107143 20.00892857] ; [22.00892857  6.99107143],0
n5,1,0.428541,0.626775,[432  56] ; [97 16],[429.5374376  58.4625624] ; [99.4625624 13.5374376],0
p11,1,0.445613,0.581787,[418  72] ; [94 20],[415.36423841  74.63576159] ; [96.63576159 17.36423841],0
b4,1,0.510031,0.434004,[280 210] ; [69 45],[283.12913907 206.87086093] ; [65.87086093 48.12913907],0
